,评论
0,"值得一游, 园内有很多珍奇鸟类, 工作人员非常热情, 会耐心的讲解介绍, 进入景区可以取一张表演节目单, 按时间安排可以观看表演, 从广州市内可以坐地铁, 号线到长隆站下车从, 口出来, 乘坐长隆免费巴士到长隆酒店, 野生动物园, 大马戏, 飞鸟乐园等地方, 很方便"
1,"里面有很多珍稀的鸟类, 朱鹮, 红鹮, 丹顶鹤等等, 孩子最喜欢喂鹦鹉, 鹦鹉吃瓜子好厉害, 还会把瓜子売吐出来, 你喂它兩颗瓜子, 它会把兩颗都抓到爪子里握住, 然后一顆一颗分开吃, 金刚鹦鹉还会学人说话, 你说, 它也说, 可爱极了, 不过不知道为什么, 现在不能喂金刚鹦鹉了, 只能喂绿色的小鹦鹉, 坐船游玩也很有趣, 可以喂鹈鹕吃小鱼, 喂天鹅吃面包, 它们会一直追着船游, 游船至中途时, 风景很美, 兩岸也有一些鸟, 船上会有工作人员讲解"
2,"性价比超高, 里面设施非常好, 动物也很活泼, 很多都是放养的, 互动很紧密, 工作人员也很热情, 表演丰富, 讲解也很详细, 大人和孩子都收获满满的"
3,"还可以, 挺好的, 取票是扫码提取电子票, 然后验证入园"
4,"取票手续非常快, 价格也十分优惠, 非常适合带孩子去玩, 会给朋友们再次推荐的, 里面的讲解员服务十分到位, 表演活动内容丰富到位"
5,"适合溜娃, 园区不会太大, 餐饮和休息的地方也多, 沿途都有漂亮的鸟看, 大人小孩都不会太累, 很多地方都有科普讲解是亮点, 进入景区的路在修不是很好走, 另外, 儿童乐园区域的监督员语气不太友善, 一脸的傲慢和不耐烦, 虽然理解她的工作但是表达上可以有所改进, 否则真的很影响心情"
6,"非常好, 非常人性化, 讲解时间安排无缝衔接, 直接都能参加了, 带孩子的必须考虑去, 反正我们小朋友下次还会再去, 相当值得一看的地方"
7,"还不错, 孩子喜欢这里, 可以看到很多鸟类, 人也不多, 坐车方面, 讲解员讲的也很详细"
8,"广州长隆第二站, 昨天游玩了长隆野生动物园, 有点犹豫的情况下, 选了飞鸟乐园作为第二站, 虽然没有野生动物园庞大, 但游客少, 景致也不错, 其中钓鳄鱼, 喂鹦鹉, 钓乌龟, 是其他动物园没有的项目, 百鸟争鸣, 若是鸟儿更配合一些, 不偷懒, 应该更加壮观, 鳄作剧的表演, 鹈鹕和门口刚入的小动物讲解, 都挺不错的, 适合较小的孩子, 涨涨知识, 挺不错的, 今天有雨, 不能游船, 有点可惜了"
9,"度高温, 多亏园区绿荫掩映, 没想象中热, 讲解员很热情, 每到一处都有讲解, 钓鳄鱼, 喂火烈鸟, 投食大河马是独特体验, 鳄作剧幽默刺激, 孩子还是很喜欢"
10,"飞鸟乐园比预想的好玩, 人也不多, 体验性不错, 随处都有讲解员, 还有游乐设施, 孩子玩得很开心, 还有免费班车乘坐哦"
