,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2020-05-19,陈宇玲,-600,3.93,--,竞价交易,王作宙,高管,父母
1,2020-05-08,陈宇玲,500,3.86,--,竞价交易,王作宙,高管,父母
2,2019-11-25,熊贵彬,10000,4.29,--,竞价交易,李春艳,董事,配偶
3,2019-11-21,熊贵彬,-10000,4.44,--,竞价交易,李春艳,董事,配偶
4,2017-12-31,樊春花,250000,--,250000,股权激励,樊春花,财务总监,本人
5,2017-12-31,黄智敏,100000,--,166000,股权激励,黄智敏,副总经理,本人
6,2017-12-31,鲁承诚,500000,--,2238000,股权激励,鲁承诚,"董事,常务副总经理,董事会秘书(离任)",本人
7,2017-12-31,吴丽青,500000,--,720000,股权激励,吴丽青,"董事,副总经理",本人
8,2017-12-31,易绚雯,100000,--,100000,股权激励,易绚雯,董事会秘书,本人
9,2017-12-31,赵红梅,400000,--,523200,股权激励,赵红梅,副总经理,本人
10,2017-12-31,郑掌,100000,--,124420,股权激励,郑掌,副总经理(离任),本人
11,2016-07-19,李晓慧,1000,6.77,--,竞价交易,郑掌,高管,配偶
12,2015-12-31,陈汉,5340000,--,5340000,增持,陈汉,董事、总经理,本人
13,2015-12-31,黄智敏,30000,--,30000,增持,黄智敏,副总经理,本人
14,2015-12-31,李国通,5340000,--,5340000,增持,李国通,董事、副总经理,本人
15,2015-12-31,李忠,7120000,--,8153911,增持,李忠,董事长,本人
16,2015-12-31,吴丽青,100000,--,100000,增持,吴丽青,董事、副总经理,本人
17,2015-12-31,赵红梅,56000,--,56000,增持,赵红梅,董事、副总经理,本人
18,2015-12-31,郑掌,11000,--,11000,增持,郑掌,副总经理,本人
19,2015-06-30,陈汉,5340000,--,5340000,增持,陈汉,董事、总经理,本人
20,2015-06-30,黄智敏,30000,--,30000,增持,黄智敏,副总经理,本人
21,2015-06-30,李国通,5340000,--,5340000,增持,李国通,董事、副总经理,本人
22,2015-06-30,李忠,7120000,--,8153911,增持,李忠,董事长,本人
23,2015-06-30,吴丽青,100000,--,100000,增持,吴丽青,董事、副总经理,本人
24,2015-06-30,赵红梅,56000,--,56000,增持,赵红梅,副总经理,本人
25,2015-06-30,郑掌,11100,--,11100,增持,郑掌,副总经理,本人
26,2015-02-12,冠联国际投资有限公司,-6000000,9.90,51960960,大宗交易,李忠,董事,受控法人
27,2015-02-03,冠联国际投资有限公司,-1000000,9.90,57960960,大宗交易,李忠,董事,受控法人
28,2015-01-29,冠联国际投资有限公司,-8000000,9.90,58960960,大宗交易,李忠,董事,受控法人
29,2014-12-31,李国通,790000,--,790000,增持,李国通,副总经理,本人
30,2014-12-08,赵再伟,-3150,10.65,0,竞价交易,赵红梅,高管,兄弟姐妹
31,2014-12-04,赵再伟,-5000,10.55,3000,竞价交易,赵红梅,高管,兄弟姐妹
32,2014-12-03,赵再伟,-1750,10.23,8000,竞价交易,赵红梅,高管,兄弟姐妹
33,2014-12-02,赵再伟,-5100,10.25,9750,竞价交易,赵红梅,高管,兄弟姐妹
34,2014-07-17,鲁承诚,120000,8.75,790000,竞价交易,鲁承诚,高管,本人
35,2014-06-30,鲁承诚,670000,--,670000,增持,鲁承诚,常务副总经理,本人
36,2014-03-13,鲁承诚,670000,8.63,670000,二级市场增持,鲁承诚,常务副总经理,本人
37,2014-02-11,陈兴,-8360,10.96,0,竞价交易,陈汉,董事、高管,兄弟姐妹
38,2014-02-10,湛江市国通水产有限公司,-16000000,9.10,0,大宗交易,李忠,董事,受控法人
39,2013-07-03,叶丹,5000,4.97,10000,竞价交易,唐思洋,董事,配偶
40,2013-06-30,黄智敏,-100400,--,301100,减持,黄智敏,董事/副总经理,本人
41,2013-06-30,吴丽青,-100400,--,301100,减持,吴丽青,董事/财务总监,本人
42,2013-06-30,赵红梅,-80300,--,241000,减持,赵红梅,副总经理,本人
43,2013-06-28,叶丹,5000,5.05,5000,竞价交易,唐思洋,董事,配偶
44,2012-10-30,李忠,118300,5.40,1033911,竞价交易,李忠,董事,本人
45,2012-10-29,李忠,510611,5.40,915611,竞价交易,李忠,董事,本人
46,2012-09-25,李忠,190000,5.36,405000,竞价交易,李忠,董事,本人
47,2012-09-14,李忠,95000,5.43,215000,竞价交易,李忠,董事,本人
48,2012-09-13,李忠,120000,5.49,120000,竞价交易,李忠,董事,本人
49,2012-06-30,黄智敏,-133900,--,401500,出售,黄智敏,"副总经理,董事",本人
50,2012-06-30,唐思洋,-133900,--,401500,出售,唐思洋,董事,本人
51,2012-06-30,吴丽青,-133900,--,401500,出售,吴丽青,"董事会秘书,财务总监,董事",本人
52,2012-06-30,赵红梅,-107000,--,321300,出售,赵红梅,副总经理,本人
53,2011-05-10,李彩莲,-900,10.93,--,竞价交易,李忠,董事,兄弟姐妹
54,2011-05-03,李彩莲,900,10.95,0,竞价交易,李忠,董事,兄弟姐妹
55,2011-04-25,陈兴,7600,13.13,0,竞价交易,陈汉,董事、高管,兄弟姐妹
