,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2019-12-31,于乐洪,300,--,11400,不详,于乐洪,董事,本人
1,2019-10-29,王玲,-664990,42.36,0,竞价交易,孙宪法,董事、高管,配偶
2,2019-10-10,于乐洪,300,35.09,11400,竞价交易,于乐洪,董事,本人
3,2019-07-02,邹丽丽,-15000,31.21,--,竞价交易,张东明,董秘、董事、高管,配偶
4,2019-03-18,邹丽丽,-10000,29.10,--,竞价交易,张东明,董秘、董事、高管,配偶
5,2019-03-13,马晓瑜,-10000,42.00,--,竞价交易,高小涛,证券事务代表,配偶
6,2019-03-12,马晓瑜,-10000,39.47,--,竞价交易,高小涛,证券事务代表,配偶
7,2019-03-12,邹丽丽,-10000,39.47,--,竞价交易,张东明,董秘、董事、高管,配偶
8,2019-03-04,韩家贤,-800,26.02,--,竞价交易,曲平,高管,配偶
9,2019-01-24,邹丽丽,-31000,14.98,--,竞价交易,张东明,董秘、董事、高管,配偶
10,2018-12-31,孙希民,-20000000,--,94310000,出售,孙希民,董事长,本人
11,2018-12-31,孙宪法,20000000,--,33512348,购买,孙宪法,"副董事长,总经理",本人
12,2018-09-03,韩家贤,800,13.91,--,竞价交易,曲平,高管,配偶
13,2018-06-30,孙希民,-20000000,--,94310000,减持,孙希民,董事长,本人
14,2018-06-30,孙宪法,20000000,--,33512348,增持,孙宪法,"副董事长,总经理",本人
15,2018-02-07,孙希民,-20000000,--,94310000,协议转让,孙希民,董事长,本人
16,2018-02-07,孙宪法,20000000,--,33512348,协议转让,孙宪法,"副董事长,总经理",本人
17,2018-02-02,马晓瑜,10000,8.88,--,竞价交易,高小涛,证券事务代表,配偶
18,2018-02-02,邹丽丽,22400,8.91,--,竞价交易,张东明,董秘、董事、高管,配偶
19,2018-02-01,马晓瑜,20000,9.74,--,竞价交易,高小涛,证券事务代表,配偶
20,2018-02-01,邹丽丽,20000,10.10,--,竞价交易,张东明,董秘、董事、高管,配偶
21,2018-01-31,邹丽丽,28600,10.90,--,竞价交易,张东明,董秘、董事、高管,配偶
22,2017-07-17,孙宪秋,-2000,15.76,--,竞价交易,孙希民,董事,子女
23,2017-07-14,孙宪秋,6400,15.21,--,竞价交易,孙希民,董事,子女
24,2016-12-31,周东,-2850,--,8550,减持,周东,董事、副总经理,本人
25,2016-06-30,周东,-2850,--,8550,二级市场减持,周东,副总裁、董事,本人
26,2016-06-01,周东,-2850,32.66,8550,竞价交易,周东,董事、高管,本人
27,2015-12-31,郭志春,3000,--,3000,增持,郭志春,董事,本人
28,2015-12-31,曲平,3000,--,3000,增持,曲平,财务总监,本人
29,2015-12-31,孙宪法,620051,--,13512348,增持,孙宪法,副董事长、总经理,本人
30,2015-12-31,于乐洪,11100,--,11100,增持,于乐洪,董事,本人
31,2015-12-31,张东明,8500,--,8500,增持,张东明,董事、副总经理、董事会秘书,本人
32,2015-12-31,周东,11400,--,11400,增持,周东,董事、副总经理,本人
33,2015-11-26,孙宪法,158000,16.04,13512348,竞价交易,孙宪法,董事、高管,本人
34,2015-11-25,曲平,3000,16.47,3000,竞价交易,曲平,高管,本人
35,2015-11-25,孙宪法,129949,16.14,13354348,竞价交易,孙宪法,董事、高管,本人
36,2015-09-02,周东,5000,8.57,11400,竞价交易,周东,董事、高管,本人
37,2015-09-01,周东,6400,9.28,6400,竞价交易,周东,董事、高管,本人
38,2015-08-28,郭志春,1500,9.99,3000,竞价交易,郭志春,董事,本人
39,2015-08-27,张东明,1000,8.94,8500,竞价交易,张东明,董秘、董事、高管,本人
40,2015-08-26,张东明,7500,9.97,7500,竞价交易,张东明,董秘、董事、高管,本人
