,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2018-02-02,毛闽钧,6600,4.51,--,竞价交易,陈曦,证券事务代表,配偶
1,2015-12-31,刘平山,200000,--,272501,增持,刘平山,董事长,本人
2,2015-06-30,刘平山,200000,--,272500,增持,刘平山,董事长,本人
3,2015-03-26,欧顺珠,400,26.00,400,竞价交易,王志明,董事,父母
4,2015-02-05,刘平山,200000,19.35,272501,竞价交易,刘平山,董事,本人
5,2014-10-20,周笑华,5000,12.95,18000,竞价交易,刘平山,董事,配偶
6,2013-05-14,王瑞英,-2417,4.51,0,竞价交易,李锦华,独立董事,配偶
7,2010-12-31,刘平山,41827,--,41827,历史遗留社团法人股司法确权,刘平山,"董事,董事长",本人
8,2010-10-08,刘玉英,-1859,9.16,--,竞价交易,洪跃华,高管,配偶
9,2010-06-30,刘平山,41827,--,41827,因司法确权获得该股份,刘平山,董事长,本人
10,2010-02-23,周笑华,-17885,8.04,--,竞价交易,刘平山,董事,配偶
11,2009-12-31,刘平山,55770,--,55770,司法确权,刘平山,"董事长,董事",本人
12,2008-04-21,陈文奇,-3000,6.70,--,二级市场买卖,陈德和,董事,子女
13,2008-04-15,陈文奇,3000,8.80,0,二级市场买卖,陈德和,董事,子女
