,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2020-01-23,刘永梅,-100000,3.62,--,竞价交易,刘云涛,监事,兄弟姐妹
1,2020-01-20,刘云涛,900,3.63,900,竞价交易,刘云涛,监事,本人
2,2019-12-31,车轼,-4022600,--,12067800,不详,车轼,"董事长,总经理",本人
3,2019-09-25,车轼,-4022600,3.85,12067800,竞价交易,车轼,董事、高管,本人
4,2017-04-13,姜开源,200,10.38,--,竞价交易,战淑萍,董事、高管,配偶
5,2015-12-31,车辙,-100000,29.17,--,竞价交易,车轼,董事、高管,兄弟姐妹
6,2015-11-12,朱春生,10000000,--,10000000,增发,朱春生,监事,本人
7,2015-06-24,车辙,100000,28.11,100000,竞价交易,车轼,董事、高管,兄弟姐妹
8,2015-04-07,于青松,100,17.24,1600,竞价交易,于春松,高管,兄弟姐妹
9,2015-04-01,于青松,1500,17.54,1500,竞价交易,于春松,高管,兄弟姐妹
10,2011-12-31,车轼,45200,--,8045200,二级市场交易,车轼,"董事,董事长",本人
11,2011-12-31,丛义周,40000,--,40000,二级市场交易,丛义周,"副总经理,董事",本人
12,2011-12-31,李存明,10000,--,10000,二级市场交易,李存明,"总经理,董事",本人
13,2011-12-20,丛晓焜,200,13.86,--,竞价交易,丛义周,董事、高管,子女
14,2011-06-30,车轼,45200,--,8045200,二级市场增持,车轼,董事长,本人
15,2011-06-30,丛义周,40000,--,40000,二级市场增持,丛义周,董事兼副总经理,本人
16,2011-06-30,李存明,10000,--,10000,二级市场增持,李存明,"董事,总经理",本人
17,2011-06-24,丛义周,10000,14.27,40000,竞价交易,丛义周,董事、高管,本人
18,2011-06-23,李存明,10000,13.82,10000,竞价交易,李存明,董事、高管,本人
19,2011-06-22,车轼,45200,13.84,8045200,竞价交易,车轼,董事,本人
20,2011-03-01,丛义周,30000,17.73,30000,竞价交易,丛义周,高管,本人
21,2010-12-31,于克兴,-600,--,0,二级市场交易,于克兴,监事,本人
22,2010-12-31,赵玉山,-331983,--,3090917,二级市场交易,赵玉山,"董事,副总经理,副董事长",本人
23,2010-12-22,赵玉山,-2124,19.14,3090917,竞价交易,赵玉山,董事、高管,本人
24,2010-12-20,赵玉山,-6000,20.00,3093041,竞价交易,赵玉山,董事、高管,本人
25,2010-12-15,赵玉山,-20000,20.10,3099041,竞价交易,赵玉山,董事、高管,本人
26,2010-12-13,赵玉山,-1400,18.36,3119041,竞价交易,赵玉山,董事、高管,本人
27,2010-12-08,赵玉山,-62200,18.59,3120441,竞价交易,赵玉山,董事、高管,本人
28,2010-11-04,赵玉山,-15200,21.67,3182641,竞价交易,赵玉山,董事、高管,本人
29,2010-11-03,赵玉山,-200059,21.32,3197841,竞价交易,赵玉山,董事、高管,本人
30,2010-10-12,赵玉山,-25000,20.65,3397900,竞价交易,赵玉山,董事、高管,本人
31,2010-08-24,于克兴,-600,14.12,0,竞价交易,于克兴,监事,本人
32,2009-12-31,于克兴,600,--,600,二级市场购入,于克兴,职工监事,本人
