,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2018-12-31,曹家富,1409000,--,3299000,增持,曹家富,董事长,本人
1,2018-12-31,杜道峰,20000,--,20000,增持,杜道峰,"副总经理,董事会秘书",本人
2,2018-12-31,刘明金,1500,--,1500,增持,刘明金,副总经理(离任),本人
3,2018-12-31,闵群,19800,--,325966,增持,闵群,"董事,常务副总经理",本人
4,2018-12-31,汪开江,35800,--,35800,增持,汪开江,"董事,总经理,财务总监",本人
5,2018-12-31,张家明,20800,--,20800,增持,张家明,常务副总经理,本人
6,2018-06-30,曹家富,1409000,--,3299000,增持,曹家富,"董事长,总经理",本人
7,2018-06-30,杜道峰,20000,--,20000,增持,杜道峰,"副总经理,董事会秘书",本人
8,2018-06-30,闵群,19800,--,325966,增持,闵群,"董事,常务副总经理",本人
9,2018-06-30,汪开江,35800,--,35800,增持,汪开江,"董事,副总经理,财务总监",本人
10,2018-06-30,张家明,20800,--,20800,增持,张家明,常务副总经理,本人
11,2018-06-20,曹家富,70000,6.01,3299000,竞价交易,曹家富,董事、高管,本人
12,2018-06-20,杜道峰,20000,5.93,20000,竞价交易,杜道峰,董秘、高管,本人
13,2018-06-20,闵群,19800,6.06,325966,竞价交易,闵群,董事、高管,本人
14,2018-06-20,汪开江,35800,5.89,35800,竞价交易,汪开江,董事、高管,本人
15,2018-06-20,张家明,20800,5.92,20800,竞价交易,张家明,高管,本人
16,2018-05-18,曹家富,260000,7.54,3229000,竞价交易,曹家富,董事、高管,本人
17,2018-05-17,曹家富,214000,7.41,2969000,竞价交易,曹家富,董事、高管,本人
18,2018-05-16,曹家富,865000,7.43,2755000,竞价交易,曹家富,董事、高管,本人
19,2017-03-28,王正芬,-400,10.65,--,竞价交易,朱闽川,董事,配偶
20,2017-03-27,王正芬,400,10.64,--,竞价交易,朱闽川,董事,配偶
21,2016-12-31,李世良,-93650,--,281350,减持,李世良,副总经理,本人
22,2016-12-31,闵群,-100000,--,306166,减持,闵群,董事、常务副总经理,本人
23,2016-12-31,杨志明,-112500,--,337500,减持,杨志明,监事会主席,本人
24,2016-08-23,李世良,-93650,11.48,281350,竞价交易,李世良,高管,本人
25,2016-08-23,闵群,-100000,11.47,306166,竞价交易,闵群,董事、高管,本人
26,2016-08-22,杨志明,-112500,11.21,337500,竞价交易,杨志明,监事,本人
27,2015-11-04,朱红,-146800,11.05,--,竞价交易,曹正启,董事,配偶
28,2015-08-26,高雁,900,7.81,1000,竞价交易,张予,高管,配偶
29,2015-08-26,高雁,-900,7.92,1000,竞价交易,张予,高管,配偶
30,2015-08-24,高雁,1000,8.47,1000,竞价交易,张予,高管,配偶
31,2015-08-03,朱红,146800,10.94,146800,竞价交易,曹正启,董事,配偶
32,2015-07-17,高雁,-1600,9.52,--,竞价交易,张予,高管,配偶
33,2015-07-16,高雁,1600,8.37,1600,竞价交易,张予,高管,配偶
34,2014-12-31,李世良,-1000,--,375000,减持,李世良,副总经理,本人
35,2014-12-10,孙钺,-3000,7.30,0,竞价交易,高翔,证券事务代表,配偶
36,2014-10-17,孙钺,3000,7.35,3000,竞价交易,高翔,证券事务代表,配偶
37,2014-09-17,河南省农业综合开发公司,-9000000,--,19026666,大宗交易,于跃荣,董事,受控法人
38,2014-06-30,李世良,-1000,--,375000,减持,李世良,副总经理,本人
39,2014-04-16,李世良,-1000,5.73,375000,竞价交易,李世良,高管,本人
40,2013-12-31,李世良,-124000,--,376000,减持,李世良,副总经理,本人
41,2013-12-31,闵群,-93834,--,406166,减持,闵群,董事、副总经理,本人
42,2013-12-31,杨志明,-150000,--,450000,减持,杨志明,监事会主席,本人
43,2013-11-11,李世良,-3000,6.99,376000,竞价交易,李世良,高管,本人
44,2013-11-07,河南省农业综合开发公司,-7000000,7.03,28026666,大宗交易,于跃荣,董事,受控法人
45,2013-11-07,李世良,-1000,7.08,379000,竞价交易,李世良,高管,本人
