,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2019-12-26,李圆斌,29300,11.95,--,竞价交易,李双斌,高管,兄弟姐妹
1,2019-11-05,陈瑞桓,-100,15.16,--,竞价交易,陈新生,董事,子女
2,2019-10-23,陈瑞桓,100,15.28,--,竞价交易,陈新生,董事,子女
3,2019-02-21,施美丽,-80000,11.51,--,竞价交易,沈伟平,董事、高管,配偶
4,2018-12-31,曲向阳,5200,--,5200,增持,曲向阳,副总裁,本人
5,2018-12-31,苏礼荣,-3217212,--,0,减持,苏礼荣,副总裁,本人
6,2018-12-31,王振坤,40000,--,40000,增持,王振坤,副总裁(离任),本人
7,2018-12-31,夏闽海,15000,--,15000,增持,夏闽海,财务总监,本人
8,2018-12-31,张炳良,22800,--,22800,增持,张炳良,监事会主席,本人
9,2018-12-31,朱爱民,-3217212,--,0,减持,朱爱民,副总裁,本人
10,2018-08-20,施美丽,6000,4.14,--,竞价交易,沈伟平,董事、高管,配偶
11,2018-07-06,李倩,12000,3.80,--,竞价交易,郁谦,高管,配偶
12,2018-07-06,施美丽,10000,3.90,--,竞价交易,沈伟平,董事、高管,配偶
13,2018-07-04,施美丽,15000,4.05,--,竞价交易,沈伟平,董事、高管,配偶
14,2018-07-02,施美丽,12000,4.19,--,竞价交易,沈伟平,董事、高管,配偶
15,2018-06-30,王振坤,40000,--,40000,增持,王振坤,副总裁,本人
16,2018-06-30,夏闽海,20000,--,20000,增持,夏闽海,财务总监,本人
17,2018-06-30,张炳良,22800,--,22800,增持,张炳良,监事会主席,本人
18,2018-06-28,李倩,3000,4.33,--,竞价交易,郁谦,高管,配偶
19,2018-06-28,王振坤,20000,4.32,40000,竞价交易,王振坤,高管,本人
20,2018-06-27,施美丽,5000,4.30,--,竞价交易,沈伟平,董事、高管,配偶
21,2018-06-26,施美丽,1000,4.38,--,竞价交易,沈伟平,董事、高管,配偶
22,2018-06-26,张炳良,22800,4.39,22800,竞价交易,张炳良,监事,本人
23,2018-06-22,李倩,10000,4.57,--,竞价交易,郁谦,高管,配偶
24,2018-06-22,王振坤,20000,4.57,20000,竞价交易,王振坤,高管,本人
25,2018-06-22,朱正阳,12000,4.50,--,竞价交易,朱爱民,高管,子女
26,2018-06-21,李倩,5000,4.50,--,竞价交易,郁谦,高管,配偶
27,2018-06-21,沈伟平,34000,--,36250,二级市场竞价交易,沈伟平,总裁,本人
28,2018-06-21,施美丽,32000,4.53,--,竞价交易,沈伟平,董事、高管,配偶
29,2018-06-21,郁谦,15000,--,15000,二级市场竞价交易,郁谦,副总裁,本人
30,2018-06-21,张宇,20000,--,20000,二级市场竞价交易,张宇,"副总裁,董秘",本人
31,2018-06-20,李倩,10000,4.53,--,竞价交易,郁谦,高管,配偶
32,2018-06-20,施美丽,1000,4.48,--,竞价交易,沈伟平,董事、高管,配偶
33,2018-06-20,夏闽海,20000,4.42,20000,竞价交易,夏闽海,高管,本人
34,2018-06-20,夏艳,28800,4.46,48800,竞价交易,夏艳,证券事务代表,本人
35,2018-06-20,张济民,20000,4.47,--,竞价交易,张宇,董秘、高管,父母
36,2018-06-19,李倩,5000,4.63,--,竞价交易,郁谦,高管,配偶
37,2018-06-19,施美丽,1000,4.67,--,竞价交易,沈伟平,董事、高管,配偶
38,2018-06-19,夏艳,20000,4.38,20000,竞价交易,夏艳,证券事务代表,本人
39,2018-06-14,朱正阳,1300,5.33,--,竞价交易,朱爱民,高管,子女
40,2018-06-13,朱正阳,3000,5.55,--,竞价交易,朱爱民,高管,子女
41,2017-12-31,苏礼荣,3217212,--,3217212,增持,苏礼荣,副总裁,本人
42,2017-12-31,张邦辉,2000000,--,191302612,增持,张邦辉,董事长,本人
43,2017-12-31,朱爱民,3217212,--,3217212,增持,朱爱民,副总裁,本人
44,2017-06-30,张邦辉,2000000,--,191302612,增持,张邦辉,董事长,本人
45,2017-06-02,施美丽,1000,7.81,--,竞价交易,沈伟平,高管,配偶
46,2017-05-25,施美丽,500,7.91,--,竞价交易,沈伟平,高管,配偶
47,2017-05-11,张邦辉,1000000,8.39,191302612,竞价交易,张邦辉,董事、高管,本人
48,2017-04-26,张邦辉,1000000,9.42,190302612,竞价交易,张邦辉,董事、高管,本人
49,2016-12-31,傅衍,258527,--,473966,增持,傅衍,副总裁,本人
50,2016-12-31,胡来根,5386896,--,9875226,增持,胡来根,监事会主席,本人
51,2016-12-31,陆裕肖,430879,--,789945,增持,陆裕肖,副总裁,本人
52,2016-12-31,王韦,310879,--,789945,增持,王韦,副总裁,本人
53,2016-12-31,吴天星,28070625,--,114117267,增持,吴天星,董事长,本人
