,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2020-07-15,李福忠,-600000,8.36,4564400,竞价交易,李福忠,董事,本人
1,2020-07-14,刘迎春,-80000,8.50,355000,竞价交易,刘迎春,高管,本人
2,2020-07-13,邓一新,-100000,8.26,805000,竞价交易,邓一新,董秘,本人
3,2020-05-26,路漫漫,-50000,6.90,7599645,集中竞价交易,路漫漫,董事长助理,本人
4,2020-01-08,王志军,-570000,8.01,3088931,竞价交易,王志军,董事、高管,本人
5,2020-01-07,李满福,-200,7.48,--,竞价交易,李福忠,董事,兄弟姐妹
6,2019-12-31,邓一新,-300000,--,905000,不详,邓一新,董事会秘书,本人
7,2019-12-31,刘运添,-440000,--,1332500,不详,刘运添,"董事,副总经理",本人
8,2019-12-31,王志军,-450000,--,3658931,不详,王志军,"董事,副总经理",本人
9,2019-12-31,谢昌贤,-830000,--,2500000,不详,谢昌贤,"董事,总经理",本人
10,2019-11-06,王志军,-150000,6.93,3658931,竞价交易,王志军,董事、高管,本人
11,2019-11-04,王志军,-50000,6.56,3808931,竞价交易,王志军,董事、高管,本人
12,2019-10-31,王志军,-150000,6.62,3858931,竞价交易,王志军,董事、高管,本人
13,2019-10-25,王志军,-100000,6.30,4008931,竞价交易,王志军,董事、高管,本人
14,2019-09-17,邓一新,-300000,5.85,905000,竞价交易,邓一新,董事会秘书,本人
15,2019-09-17,刘运添,-440000,5.82,1332500,竞价交易,刘运添,"董事,副总经理",本人
16,2019-09-17,谢昌贤,-830000,5.81,2500000,竞价交易,谢昌贤,"董事,总经理",本人
17,2018-02-01,路牡丹,612000,6.57,--,竞价交易,王东晓,董事,配偶
18,2018-01-31,路牡丹,983300,6.68,--,竞价交易,王东晓,董事,配偶
19,2018-01-29,路牡丹,881706,6.69,--,竞价交易,王东晓,董事,配偶
20,2018-01-24,路牡丹,1170000,6.80,--,竞价交易,王东晓,董事,配偶
21,2018-01-18,路牡丹,1714350,6.72,--,竞价交易,王东晓,董事,配偶
22,2018-01-17,路牡丹,2872600,6.67,--,竞价交易,王东晓,董事,配偶
23,2018-01-16,路牡丹,1766000,6.38,--,竞价交易,王东晓,董事,配偶
24,2016-12-31,邓一新,563000,--,1205000,增持,邓一新,董事会秘书,本人
25,2016-12-31,李福忠,2414679,--,5164465,增持,李福忠,副董事长,本人
26,2016-12-31,刘迎春,203000,--,435000,增持,刘迎春,副总经理,本人
27,2016-12-31,刘运添,827500,--,1772500,增持,刘运添,董事、副总经理,本人
28,2016-12-31,王志军,1918359,--,4108931,增持,王志军,董事、副总经理,本人
29,2016-12-31,谢昌贤,1566000,--,3330000,增持,谢昌贤,董事、总经理,本人
30,2016-12-27,谢昌贤,-150000,10.30,3330000,竞价交易,谢昌贤,董事、高管,本人
31,2016-09-22,李福忠,-830000,11.87,5164465,大宗交易,李福忠,董事,本人
32,2016-09-22,刘迎春,-145000,12.23,435000,竞价交易,刘迎春,高管,本人
33,2016-09-22,刘运添,-175000,12.30,1772500,竞价交易,刘运添,董事、高管,本人
34,2016-08-22,邓一新,-400000,11.59,1205000,大宗交易,邓一新,董秘,本人
35,2016-08-22,李福忠,-880000,11.59,5994465,大宗交易,李福忠,董事,本人
36,2016-08-22,刘运添,-415000,11.59,1947500,大宗交易,刘运添,董事、高管,本人
37,2016-08-22,王志军,-1365000,12.18,4108931,竞价交易,王志军,董事、高管,本人
38,2016-08-22,谢昌贤,-930000,11.59,3480000,大宗交易,谢昌贤,董事、高管,本人
39,2016-05-26,姚惠茹,100,8.88,--,竞价交易,姚建雄,监事,兄弟姐妹
40,2016-05-18,闻继宏,10000,9.00,--,竞价交易,郑留计,监事,配偶
41,2016-04-15,王志军,-1000,25.93,2189572,竞价交易,王志军,董事、高管,本人
42,2016-01-05,李满福,200,19.35,--,竞价交易,李福忠,董事,兄弟姐妹
43,2015-12-14,李刚,-200,20.22,--,竞价交易,李福忠,董事,子女
44,2015-12-11,李刚,200,20.27,--,竞价交易,李福忠,董事,子女
45,2015-09-16,王春苗,8010,12.34,8010,竞价交易,王东晓,董事,子女
46,2015-07-28,牛有江,2600,17.20,2600,竞价交易,牛有山,高管,兄弟姐妹
47,2014-08-15,谢昌贤,-86000,15.50,1764000,竞价交易,谢昌贤,董事、高管,本人
48,2014-08-13,谢昌贤,-112000,15.22,1850000,竞价交易,谢昌贤,董事、高管,本人
49,2014-08-01,刘迎春,-12000,14.80,232000,竞价交易,刘迎春,高管,本人
50,2014-07-31,谢昌贤,-80000,13.81,1962000,竞价交易,谢昌贤,董事、高管,本人
51,2014-07-30,邓一新,-214000,13.55,642000,大宗交易,邓一新,董秘,本人
52,2014-07-30,刘运添,-315000,13.55,945000,大宗交易,刘运添,董事、高管,本人
53,2014-07-30,谢昌贤,-310000,13.55,2042000,大宗交易,谢昌贤,董事、高管,本人
54,2014-06-30,邓一新,428000,--,856000,增持,邓一新,董事会秘书,本人
55,2014-06-30,李福忠,1374893,--,2749786,增持,李福忠,副董事长,本人
56,2014-06-30,李维奇,803095,--,1606190,增持,李维奇,董事、副总经理,本人
57,2014-06-30,刘迎春,90000,--,244000,增持,刘迎春,副总经理,本人
58,2014-06-30,刘运添,630000,--,1260000,增持,刘运添,董事、副总经理,本人
59,2014-06-30,邬瑞岗,457000,--,914000,增持,邬瑞岗,财务总监,本人
60,2014-06-30,吴明夏,375000,--,1125000,增持,吴明夏,董事,本人
61,2014-06-30,谢昌贤,1176000,--,2352000,增持,谢昌贤,董事、总经理,本人
62,2014-06-13,刘迎春,-20000,12.50,244000,竞价交易,刘迎春,高管,本人
63,2014-06-05,刘迎春,-44000,12.50,264000,竞价交易,刘迎春,高管,本人
64,2014-03-03,吴明夏,-187500,23.39,562500,大宗交易,吴明夏,董事,本人
65,2013-12-31,邓维康,-372865,--,438000,减持,邓维康,董事,本人
66,2013-12-31,邓一新,-140121,--,428000,减持,邓一新,董事会秘书,本人
67,2013-12-31,李维奇,-260000,--,803095,减持,李维奇,"董事,副经理",本人
68,2013-12-31,刘迎春,-46552,--,154000,减持,刘迎春,副总经理,本人
69,2013-12-31,刘运添,-200860,--,630000,减持,刘运添,副总经理,本人
70,2013-12-31,邬瑞岗,-150000,--,457000,减持,邬瑞岗,财务总监,本人
71,2013-12-31,吴明夏,-250000,--,750000,减持,吴明夏,董事,本人
72,2013-12-31,谢昌贤,-312143,--,1176000,减持,谢昌贤,"董事,总经理",本人
73,2013-11-12,刘迎春,-26000,22.40,154000,竞价交易,刘迎春,高管,本人
74,2013-09-25,李维奇,-130000,22.67,803095,竞价交易,李维奇,董事、高管,本人
75,2013-09-12,李维奇,-130000,21.45,933095,竞价交易,李维奇,董事、高管,本人
76,2013-08-27,邓一新,-140121,21.29,428000,大宗交易,邓一新,董秘,本人
77,2013-08-27,邬瑞岗,-150000,21.29,457000,大宗交易,邬瑞岗,高管,本人
78,2013-08-26,刘运添,-200860,21.34,630000,大宗交易,刘运添,高管,本人
79,2013-08-26,谢昌贤,-312143,21.34,1176000,大宗交易,谢昌贤,董事、高管,本人
80,2013-08-22,刘迎春,-20552,21.80,180000,竞价交易,刘迎春,高管,本人
81,2013-08-12,吴明夏,-250000,19.80,750000,大宗交易,吴明夏,董事,本人
