,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2019-12-31,王寿纯,45023400,--,134100000,不详,王寿纯,董事长,本人
1,2019-06-30,王寿纯,45023400,--,134100000,不详,王寿纯,董事长,本人
2,2019-05-29,王寿纯,485100,18.40,134100000,竞价交易,王寿纯,董事,本人
3,2018-06-30,王寿纯,36926600,--,89076600,增持,王寿纯,董事长,本人
4,2018-05-14,徐厚华,-2000,23.94,--,竞价交易,李存明,独立董事,配偶
5,2018-03-19,王寿纯,98000,20.49,52398000,竞价交易,王寿纯,董事,本人
6,2018-03-19,徐厚华,2000,20.56,--,竞价交易,李存明,独立董事,配偶
7,2018-03-15,王寿纯,150000,20.43,52300000,竞价交易,王寿纯,董事,本人
8,2017-12-31,王寿纯,-23800,--,52150000,出售,王寿纯,董事长,本人
9,2017-09-01,王寿纯,-20000,32.52,52150000,竞价交易,王寿纯,董事,本人
10,2017-06-30,王寿纯,-3800,--,52170000,减持,王寿纯,董事长,本人
11,2017-06-20,王寿纯,-3800,31.35,52170000,竞价交易,王寿纯,董事,本人
12,2016-06-30,王可功,-1500000,--,4500000,减持,王可功,董事,本人
13,2016-06-30,王寿纯,123800,--,52173800,增持,王寿纯,"总裁,董事长",本人
14,2016-04-18,王可功,-750000,33.83,4500000,竞价交易,王可功,董事,本人
15,2016-04-12,王可功,-750000,32.59,5250000,大宗交易,王可功,董事,本人
16,2016-01-06,王寿纯,123800,32.60,52173800,竞价交易,王寿纯,董事、高管,本人
17,2015-12-31,王寿纯,50000,--,52050000,增持,王寿纯,董事长、总裁,本人
18,2015-09-07,王寿纯,50000,20.60,52050000,竞价交易,王寿纯,董事、高管,本人
