,旅行者类型,昵称,地区,时间,标题,评论
0,家庭,hzliang05,英国威勒尔,2019年9月29日,"天, 简直浪费钱","我们找动物园的过程就遇到了很多麻烦, 然后回去酒店还要坐公车, 那公车真的太挤了, 黑猩猩的园区里那些护栏都很矮小, 他们可以轻易逃脱, 然后袭击游客, 还有, 把动物圈养在那么小的地方, 真的太残忍了, 让动物在马戏团里表演也一样很残忍, 这里的票价也很贵, 空中缆车没有开放"
1,家庭,Camper02107361696,北京市,2018年12月7日,孩子最喜欢的地方,"大热天来这里玩, 真的是很爽, 水上乐园相对来说离酒店比较远, 走路过去要, 分钟, 建议做摆渡车前往, 进门就是换衣服的地方, 建议自备手机防水袋, 这里卖的比较贵, 游乐设施花样很多, 因为我们是带孩子去的, 所以基本上都是配孩子在浅水区玩, 一些比较刺激的项目都没有坐, 呆的最久的地方就是园区中间的造浪区, 人造海浪还是挺好玩的, 中间舞台还有歌舞表演和音乐演奏, 气氛很不错, 要不是晚上还要去看大马戏, 真的是想多玩一会, 以后有机会还会去的"
2,家庭,Eat-Drink-Online,西班牙马德里,2017年10月29日,"如果带孩子夏天去广州, 一定要来这里","这里的玩乐项目种类之多, 之全, 以及设计之精细完全出乎去前的预料, 各种游乐项目, 考虑到了不同年龄段的人群, 娱乐, 刺激, 挑战融为一体, 欢乐在其中, 唯一的不足, 是这里的蚊子实在太多了, 把每个人咬得都是, 遍体鳞伤"
3,家庭,54684,法国巴黎,2017年7月12日,好玩,"长隆的水上乐园真的不是一般的好玩呢, 夏天在这里玩上一整天都不腻誒, 真的非常的棒, 非常的棒哦, 下次一定会再来, 开心"
4,家庭,wenshao, ,2017年3月25日,长隆是个好地方,"这是一个好地方, 夏天来临, 携老带幼, 乐也融融, 园内有全套的游园设施, 漂流有动物元素, 金刚鹦鹉适时表演, 给游客清凉的世界探险增添活泼与动感, 还有摇滚乐队, 异国舞蹈, 高难度杂技, 我喜欢夜场, 夜幕降临, 泳池内聚集大量游客, 充分享受, 人工造浪, 劲爆音响, 水上飞人, 还有摇滚乐队, 异国舞蹈, 高难度杂技, 最震撼要数, 马戏杂技表演, 气派, 完美, 非常推荐"
5,家庭,is04zzc,广东省广州市,2016年12月27日,紧张刺激,"非常刺激的水上游乐设备, 没有一定的胆子还是不敢挑战的, 适合喜欢刺激的朋友在这里体验各种让人尖叫的水上项目"
6,家庭,Dream67058478743,805,2016年12月7日,广州知名的大型水上乐园,"在迎宾路长隆旅游度假村内, 名气很大, 许多人慕名而来, 入门时会检查, 食物和玻璃瓶的东西都不能带, 但可以免费寄存在门口的寄存处, 出来时候拿就好, 项目很好玩, 很刺激, 大滑板, 大喇叭, 垂直极限, 喷射滑道, 离心滑道这些项目都推荐玩一玩"
7,家庭,chihjenw,Zhongshan District,2016年10月31日,非常适合全家的水上乐园,"中秋节去的, 九点三十入园, 气候已经偏凉, 冷冷的感觉, 过中午就好了, 一整天下来, 没擦防晒, 还是被晒伤, 非常棒的水上乐园"
8,家庭,johnnykwan11,香港,2016年3月29日,"不错, 儿子喜欢","长隆水上乐园, 里面太多东西玩了, 二百多块的门票, 也不算贵, 孩子很喜欢, 不过唯一的缺点就是多人, 水有点脏, 不过也算了, 值回票价"
9,家庭,Compass55560915955,广东省广州市,2015年12月2日,太好玩了,"月初去的, 人多的简直觉得自己是来作死的, 一般这种景点都是, 点后人超级多, 不过太好玩了, 很久没玩过那么开心了, 大喇叭最好玩, 急速冲浪太恐怖了, 我有幽闭恐惧症, 不敢往管道里面钻, 另外, 好多美女, 好多比基尼"
10,家庭,macychen,广东省深圳市,2015年8月12日,不错的旅行,"在网上买的水上乐园和大马戏的套票, 先去了水上乐园, 进场时告之看完大马戏还可以入园游玩, 把喜欢玩水的孩子高兴坏了, 挺不错的体验"
11,家庭,admobe,云南省昆明市,2015年2月17日,只有广州的最好,"全国有很多水上乐园, 不过这里应该是最好的, 当然, 广东因为天气热, 一年可以开设半年, 应该是成本不高的原因, 所以设施和设备也很完善, 而且玩的花样也是非常非常的多, 感觉好玩的不得了, 还有给孩子玩的地方"
12,夫妻,Charlene_Huang,瑞士苏黎世,2019年8月31日,好玩值得再来,"玩了大喇叭, 大蟒蛇, 巨兽碗, 大滑板, 喷射滑道, 都超好玩, 刺激, 值得再来, 刚开始心慌慌, 后来根本停不下, 推荐买夜场票, 人少, 排队快"
13,夫妻,Cathyy026,香港,2018年4月17日,第一次到长隆水上乐园玩,"第一次到长隆水上乐园玩, 是今年开幕的第一天, 有开业优惠活动, 每人的入场价格大约人民币一百元, 天气还好但是人蛮多的, 有些要排队排很久"
14,夫妻,Kasev3v,香港,2018年1月11日,去了几次的水上乐园,"长隆水上乐园差不多每年都会去一次, 每次都是四月五月去的, 这个时段客人较少, 不用排队排太久, 而且往年更有开业优惠活动, 每人价钱都不过一百元人民币"
15,夫妻,CintiaPonMa,南非德班,2017年9月8日,夏末的狂欢,"景点不算大, 离地铁口稍微有点距离, 旁边是长隆欢乐世界, 网上订购票可以优惠不少, 但一般都是一日两人的票, 景区内存放物品很方便, 不时会有一些外国友人驻唱或者表演节目, 有人造温泉和海滩, 水上游玩项目较刺激, 但是因为周末来, 排队很久, 一般每个项目需要排一个小时左右, 很浪费时间, 刺激一闪即逝, 而等待却无比漫长, 联系还是工作日去, 如果有可能的话, 推荐人造巨洪峡"
16,夫妻,284868734,广东省广州市,2017年5月5日,大家都玩的很过瘾,"长隆集团果然是, 级景区, 整个集团包括水上乐园, 动物世界, 欢乐世界, 鳄鱼公园, 长隆酒店等配套设施, 设施齐全, 让游客满足, 劳动节天气很给力, 女人门票特价, 元一张特别划算, 里面项目很多, 有大喇叭, 人造浪, 滑梯, 儿童专区等等, 里面是不允许带食物进去滴, 吃饭喝东西偏贵但可以接受, 从早玩到下午四五个小时就累趴了, 大家都玩的很过瘾"
17,夫妻,plchwpi,"广州市, 广东省",2015年12月2日,华南最值得去的水上乐园,"长隆水上乐园里面超级的, 无论大人或者小孩都可以在这里尽兴的玩耍, 其中里面有漂流河跟人工冲浪池, 还有超级多不同刺激级别的滑梯, 真是吃好玩的"
18,独自旅游,SamuelS4630,香港,2017年4月18日,大型品牌的游乐场,"如果夏日炎炎真是一个好地方可以消遣一天时间, 不过票价贵加上又要去其他园区玩仲贵, 建议买套票和去旅行社买团体票, 会省下好多金钱"
19,独自旅游,DayTrip62172057966,广东省广州市,2016年10月21日,玩水乐园,"特别的好玩, 值得一来, 不过要准备好防晒, 墨镜, 还有拖鞋, 不然会湿的很不方便, 尤其最好玩的是造浪池, 固定时间还有节目, 台下观众一起互动泼水, 很有气氛的呢, 冲浪也是非常刺激, 不过园里面不是特别大, 建议吃饱再去, 因为进园不让带吃的"
20,独自旅游,Trip07519133330,广东省广州市,2015年10月19日,"如果不远自驾游的旅客夜场足够玩了, 值得玩的项目就几个","比较刺激的项目感觉只有大喇叭, 巨兽碗, 喷射滑道, 垂直滑梯, 还有大水桶倒水那里的滑梯, 还有一两个忘了, 反正个人觉得玩了这几个其他基本不用去了, 然后就是挑个适当的时间去看夜场表演真的非常精彩, 有互动, 有外国美眉"
21,商务,TRAVELER_LEOWANG,台北市,2017年7月7日,刺激有挑战的水上乐园,"这个水上乐园的设施新颖创新, 即刺激, 又有挑战, 水上活动难免会淋得满身湿, 好玩又有趣, 喜欢刺激冒险的朋友可以来这儿挑战一下喔"
22,好友,Lingcheng1227,香港,2019年8月1日,"大, 热, 人真多","和, 个朋友一起去水上乐园玩, 消消暑的, 进去乐园的, 有, 个, 提前买好手机防水套, 泳衣, 拖鞋, 带现金比较方便, 因为有些机动游戏不让带手机玩, 又要付钱去存有点麻烦, 直接带现金就什么都可以去玩, 有点小钱的, 就买那个优先票, 因为排队排到怀疑人生, 基本上每个都要排队, 小时左右, 以上是暑假周末去的小提醒, 大家要是想去, 还是尽量找周一到周五吧, 应该比较好"
23,好友,Trail54616035122,湖北省,2019年6月18日,一定要准备好这些东西哦,"景点园里面的东西较贵, 可能凡是景点的东西都贵, 建议去玩的游客提前准备好泳衣, 防晒霜, 拖鞋, 防水袋, 如果里面去买的话很不划算, 乐园里面还不能带食物, 吃饭的话只能在里面吃了, 里面有部分大型游乐项目都需要排很长的队, 一天的话是不可能玩完所有的项目的, 建议挑一挑自己喜欢玩的项目, 比较嗨的是夜场电音, 真的是嗨哦, 时间为下午, 点到, 点钟, 来玩的游客们不容错过呦"
24,好友,lingggyl,香港,2019年5月16日,好玩的水上乐园,"我是开园第二天去的, 门票有优惠而且当天还邀请了明星出席, 场内很多人, 普遍游戏都不用排队排太长, 园内餐厅食物味道普通, 要做好防蚊措施, 有很多很多蚊"
25,好友,ThomanL1,香港,2019年5月13日,玩水,"昨天我们去了水上乐园玩水, 我们去了欢乐喷泉, 按摩池, 其中按摩池可以按掣出水, 我去了人造沙滩, 当人造冲浪出现, 被人后推"
26,好友,tofukc,香港,2018年10月3日,员工服务态度不错,"第一次到这水上乐园, 发现员工表现积极, 会主动建议你使用还未有太多人排队的设施, 此外, 员工亦对未有遵守规定的人发出警告, 给人感觉安心"
