,旅行者类型,昵称,地区,时间,标题,评论
0,家庭,aya971104, ,2019年8月25日,"园区里面很多的游乐设施, 而且表演都非常的好看","园区里面很多的游乐设施, 而且表演都非常的好看, 有一个表演的秀里面还融合的魔术, 小孩看了哈哈大笑, 非常的推荐大家"
1,家庭,WIN350-500-700-883,1947,2019年5月28日,先进的机动游戏,"这里有着很先进的机动游戏, 玩得很刺激, 而且还有水上项目和各种精彩的表演, 值得玩一整天的场所, 适合青年人来玩"
2,家庭,phonee2b3e2526db2018,福建省厦门市,2018年5月22日,合家欢必去,"我们是全家一起去的, 合适全家人玩的项目特别多, 最主要孩子开心, 过山车什么的人排队很多, 一次玩不过瘾, 孩子说以后还来, 如果能有什么通票的最好了, 暑假估计人都得排上一两小时, 另外, 激流勇进还是挺刺激的, 野生动物园还没去呢"
3,家庭,Eat-Drink-Online,西班牙马德里,2017年10月29日,很多的惊喜,"两年前女儿因为看, 奔跑吧兄弟, 知道了长龙欢乐世界, 按照事先的规划, 今年回国后的第二天就陪她乘高铁一路南下到了广州, 隔天之后就到了长龙欢乐世界, 我们是赶在国内学生还没有放假的前几天过去的, 真的是好运气, 人不多, 几乎所有的有刺激的游乐项目, 我和女儿都是坐在第一排, 真的很兴奋, 游乐园的设备, 管理, 其中的餐厅, 洗手间等辅助功能都做得很完善, 真挑不出什么问题, 希望能够管理的更好"
4,家庭,HKcarcar,香港,2017年10月18日,广州番禺区的大型游乐场,"长隆欢乐世界是在广州番禺区最大型的游乐场, 内里游乐设施好多, 大人小朋友都有合适的游戏, 形过山车, 十环过山车, 犘托车过山车等都好好玩, 玩一天都不够, 但最好避开国内假日及假期, 我分别在圣诞节及复活节来玩, 好少人, 基本上都不用排队, 玩得好舒服"
5,家庭,Passport810989,广东省广州市,2017年8月21日,非常好玩,"这里有世界最大, 最刺激的十环过山车, 垂直过山车, 形滑板, 摩托过山车, 还有大摆锤, 在没人的工作日去玩, 真是太爽了, 几乎不用排队, 但是千万不要暑假, 不要周末去啊, 人太多了"
6,家庭,JuncoChan,广东省广州市,2017年5月1日,"番禺必去的景点, 但是不要在暑假去","各种机动游戏过山车很好玩, 设备越来越多, 很适合去游玩, 可是尽量不要在暑假或假日, 因为人太多了, 好一点的项目基本排队都要, 个小时, 然后就玩几分钟, 后面你会发现, 你其实都是在排队, 哈哈"
7,家庭,wenshao, ,2017年2月13日,长隆欢乐世界,"身为一个广州人, 我想, 去长隆欢乐世界, 是我们这一代人, 一定会去的地方, 里面的机动游戏, 都非常过瘾, 还有, 长隆马戏团, 表演非常精彩, 好震撼, 曾经, 在一个万圣节期间, 再次来到这里, 造访了鬼屋, 笑着进去, 哭着出来, 就差著未屁滚尿流, 想想也觉得好笑, 作死的节奏, 每次都有个很好的回忆"
8,家庭,1134018170,海南省三亚市,2016年11月15日,岁孩子都可以欢畅游玩,"之前去过各种游乐园, 孩子总是不能尽兴, 大人玩儿的孩子不能玩儿, 看着有着急, 长龙欢乐世界各种设施有成人版, 也有儿童版的, 飞马过山车, 激流勇进孩子都可以体验哦"
9,家庭,Climber12001355221,广东省广州市,2016年8月1日,开心欢乐世界,"长隆旗下我最喜欢的主题公园, 有适合年青人追求刺激项目, 也有少年项目更有宝宝乐园, 更喜欢她的表演, 规模大很震撼"
10,家庭,KristenYe,广东省东莞市,2016年7月19日,刺激的游乐项目很多,"很久以前来过长隆欢乐世界, 那时各种游乐项目排队的人都很多, 刺激的游乐项目很多, 还有现场的真人表演, 惊爆危机岛, 都挺不错的"
11,家庭,Tour00636689375,3,2016年7月19日,喜欢,"我是比较胆小的人, 当时去的时候不敢玩十环过山车, 大摆锤和垂直过山车, 因为害怕离心力, 型滑板是在维修, 然后丛林过山车超级好玩, 就是你伏在摩托车上面, 然后背后有安全措施按着你, 挺有离心力的, 不是很怕, 还有因为我没有玩大摆锤什么的, 所以就看遍了全部可以看的小电影啊小剧场的, 我觉得这些挺适合小朋友看, 然后, 这个地方适合全家去也适合几个朋友一起去玩"
12,家庭,Maps61434523496,江苏省江阴市,2016年7月12日,还不错哦,"阴天正适合这样的景点, 里面的项目也很不错, 休闲和刺激的都有, 因为早上飘了一会儿雨, 所以人不算多, 队伍也不长, 如果是人多的时候建议大家在门口买, 票, 或者是在园中买一种手环, 是可以免排队的, 里面的小丑游行很喜欢, 不过有一点缺陷就是园中东西好贵, 不推荐穷游的人来"
13,家庭,Stellalong,台湾,2016年7月9日,可以,"其实没什么好玩的, 人多时排队也很浪费时间, 刺激的其实也还算可以而已, 其他都一般啦, 反正小朋友都只是玩那几项, 也没什么要求, 顺便玩玩囉"
14,家庭,NicoleChen, ,2016年5月19日,欢乐游,"园区不算很大, 但是机动游戏挺多的, 很多, 米以下小朋友不允许乘坐, 有几个机动游戏非常挺刺激的, 还有些表演, 小朋友也挺喜欢的, 适合一家大小"
15,家庭,johnnykwan11,香港,2016年3月29日,人太多了,"在番禺的, 地铁可以到, 在汉溪下车就行了, 长隆附近有三个乐园, 一个是动物世界, 一个是水上世界, 一个是欢乐世界, 里面人超级多, 排队很久才玩, 推荐大家去动物园"
16,家庭,Curious38673990911,广东省广州市,2016年3月10日,适合各种年龄阶段,"以前办年卡, 经常带孩子来玩, 几乎成了陪伴孩子成长的乐园, 每年都有符合主题的活动, 例如圣诞, 万圣节, 就是门票越来越贵, 餐饮越来越贵"
17,家庭,mona-mona,北京市,2015年9月18日,很是刺激的欢乐大世界,"这里类似于北京的欢乐谷, 有成人玩的, 也有小, 玩的, 适合各类人群, 有的设施是有身高或者年龄限制的, 小, 可以玩的还是比较少的, 吃饭和表演都校仿新加坡的环球影城, 吃饭的地方比较多, 纪念品商场的商品也不错, 门口有租婴儿车的地方, 一天还可以多次往返乐园, 另外进门要过安检, 不许带食品和饮料入场"
18,家庭,Voyager42435362871,北京市,2015年9月14日,如果有快速通道特权玩一天足够,"如果是长隆酒店住客, 入园时记得登记领取快速通道的腕带, 非常有用, 几个过山车的刺激程度排序, 垂直过山车, 十环过山车, 摩托过山车, 欢乐剧场的近景魔术很精彩, 北美伐木秀比较滑稽, 南门附近那个特技表演有点类似迪士尼乐园的未来水世界, 喜欢动作片的筒子不要错过, 里面很多动作特技哦, 动画片, 里约大冒险, 可以看一看, 不过如果看过珠海海洋王国的, 卡卡大冒险, 就会有曾经沧海难为水的感觉, 星际决战不刺激, 但效果还不错, 适合家庭观看, 如果有快速通道特权, 而且不是假日, 那么这里玩一天足够"
19,家庭,admobe,云南省昆明市,2015年2月17日,胆子小就不别去了,"胆子就真的就不别去了, 去了也是浪费钱, 如果够胆的话, 真的非常好玩, 很多东西是国内第一次, 而且安全性也不用多考虑, 看看每天那么多人上去, 你就机会明白, 这里真的非常出色"
20,家庭,winsonwoo,广东省广州市,2014年10月11日,长隆欢乐世界,"长隆欢乐世界在某网站活动秒杀的时候搞了一张门票, 以前去的时候没有垂直过山车, 现在去也不太想玩, 因为要看着孩子, 逐个去排队玩太浪费时间了, 家人玩得挺开心的, 女儿倒是被那个小型跳楼机给吓到了"
21,家庭,JerryBeckham,香港,2013年6月4日,球迷的主题公园,"如果你是一个球迷的主题公园, 在这里你需要得到一点点在清晨, 你会不长龙平日享受公园的所有部分, 有很多过山车, 您可以尝试, 这些都是清凉和乐趣, 因为较低的可怕的程度, 直到非常吓人, 哈哈尖端, 如果有人想不弄湿任何游乐设施, 你可能需要带上雨衣, 然而那些被出售从有人在门前的是更昂贵的比正常率第二个提示, 当你把雨大衣和穿, 让我们的楼梯在那里的船能撞溅水给你留, 记得覆蓋你的脸和所有可以得到通过水部分, 它的乐趣, 当休波水飞溅到你, 缺点是公园里面的饮食又贵又少又不好吃"
22,夫妻,Roylui,香港,2020年3月17日,必须要去的景点,"这里设施保养非常之新净, 即使是很旧款的十环过山车也维护良好, 同时也有数种不同的过山车, 最新型的过山车非常之高, 又有冲到水里的感觉, 很刺激, 各有着不同特色, 合适一家大细一起玩, 这个是必须要去的景点"
23,夫妻,Kasev3v,香港,2018年1月11日,垂直跳楼过山车,"长隆欢乐世界就即系机动游戏乐园, 里面有刺激的机动游戏, 十分适合年轻一辈, 当中我最喜欢的是垂直跳楼过山车, 坐头排真的十分紧张刺激, 挑战性十足"
