,昵称,时间,评论
0,腥红月影,2020-02-26,"长隆飞鸟乐园距离长隆度假区比较远, 游客也比长隆其它三大景区的少很多, 但这并不代表飞鸟乐园的观赏性, 游玩性会比其它三大景区下降丝毫, 景区内有多种一级保护动物和多国的国鸟, 以及多场科普表演都能让游客更好的了解鸟类, 爱护鸟类, 园区内还有乘船游湖项目, 和部分爬行动物, 是一个可以慢慢逛上一天的休闲游好去处"
1,绿色大白鲨,2020-03-23,"广州长隆飞鸟乐园在长隆度假区, 在熊猫酒店对面乘坐免费的摆渡车, 需要在野生动物园还需换乘一次, 乐园此野生动物园小不少, 门票还可以接受, 定点定时有各种动物表演, 游人不是太多, 特别适合亲子游"
2,winsonwoo,2020-02-07,"小孩玩得非常开心的乐园, 单单看表演就非常的过瘾, 很多动物都让小孩好奇, 小朋友小的都不怕蛇, 飞鸟确实表演很不错, 各种来自世界各地的鸟种, 大开眼界"
3,_gf622****989353,2020-02-07,"小朋友玩的特别开心, 飞鸟主要是看飞鸟, 一看到孔雀就开心得不得了, 在乐园那边跟他是玩的特别的开心, 全部都是游乐的设施, 鹦鹉也是小朋友的最爱"
4,_M15****1199,2020-01-15,"值得推荐, 演出都是展示动物的生活场景, 就吃吃飞飞的, 这边人少些, 参与了很多互动, 科普讲堂有从蛋到初生的宝宝, 只是不同种类哈哈, 百鸟飞歌各种鸟类成群飞过, 很美, 坐了船但是觉得没必要, 很小一圈, 主要是鹈鹕, 有几只天鹅, 不如就各点看了, 各种喂食, 喂河马最搞笑, 简直是在打河马"
5,维妙维肖666,2019-11-28,"值得一游, 园内有很多珍奇鸟类, 工作人员非常热情, 会耐心的讲解介绍, 进入景区可以取一张表演节目单, 按时间安排可以观看表演, 从广州市内可以坐地铁, 号线到长隆站下车从, 口出来, 乘坐长隆免费巴士到长隆酒店, 野生动物园, 大马戏, 飞鸟乐园等地方, 很方便"
6,winsonwoo,2019-11-08,"如果说在广州找一个好玩的动物园, 那么我可以推荐的主要就是三个地方一个是廉价的广州动物园, 第二个就是服务和演出超好的长隆, 动物园, 第三个就是这里了, 性价比是中的一个乐园就是, 飞鸟乐园, 祝你可以看到各种的鸟类, 他们都是人类的好朋友, 对于学习了那科普知识的小朋友来说是非常合适的地方"
7,pekingwang,2020-01-10,"冬天的广州气候最好, 来广州最有趣的莫过于长隆, 长隆里面的飞鸟乐园有鹈鹕, 火烈鸟等等, 在这里可以让孩子亲手制作鸟食, 然后与动物近距离接触投喂"
8,288****703,2020-01-01,"飞鸟乐园是长隆性价比最高的了, 我认为, 里面有鸟类表演, 鳄鱼, 还有儿童乐园哦, 小朋友在里面玩的开心哦, 票的价格也不贵, 块钱左右, 里面还有很多地方可以和小动物互动"
9,Tanya7151010,2020-01-15,"里面有很多珍稀的鸟类, 朱鹮, 红鹮, 丹顶鹤等等, 孩子最喜欢喂鹦鹉, 鹦鹉吃瓜子好厉害, 还会把瓜子売吐出来, 你喂它兩颗瓜子, 它会把兩颗都抓到爪子里握住, 然后一顆一颗分开吃, 金刚鹦鹉还会学人说话, 你说, 它也说, 可爱极了, 不过不知道为什么, 现在不能喂金刚鹦鹉了, 只能喂绿色的小鹦鹉, 坐船游玩也很有趣, 可以喂鹈鹕吃小鱼, 喂天鹅吃面包, 它们会一直追着船游, 游船至中途时, 风景很美, 兩岸也有一些鸟, 船上会有工作人员讲解"
