,旅游者类型,昵称,时间,日期
0,家庭,M68****64,2014-08-30,"很精彩的杂技表演, 每个表演都让人鼓掌尖叫, 不过动物的表演相对来说太少了点, 性价比不算太高"
1,家庭,M58****940,2019-02-21,"演出节目非常精彩刺激, 值得点赞, 灯光, 音响配置科学合理, 效果十分震撼, 演员表演很投入, 非常敬业"
2,家庭,乐悟吃凹,2016-03-28,"来广州就来长隆玩玩, 重头戏就是大马戏太好看了, 建议此处, 日游, 大夫山, 长隆, 沙湾古镇, 这几个离得很近"
3,家庭,樊崽子,2015-06-08,"马戏团的演出非常精彩, 孩子甚是喜欢, 过年期间价格比平时还要贵, 有机会还是平时带孩子看一次"
4,家庭,186****3626,2015-05-27,"妈妈玩的非常开心, 下次有朋友去一定会介绍看这个表演, 如果套票可以更优惠就好了, 还会再来的"
5,家庭,LAUALLEN,2015-04-09,"长隆国际马戏大剧院, 真的超级好看, 虽然门票不是很便宜, 但是无与伦比的节目编排, 动用很多高难度动作与舞蹈演员, 真的不容错过"
6,家庭,187****4520,2015-03-31,"真的超级好看, 强力推荐, 去长隆一定要去观看, 很精彩, 进去后如果想看的更清楚可以另外加钱买, 或者一等座, 元, 以后有宝宝了会再来"
7,家庭,juniezhu,2015-01-08,"非常棒的马戏表演, 门票贵了一点哦, 各种动物, 特别爱表扬, 也很听话的, 一下子童心未眠啊, 哈哈, 很精彩, 值得一看, 去广州还是值得推荐去吗戏剧院的哦"
8,家庭,妞V给大爷笑一个,2014-10-27,"去广州旅游必去的地方, 长隆国际大马戏, 拥有全球最大的专业马戏表演场, 灯光可以说是全新长隆国际大马戏的最大亮点之一, 从国外进口高科技焰火, 可以随音乐不断变幻造型, 共有六组, 每组高达, 米, 相当于三层楼, 的高度, 而且有四种不同的颜色可以变换, 太美了, 超值"
9,家庭,M11****804,2014-09-05,"没有进去过, 外面看着还可以, 希望有票, 求票"
10,家庭,lin****yi2,2014-08-30,"演出节目超好, 灯光舞台效果及演员阵容没的挑, 强烈推荐, 来长隆必看的节目, 大马戏不看, 来长隆白来"
11,家庭,133****3567,2014-06-05,"国际大马戏很好看, 有趣, 整个过程很开心, 有互动, 值得一去的地方"
12,家庭,艾以恩,2014-05-06,"非常不错, 游玩过最好的游乐园, 推荐大家都去喔"
13,家庭,中仲马,2014-04-18,"马戏看过的都说精彩, 但是如果遇到节假日想舒舒服服的看, 应该要早点进去霸位, 门票有点贵, 但是还是值得的"
14,家庭,lin****yi2,2014-08-30,"演出节目超好, 灯光舞台效果及演员阵容没的挑, 强烈推荐, 来长隆必看的节目, 大马戏不看, 来长隆白来"
15,家庭,133****3567,2014-06-05,"国际大马戏很好看, 有趣, 整个过程很开心, 有互动, 值得一去的地方"
16,家庭,艾以恩,2014-05-06,"非常不错, 游玩过最好的游乐园, 推荐大家都去喔"
17,家庭,中仲马,2014-04-18,"马戏看过的都说精彩, 但是如果遇到节假日想舒舒服服的看, 应该要早点进去霸位, 门票有点贵, 但是还是值得的"
18,家庭,lin****yi2,2014-08-30,"演出节目超好, 灯光舞台效果及演员阵容没的挑, 强烈推荐, 来长隆必看的节目, 大马戏不看, 来长隆白来"
19,家庭,133****3567,2014-06-05,"国际大马戏很好看, 有趣, 整个过程很开心, 有互动, 值得一去的地方"
20,家庭,艾以恩,2014-05-06,"非常不错, 游玩过最好的游乐园, 推荐大家都去喔"
21,家庭,中仲马,2014-04-18,"马戏看过的都说精彩, 但是如果遇到节假日想舒舒服服的看, 应该要早点进去霸位, 门票有点贵, 但是还是值得的"
