,旅游者类型,昵称,时间,评论
0,家庭,你懂的三Y,2014/8/24,"公园不算很大, 里面设多了很多消费项目, 如小孩捞鱼, 以前是免费的, 但现在要十五元, 觉得不划算, 不过增设了一些表演, 还可以, 门票贵了点, 升得太快了"
1,家庭,小新星,2014/4/12,"半个月内去了两次鳄鱼公园, 第一次是全家老少一起去, 都觉得超赞, 爷爷奶奶喜欢那里的空气和稀少物种, 还中意那个神奇瓜果园, 小朋友超喜欢有那么多动物可以亲密接触, 尤其对于蟒蛇是情有独钟, 而我们呢, 老人小孩都高兴, 我们就高兴, 所以, 春节, 又约了朋友一起出游, 同样, 满意度很高"
2,家庭,xu思思思,2015/8/6,"买的是野生动物园和鳄鱼公园的套票, 还是比较划算的, 里面也有很多动物参观, 还有条鳄鱼王"
3,家庭,juniezhu,2015/1/13,"这个鳄鱼公园真是值得一去, 以前在电视看到的各种鳄鱼, 没想到现实中看到了, 我是觉得挺吓人的, 适合胆子大的人去, 建议买套票比较划算, 带孩子的要看紧了啊, 门票"
4,家庭,曾卡133,2014/5/20,"好多鳄鱼呀, 大大小小的, 在晒太阳睡觉的鳄鱼动也不动, 有得张着嘴, 还以为是假的了"
5,家庭,两香情悦,2014/5/19,"票价个人感觉有些贵, 不过能欣赏到很多动物精彩表演, 也值啦, 在这里给一个好评吧"
6,家庭,心中女神,2014/4/11,"广州鳄鱼公园年年都吸引不少的游客, 因为里面的表演和展示都是集趣味, 科普, 刺激的视觉感受, 所以特别受学生的青睐, 里面主要以供游客观赏大小的鳄鱼为主, 还有观看鳄鱼表演, 猴子表演, 海洋动物表演, 小狗表演, 奇异植物展示等的主题公园, 第一次看到这么多真的鳄鱼, 好壮观啊, 鳄鱼表演蛮不错, 看的时候捏一把汗啊"
7,夫妻,M10****126,2015/8/24,"很适合带小朋友去玩, 特别是跟爬行动物的精彩互动, 全身起鸡皮疙瘩, 表演节目很精彩, 很紧凑, 从, 点开始节目一个接一个, 绝对值回票价"
8,夫妻,M23****160,2015/8/12,"景色游玩, 元门票是值得的, 小孩去的话还会学到很多科普知识, 可是为什么要收停车费呢, 我很郁闷啊, 消费了上千元还要收停车费, 不爽很不爽"
9,夫妻,小家碧玉,2015/8/24,"我们带着女儿一家三口一起去参观的鳄鱼公园, 总结很开心又放松心情, 最得意的是, 湖中白天鹅跟黑天鹅的精彩表演, 因为我女儿是第一次看, 虽然她只有, 岁还不会讲太多话来表达, 但从她当时的咆叫声就知她很兴奋又好奇又高兴, 只要孩子开心, 我们今天的游玩, 值了"
10,夫妻,暗夜逍遥,2014/10/15,"带老人和孩子去玩, 第一次近距离观看到鳄鱼, 还让孩子和我们第一次见到了鳄鱼宝宝, 还让我们第一次像钓鱼那样钓鳄鱼, 真够刺激的"
11,夫妻,喜欢游玩的游客liang,2019/4/12,"朋友送我的票, 之前还不知道有这么有乐趣的飞鸟乐园, 带小孩上午十点到下午五点半还看不够, 实在太棒了, 还来不及玩儿童乐园, 乐鳄鱼恶作剧只在还是步步惊心"
12,夫妻,sallyzhi,2015/6/13,"不错的一个主题园, 地方相对长隆另外几个园来说不算大, 但是有很多小演出看, 最喜欢的是园里的工作人员服务态度, 会主动过来跟你解说各种动物的特性, 让你不会只是为了玩而玩, 涨知识了的同时又玩得开心"
13,夫妻,m87****25,2014/10/8,"还是非常好玩的, 动物非常多, 特别推荐小朋友去玩, 吃的喝的比较贵, 钓鳄鱼很好玩, 一些表演也很有意思, 总的来说还是不错"
14,夫妻,288****140,2014/8/14,"公园不算很大, 里面设多了很多消费项目, 如小孩捞鱼, 以前是免费的, 但现在要十五元, 觉得不划算, 不过增设了一些表演, 还可以, 门票贵了点, 升得太快了"
15,夫妻,_CFT01****3141298,2015/8/15,"很值得去看, 物美价廉, 小朋友很开心, 下午下雨了兴致也不减, 很多小动物表演, 看了鳄鱼宝宝破壳出生, 很奇特的公园"
16,夫妻,M22****980,2015/8/13,"节目比以前多了很多, 排得也很紧凑, 就是去的时候从地铁长隆站转了三次公交, 花了近两个小时, 人实在是太多了, 进门时还要开包检查, 水果, 及面包都不能带, 最坑就是里面的东西太胃贵了, 一个冰激凌, 一口粉, 要去的先准备好哦"
17,夫妻,M20****127,2015/8/4,"交通很方便, 出地铁站有免费公交可以到达景区, 就是星天去, 人挺多的, 公交都是满满的人, 里面挺好玩的"
18,夫妻,iJasper,2015/7/6,"这个景点绝赞, 全家出动一起去的, 大家都玩的很, 绝对五星推荐, 鳄鱼公园还是挺不错的, 环境很好, 空气很新鲜, 出来鳄鱼还有很多其他的小动物可以观赏, 而且还有许多动物的表演观看, 相对香江野生动物园, 我个人觉得鳄鱼公园性价比比较高, 带上你的恋人一起去吧, 恨她, 就带她去西藏, 爱她就带她去鳄鱼公园吧"
19,夫妻,落花无风,2014/8/4,"虽然叫鳄鱼公园, 其实是湿地公园, 有很多水禽和水兽, 当然鳄鱼最多, 河马很萌啊, 海豹表演很, 自然环境很舒服, 人也没有长隆本区多, 门票也便宜点, 公共交通不便, 但是长隆有免费穿梭巴"
20,夫妻,M81****93,2014/6/6,"那里不止有鳄鱼, 比以前还新增了好多小动物, 孩孑们很喜欢, 值得去玩一下"
21,夫妻,300****555,2018/10/23,"性价比很高, 虽然离长隆度假区有一段距离, 但接驳很完善, 经过地铁站, 在度假区门口, 或者会江地铁站都有免费巴士直达, 电子票很容易操作就能进园了, 园内鸟类超多, 百鸟飞歌, 鳄鱼表演非常精彩, 虽然不是节假日双休日, 但员工都很热情讲解, 鹈鹕, 河马真的很可爱, 家人都玩得很开心, 值得去, 特别适合小孩子教育和接触大自然的好地方, 有机会会再去, 也会推荐朋友"
22,夫妻,小猪,2015/9/29,"还可以, 门票不贵, 最喜欢的是花车巡游, 给我们带来惊喜, 很好看"
