,旅游者类型,昵称,时间,日期
0,家庭,w小瑾,2015-11-05,"如果没有去过真正的动物园游玩, 广州长隆野生动物世界是一个不错的选择, 最好选择非节假日出游, 不然在看到各种萌物之前要先挤过人山人海, 像一些剧场表演, 如河马剧场, 白虎跳水等, 如果人多可能会影响心情哦, 另外, 若条件允许, 最好带上长焦镜头, 因为有些动物离我们比较远, 如小火车之旅, 就恨需要一个长焦镜头, 虽然我的长隆游记里用的是定焦头哈, 可供参考"
1,家庭,SAE酱一生推,2015-05-17,"在好玩的景点也不能节假日来玩, 全是游客, 所有的动物都有很多人, 但是确实很大很多种类的动物很有意思, 餐厅人多价格高味道也一般, 做小火车游览也不能停下来跟动物互动有点可惜, 就是进园不能带吃的, 水倒是可以带的"
2,家庭,M55****149,2017-02-05,"长隆野生动物世界门票, 成人价, 元, 会员专享, 长隆动物园特惠套票, 元起, 长隆野生动物园"
3,家庭,M23****124,2016-08-18,"里面的东西是外面的五六倍, 简直打劫, 再也不想去了"
4,家庭,西楼满月,2017-02-14,"需要一个白天才能游玩, 最好一早到, 自己带一点干粮, 可以近距离地观赏各种动物, 很好的体验"
5,家庭,205****906,2016-08-08,"可以去看看, 但也没那么好, 推荐南门进, 步行观赏中区, 到北门坐游览车, 再步行观赏一路的猴子族群, 回到南门"
6,家庭,_WeCh****52572,2015-06-06,"玩的不错, 就是交通太不方便出租车很黑, 蚊子特别多"
7,家庭,156****7920,2015-03-05,"强烈推荐长隆动物世界真的超值, 还看到了三毛四毛五毛和妮娜, 一天玩下来之后就觉得, 多的票价真的不贵, 动物品种多, 数量多, 一看他们就知道在这里过得很舒服, 都跟泡芙一样享受, 环境好, 没有明显的隔离栏, 就像在大自然中寻找动物一样, 里面的工作人员都特别热情, 还有小火车, 把各个洲的动物都看个遍, 各个表演也是超赞互动性超强, 会有送礼品的环节我就拿到一个, 大家来之前一定要看看攻略安排好时间, 这样就不会错过动物表演, 害羞, 喜欢动物的大朋友小朋友不能错过, 呲牙, 呲牙, 呲牙"
8,家庭,可乐,2014-12-20,"真不错, 野生动物很多, 都是放养的, 很有感觉, 特别是大型动物, 推荐开车进入自驾区, 比较自由, 可以随时停车观看, 就是车票要"
9,家庭,_WB1****882,2014-12-19,"国庆去的, 自驾游比较好玩, 开车看动物的时候有时间停留, 工作车载的游客一下子就过去了, 没得说可以让你好好看看的那种"
10,家庭,tanyan227,2014-09-18,"上次广发卡搞活动买一送一去的, 一张票两个人, 动物园一般般大, 里面的消费很旧, 一个饭, 元, 长颈鹿好得意, 可以喂吃, 不过要买园内的草去喂, 总体感觉消费高"
11,家庭,行走的饭米粒,2018-12-12,"谁说去动物园的一定是小朋友, 我们也可以去动物园过情人节, 提前在长隆官网预定的门票, 因为是情人节去的, 所以有情人节套票, 包含了午餐, 我们从珠海坐城轨到广州南站, 然后乘坐地铁达到汉溪长隆站, 一路很顺畅, 很方便, 进门一定要先那个地图, 规划好路线, 缆车和小火车都免费, 很棒啊, 里面的动物很全, 想看什么都有, 唯独觉得不太好的就是, 小火车太快了, 很多小动物还没看清楚, 就过去了, 如果能多停留一会就好了"
12,家庭,乐雅派,2017-02-03,"在国内见到的最大, 动物最全的野生动物园, 整个旅游景区游玩项目繁多, 门票价格合理, 景区管理到位, 秩序很好"
13,家庭,吖军,2016-08-17,"很好玩, 就是太远了, 交通不算很方便, 里面的东西太贵了"
14,家庭,_ucwe****158899,2016-07-18,"还可以, 就是下雨天公园可以考虑免费提供雨伞雨衣类或可租"
15,家庭,颜颜1978,2016-07-02,"比想象中的好很多, 地方好大, 宝贝们玩得很开心"
16,家庭,kk****s,2016-06-28,"确实很值得去的地方, 大明友小朋友玩得开心之余又长知识, 多去亦无妨"
17,家庭,M38****676,2016-06-24,"亲子游很好的选择, 真的很不错, 早, 进园, 步行选南门, 自驾选北门, 一进门, 先拿图, 再拍剧场演出时间表, 计划一下, 我们是先看剧场表演, 都离得不远, 周围的动物可以走马观花看看, 三点半全部看完, 去北门坐小火车, 来得及, 最后一班, 点半, 我们, 月, 日去的, 人不多, 内地孩子还没放假, 园区相当正规, 管理得很好, 园区用餐还好吧, 中午在考拉餐厅点了, 元亲子餐, 吃饱了, 晚上因住长隆酒店, 所以也在园内解决, 熊猫厅点了猪扒和排骨饭, 味道还行"
18,家庭,lovebabykey,2016-04-29,"园区比较大, 逛了整整一天, 里面吃的东西都很贵, 而且餐厅等了好久才有位置, 中午还是耽误了点时间, 看到很多种类的动物, 可爱的考拉, 熊猫三胞胎, 当天人很多, 天气非常热"
19,家庭,lovebabykey,2016-04-29,"小熊猫和考拉都哈可爱, 那时候刚好五一, 人非常多, 里面是不许开闪光灯拍照的, 但还是有游客开闪光灯拍, 明显感觉到动物不舒服了, 还是希望大家可以好好爱护这么可爱的国宝"
20,家庭,138****6874,2016-03-14,"长隆, 一句话是个很适合带孩子来玩的度假区, 大马戏, 惊险刺激, 动物朋友很卖力气, 还有诙谐可爱的小丑表演, 野生动物园, 入园一直玩到, 点, 意犹未尽, 现在是淡季, 人不多, 看剧场坐儿童设施几乎不用排队, 首先, 服务很贴心, 服务生态度都很好, 说话温柔得很, 第二, 动物品种多, 动物的状态也都很, 第三, 纪念品商店手信很吸引宝宝, 餐厅虽然贵但是很有特色, 第四, 儿童乐园有, 个儿童游乐设施, 虽然今天只开了, 个, 旋转木马, 小飞龙, 卡丁车, 小火车, 但是免费且不限次坐"
21,家庭,E19****697,2016-02-27,"就上次看过在泰国旅游的一段小视频, 一个中国游客被蛇咬鼻子的事件, 有些害怕了, 现在不敢摸蛇了"
22,家庭,luzhihua888,2016-02-10,"蛮腰在猎德大桥上拍画面感会比较好, 爱好摄影的朋友建议到桥上拍, 带上, 角架, 快门线或遥控器, 广州塔拍日落秋冬季大约是"
23,家庭,156****6095,2015-12-02,"很有趣的动物园, 地方大, 从早上, 点进园到下午, 点才逛出来而且还没有完全逛到, 跟游客的互动, 以及各种讲解, 表演都很多, 挺好的, 还会再去"
24,家庭,annann314,2015-10-24,"设计很合理不走弯路, 要是和珠海横琴一样有两日票就好了"
25,家庭,缘起2014,2015-10-20,"景点确实不错, 只是建议朋友们行前做足功课, 合理安排行程, 注意有关娱乐项目的表演场次及交通线路, 参观时限"
26,家庭,M15****521,2015-09-11,很不错的地方就是时间不够玩下次一定要早点去
27,家庭,_米果菌.,2015-08-23,"景色一级棒, 可是贵, 贵, 贵, 适合孩子来, 我和男朋友一小时不到就下来了"
28,家庭,_WB2****850,2015-08-23,"动物种类很多, 园子很大, 人比起水上世界来说是少的, 推荐坐小火车, 可以近距离看动物"
29,家庭,_WeCh****65068,2015-08-23,"有许多动物, 熊猫太可爱, 不虚此行, 动物种类特别多, 表演也好看"
30,家庭,Codymm,2015-08-22,"特别好, 就是周末人比较多, 点可以基本玩遍"
31,家庭,Jayden,2015-08-20,"周末携孩子一起去也是一种乐趣, 动物还是挺多的, 总之还可以吧"
32,家庭,IreneMu,2015-08-20,"剧场的表演很一般, 而且人超多, 景区内的残都很难吃, 东西都小贵, 小火车讲解员水准不一样, 有个女讲解员讲解的非常好, 就是小火车行进速度太快了如果中途可以稍微慢点就好了"
33,家庭,M23****143,2015-08-20,"值得去, 一趟玩下来, 差不多, 个小时, 动物类型很丰富, 美中不足的是坐游览车拍照时, 前面被私家车把角度全占领了"
34,家庭,M20****062,2015-08-18,"和男朋友早早的来到长隆, 很顺利的从取票机拿到票, 等待动物园开门, 在这期间我们遇到了一个姐姐, 她带着她的父母来玩, 她在美团上订的, 一开始找不到哪里拿票, 四处打电话, 都急了, 也是, 好不容易带着父母来玩却遇到这样的情况, 进到园区, 我们在入口哪拿了地图, 地图是很有用的, 以至于我最后可以把所有的景点游完, 感觉好值, 一定要关注剧场的时间, 剧场里看动物表演, 还有机互动, 最后我们去坐了小火车, 好过瘾, 小火车免费的, 你想坐几遍坐几遍, 至于吃方面, 我没有在景区消费, 东西贵贵哒, 矿泉水是可以拿进去的, 然后你可以自己偷偷带些香肠鸡蛋阿什么的, 只要放在包里的暗格里, 他们是不会打开来的, 还有一点, 园区内很阴凉, 一般不会晒到太阳, 所以防晒也可以不涂, 真的很值得去玩"
35,家庭,M14****095,2015-08-18,"挺漂亮的, 动物很多, 可惜就是价钱太贵了, 如果可以便宜一点就好了"
36,家庭,小兔兔的大兔兔,2015-08-18,"挺好玩的, 水上乐园, 比较轻松, 欢乐世界的话比较难的排队, 但是总的来说, 无有所值, 很好玩"
37,家庭,M22****997,2015-08-17,"好大的地方, 逛了一整天, 还好合理安排了, 把所有剧场看完了, 不过动物园的动物们都被驯化了吧, 这么乖顺"
38,家庭,135****6088,2015-08-13,"小孩子很喜欢, 也玩得很开心, 下雨天还不错"
39,家庭,206****885,2015-08-11,"比任何一个城市的动物园都赞, 动物种类繁多, 环境很美, 区各个节目设置都不错, 里边洗手间很干净"
40,家庭,M22****220,2015-08-11,"景区不错, 跟动物们亲密的接触, 就是景区里的消费太贵"
41,家庭,拥政-,2015-08-11,"白虎表演不错, 本人最喜欢蒙哥, 很萌的"
42,家庭,133****6152,2015-08-10,"有点惊艳的感觉, 名不虚传, 意犹末尽"
43,家庭,136****8318,2015-08-10,"那里非常好玩, 而且还有很多动物, 推荐家庭出游"
44,家庭,M11****140,2015-08-09,"和初恋女友第一次约会的地方, 满满的回忆, 建议冬季再去, 夏季太热, 人又多, 而且动物的粪便会很臭"
45,家庭,M18****968,2015-08-09,"最爱去动物园啦, 特别是长隆, 大爱, 真善美呀"
46,家庭,那又怎样,2015-08-09,"真的值得一去的动物园, 特别是带小朋友去特好, 能学到很多, 环境干净整洁, 动物也多, 而且跟动物的接触非常近距离"
47,家庭,M17****481,2015-08-08,"整体都还不错, 是一个值得去玩的地方, 一天时间玩不完, 建议准备两三天这样"
48,家庭,金色黎明,2015-08-08,"很多平时见不到的动物, 如老虎, 大熊猫, 可以拓展视野, 尤其是小孩子, 可以去玩玩, 就是门票稍贵"
49,家庭,莫莫,2015-08-08,"挺好玩的, 票价又实惠, 是个拍拖的好去处哟"
