,旅游者类型,昵称,时间,日期
0,家庭,绯村瑶,2016-10-10,"由于公司休假比较奇葩, 所以国庆放假没几天, 所以这个周日正常休息, 正好难得和大家错开, 于是就选择这天来长隆水上世界, 正好, 广州长隆所有的也就差这家没去过了, 票买的, 两个人, 去了以后才知道, 为神马那么便宜, 因为夜场没了呀, 所以差不多只能玩到五点半, 本来打算早早起床但是无奈爬不起来, 于是差不多一点钟才入园, 不过还好, 感觉时间够用, 因为根本没啥人, 很多项目不用排队不说, 还拼不够人数一起上, 欢喜, 先说入园, 看了大家说的, 于是买了水, 四瓶, 结果最后只喝了一瓶半多, 吃的不能带, 检查很仔细, 玻璃瓶也不行, 比如香水, 不过可以免费寄存在门口的寄存处, 出来时候拿就好, 我是很怂的人, 玩这些胆子特别小, 属于不怕转圈, 超怕失重那种, 玩迷你海盗船都会哭死, 所以我以个人角度说一下各个项目, 巨蟒, 挺有意思, 上去时候和一家人一起, 女孩子跟我说玩过了一点不刺激, 结果全程比我叫得还大声, 巨洪峡, 要穿着安全服和泳圈, 比较一般, 一点没有吓人, 就飘一下, 衣服太大, 我手撑得好累, 巨兽碗, 进去玩的第一个项目, 四个人, 一口气玩了两次, 挺好玩, 有点小刺激, 漂流河, 觉得最坑的一个项目, 还要花钱租泳圈, 四十双人, 飘了四十多分钟, 感觉都要升仙了, 超级慢, 而且没有浪, 就是泡在水里随波逐流的感觉, 造浪池, 上面租的泳圈可以在这玩儿, 然并卵, 并没有什么多出来的趣味性, 我情愿自己冲过去, 疾驰, 朋友玩的我没敢, 大滑板, 朋友玩了我没敢, 大喇叭, 虽然是大热门, 我也怂了没敢, 垂直极限, 我和朋友都怂了, 没敢, 喷射滑道, 我扛着滑圈儿上去了看到前面的妹子怂了, 于是我也怂了又跑下去, 后来被玩完的人欺骗说最不刺激的就这个, 于是又爬上去, 结果果断吓死, 明明我玩的最刺激的就这个了, 不过真的很刺激很好玩, 但是不要有第二次了, 离心滑道, 只开了两个水道, 不吓人, 挺好玩, 一个封闭, 一个露天, 差不多感觉, 夏威夷水城, 只开放红的和绿的, 红的比绿的吓人一点, 但是总体都一般, 进去存包也要花钱租柜子, 大的五十, 随身带的不贵重的可以放在每个游乐设施的旁边小筒子里面, 会送一个小筒可以装一些钱啊什么, 没有送防水袋, 建议提前买, 洗澡时候建议自己带洗头洗澡浴巾因为没有提供, 有租的但是不便宜, 除了个别女服务员, 其他的态度都不错, 只看了造浪池五点左右的表演, 好可怜, 人太少, 老外乐队们唱的卖力, 但是气氛起不来"
1,家庭,M13****501,2015-09-02,"特别好玩, 早早地把项目玩了个遍, 剩下的时间都在造浪池玩, 有一点不喜欢的就是那种从高高躺着滑下来的, 到底了水会冲进鼻子直至腹腔呀, 建议工作人员开发一个新的滑前姿势, 当然最喜欢的是大喇叭, 连着排队玩了好几次, 缺点是老公和另一对夫妻的老公要搬那么大个底座爬那么高, 觉得太辛苦, 可惜的是当时不敢睁眼, 现在想想好可惜, 下次有机会再去一次要睁着眼, 哈哈"
2,家庭,大大大只芬,2014-10-21,"设施很多, 特别是极限滑梯和大喇叭, 很刺激, 绝对要有强壮的心脏, 而且离地铁站也挺近的, 就三号线汉溪长隆站下走过去就可以了, 里面是禁止带食物入园的所以亲, 不要带食物进去哦, 可是会检查的哦, 还有不要带太多行李, 里面是要租柜子的, 元一个"
3,家庭,M17****394,2016-08-06,"长隆欢乐世界, 水上乐园一日游计划, 一, 前期准备, 衣服两套, 泳衣一套, 拖鞋一双, 毛巾一条, 洗漱用品, 沐浴露, 洗发水, 护发素, 洗面奶, 牙膏, 牙刷, 护肤品, 防晒霜, 一次性雨衣, 防水手机袋, 遮阳帽, 二, 出发游玩, 年, 月, 日晚上出发坐高铁去广州南, 休息一晚第二天早上, 点出发去长隆, 一日游的通票可以两园之间不限次数的游玩, 出发前可先将泳衣穿在里面, 随行的包里放一套换洗的衣服和毛巾, 别忘了拖鞋和洗漱用品也是要带的, 自驾游的话可以导航到长隆水上世界正门, 坐地铁的话坐地铁三号线到汉溪长隆站, 出口, 走过两座天桥, 你就可以看到大喇叭的一部分了, 顺利进去后先储物, 储物柜小柜, 元一个, 押金, 元, 带上手机, 钱这些必需品就可以了, 怕晒的建议带上防晒霜, 不过也可以隔几个小时回储物柜涂一次, 园区内提供, 电子钱包, 储值腕带消费服务, 腕带是防水的, 可以充值, 设置密码消费, 这样只要拿上手机就可以愉快的玩耍了, 然后通过两园之间的通道去欢乐世界, 营业时间, 预计游玩时间为, 点, 点, 正门, 白虎大街, 在门口记得要取阅游园指南, 长隆国际马戏大剧院, 尖叫地带, 中央演艺广场, 旋风岛, 十环过山车, 龙卷风暴, 大力水手, 型滑板及飓风飞椅, 幻影天地, 欢乐水世界, 哈比儿童王国, 森林神庙, 急流勇进, 碰碰船, 海盗漂流, 都是儿童玩的, 彩虹湾, 国际特效剧场, 垂直过山车和超级大摆锤, 旁边的通道可进入水上乐园, 南门, 计划先从南门开始玩, 水上乐园, 注意防水和防晒, 营业时间, 预计游玩时间为, 点, 点, 园内最刺激的项目为, 高速滑道, 超级大喇叭, 超级大滑板, 急驰竞赛, 巨兽碗, 都是心跳指数爆表的项目, 需要注意的是巨兽碗和大滑板, 都是需要, 个人一起才能玩的, 大喇叭是, 个人可以玩的, 人数如果不够的话, 可能要找陌生人凑数, 另外值得玩的项目有, 漂流河, 和, 造浪池, 双人浮圈, 元一个, 押金, 元"
4,家庭,tb93058566,2015-04-24,"里面有很多好玩的, 刺激的, 是夏季玩耍的好地方, 水上乐园人实在很多, 排队很浪费时间, 所以如果条件允许, 最好避开周末, 工作日去, 建议中午在附近吃完饭, 然后进园游玩"
5,家庭,卖女孩的小火柴,2015-08-22,"跟女朋友一起玩的很开心, 十环过山车, 垂直过山车, 摩托过山车, 大摆锤都特别的刺激, 的星际电影体验也是一级棒, 还有千万别错过园区的表演, 例如那个特效表演, 演员不仅专业, 而且还敬业热情, 总之不错希望以后能有个鬼屋, 女朋友想去鬼屋可是没有, 很遗憾"
6,家庭,stevenkai,2017-10-09,"国内最给力的水乐园, 人很多就是, 项目多, 排队时间稍微有点长"
7,家庭,202****302,2016-08-16,"整个园区很大, 游乐设施很多, 适合小朋友玩耍, 园区内吃的喝的很贵, 暑期, 人太多"
8,家庭,旅行与行走,2016-04-09,"很不错的景点, 推荐, 很好玩, 年去的, 年还想去"
9,家庭,乐悟吃凹,2016-03-28,"来广州时间充沛必须去的地方, 水上乐园有些冷没玩, 尤其大马戏太好看了, 建议此处, 日游, 大夫山, 长隆, 沙湾古镇, 这几个离得很近"
10,家庭,_WeCh****22985,2015-09-12,"人挺多的, 就是搭地铁的时间耽误了, 个小时, 排队玩游戏, 人较多, 要很长一段时间"
11,家庭,兔子不乖没人爱,2015-09-07,"没挑节假日去, 不是很多人, 排队很快, 也很好玩, 就是里面的食品贵得离谱, 肚子饿得不得不吃啊"
12,家庭,118****847,2015-08-30,中午前务必加油林总沟通同时利息肉丝毫不犹豫中区销售下周五点到武汉咸宁市场湖北地税武汉咸宁湘菜市场价钱多产生美好像个落实一下吗特别的电话面有合同拿来好请大家提醒醒了吗
13,家庭,D74****42,2015-08-28,"这次海洋王国之行非常满意, 留下了美好回忆, 本人非常喜欢海洋动物, 园内的海豚, 白鲸的表演水平高, 冷气也开得很猛, 鲸鲨馆里的设计非常棒"
14,家庭,210****605,2015-08-25,"节假日人很多, 大喇叭等大项目排队大概排了, 分钟, 好晒, 一定要注意防晒, 不然不知不觉晒伤了"
15,家庭,M22****059,2015-08-25,买票方便天气太热了已经晒黑要花钱保管和租泳圈
16,家庭,Jayden,2015-08-17,"好刺激, 好嗨, 炎炎夏日你值得一去, 哈哈, 确实不错, 一家人适合去过个周末"
17,家庭,xu思思思,2015-08-15,"就是不要天气太热的时候去, 不然会被晒伤的"
18,家庭,HolyWong,2015-08-15,"这次和朋友, 个人一起来的, 除了大喇叭市比较旧的设施, 其他都装有橡皮艇运送轨道, 就大喇叭自己搬橡皮艇挺累的, 其他都好玩而且景色又好, 不过去水上乐园夜也要注意时间, 太阳晒的话很容易晒伤, 这次是我第, 次来水上乐园, 基本每次都是大太阳, 然后又晒伤, 总的来说, 不错, 不过还是觉得门票略贵了一点"
19,家庭,M2Q1314,2015-08-14,"刺激好玩, 即使太阳特别毒, 也愿意着比基尼暴晒"
20,家庭,M23****076,2015-08-12,"里面的东西超级贵, 其他的还是不错的"
21,家庭,M15****913,2015-08-11,"自己带好吃的喝得才行, 里面任何东西都是那么贵"
22,家庭,206****885,2015-08-11,"表演很精彩, 总得来说还是挺值得一去的乐园, 大型的设施以及较完善的管理服务真棒, 就是人太多了"
23,家庭,M22****803,2015-08-08,"都是排队的时间过的, 一晚才玩了两样东西, 食物好贵"
24,家庭,宋文杰,2015-07-30,"玩了整整一天, 真的很好玩, 还有节目可以看, 还有大马戏简直太棒了"
25,家庭,M22****289,2015-07-30,超级好玩玩了一整天只剩下三个项目没有玩了不过回来也虚脱了
26,家庭,M21****576,2015-07-26,"好玩不过人好多, 还感冒了, 下雨好冷, 不过晚上人少, 可能比较好"
27,家庭,D20****618,2015-07-03,"真的很刺激, 不过每一个都要排队, 很麻烦, 而且我是周一去的, 可想周末更多人了"
28,家庭,lulustar,2015-06-08,"景区里面游乐设施齐全刺激, 适合一家大小出游, 没有白天那么晒, 而且晚上的节目还是很丰富"
29,家庭,樊崽子,2015-06-08,"里面的设施多不胜数, 有很多刺激的游乐项目, 后来发现热浪岛冲浪更好玩, 又不用钱, 三人套票划算"
30,家庭,xinnian05,2015-05-31,"那里服务态度真差, 态度恶劣, 去那里玩受气啊"
31,家庭,186****3626,2015-05-27,"园内娱乐设施很多, 吃的小贵, 配套齐全, 去的那天人不多, 基本上都玩光了, 太好玩了"
32,家庭,tanyan227,2015-05-16,"月底去, 天气还冷, 还好水很温, 玩得挺开心, 很刺激的大喇巴"
33,家庭,tb93058566,2015-04-22,"长隆的水上乐园还是蛮好玩的, 炎炎夏日, 来这里玩水, 游泳, 体会亲水的乐趣, 消暑降温, 有专门为孩子设计的宝贝水城和亲子滑道, 适合家庭出游, 带孩子游玩, 里面的水还是挺干净的"
34,家庭,juniezhu,2015-01-08,"哎, 唯一的感叹就是人超级多啊, 都是人, 本来想玩一个很普通的滑梯, 竟然还排队很久哦, 里面的游戏好刺激, 夏天避暑戏水的好地方啦"
35,家庭,M91****00,2014-07-29,"哈哈, 美女如云啊, 只可惜了我身材不好, 不敢下水"
36,家庭,_CFT01****4776350,2014-07-25,"时间段, 在中午去其实也不会晒, 傍晚很多人的, 然后巨洪峡好好玩又不用排队, 在里面因为玩饿了所以买了个普通的鸡腿吃也很好味, 总的就是赞, 最好自带防水袋装手机里面很贵"
37,家庭,俏厨娘rebecca,2014-07-06,"项目很多, 大人和小孩的都能找到合适的项目, 间隔一段时间还有巡游表演, 很欢乐园内有餐饮服务, 价格有点小贵, 不过味道还可以, 胜在方便, 唯一让我不喜欢的, 就是每次去人都很多, 一个项目要等十几分钟到半个小时不等, 真正玩一两分钟就结束了, 非常考验大家的耐心"
38,家庭,134****5898,2014-06-30,"水上乐园很好玩, 门票便宜, 里面玩的东西也非常多, 很适合夏天去玩"
39,家庭,189****3908,2014-06-25,"真的很舒服很好玩也很充实, 新加了很多项目, 假期旅游很适合"
40,家庭,135****9823,2014-06-05,"交通便利, 容易找, 价格实惠, 最主要是很安全刺激"
41,家庭,189****6869,2014-06-05,"不得不说, 在工作日时候过去人少了好多, 下午两点多到晚上七点多, 玩完了所有项目, 每个项目排队时间不超过三分钟, 建议大家上网买好手机防水袋, 能把手机带进去拍照, 总得来说还是很好玩的"
42,家庭,133****3567,2014-06-05,"我们, 点半到水上乐园, 玩到, 点去大马戏, 觉得水上乐园很刺激, 很好玩, 不过真的很累啊, 一天下来晒黑了不少, 建议大家去之前准备粮食, 因为里面东西很贵, 一条热狗也要十元, 不过是加长的, 租柜子放东西也要二三十块, 这点其实我是挺不满意的"
43,家庭,_ucwe****715266,2014-05-08,"乐趣多多, 惊险刺激, 蛮好玩的, 可以挑战自己的胆量, 值得一去"
44,家庭,ra****ip,2014-05-01,"是我玩过最刺激的水上世界了, 大喇叭一定要体验, 不管会不会游泳, 在大叫过程中好好喝几口水吧, 暑假还经常有嘉年华哦, 很多美女帅哥巡游, 大家一同狂欢呢, 不过, 人太多了, 还是尽量挑个非节假日去玩吧"
