,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,陈庆堂,男,1968,"董事长,总经理,法定代表人,非独立董事",52,博士,"陈庆堂:男,1968年生,中国国籍,无境外居留权,博士学位。本公司主要创始人,曾任天马饲料和天马有限董事长、总经理;现任本公司董事长、总经理,天马投资监事,厦门金屿执行董事,台山福马执行董事。获科技部科技创新创业人才、福建省科技创业领军人才、2010中国饲料企业优秀创新人才和福建省优秀企业家等荣誉。目前担任福建省人大代表和泉州市泉港区政协副主席,兼任中国渔业协会鳗业工作委员会副会长、中国渔业协会大黄鱼分会常务副会长、福建省出入境检验检疫协会第三届会员代表大会副会长、福建省饲料工业协会副会长、福建省企业家联合会常务副会长和泉州市泉港区工商联总商会主席(会长)等职。"
1,陈加成,男,1990,"副总经理,非独立董事",30,硕士,"陈加成先生,男,1990年生,中国国籍,无境外居留权,研究生学历。现任公司总裁助理,福建天马饲料有限公司法定代表人、执行董事,福建天马投资发展有限公司总经理,江苏健马动物食品科技有限公司法定代表人;福州市第十五届人大代表,福建省企业与企业家联合会常务副会长,福建省民营企业商会副会长,福州市劳动模范。"
2,陈延嗣,男,1982,"副总经理,董事会秘书",38,本科,"陈延嗣:男,1982年生,中国国籍,无境外居留权,本科学历。曾任厦门惠尔康食品有限公司财务主管,厦门吉比特网络技术股份有限公司财务部经理,厦门天健咨询有限公司项目经理;现任本公司副总经理、董事会秘书。"
3,何腾飞,男,1979,副总经理,41,本科,"何腾飞:男,1979年生,中国国籍,无境外居留权,本科学历。曾任福州大福有限公司助理副总裁,卜蜂水产(阳江)有限公司、卜蜂(北海)水产饲料有限公司副总裁,卜蜂水产(阳江)有限公司、广东正大生物科技有限公司、广东水产产业化总裁,阳江市养虾协会会长,阳江市江城区政治协商会议委员会委员;现任本公司副总经理。"
4,许梦华,男,1979,"副总经理,财务总监",41,硕士,"许梦华:男,1979年生,中国国籍,无境外居留权,硕士研究生学历,工商管理学硕士(MBA),中国注册会计师,中国注册税务师,高级会计师。曾任天健光华会计师事务所有限公司高级项目经理,厦门光莆电子股份有限公司财务总监,本公司财务总监及董事会秘书;现任公司财务总监、副总经理。"
5,张蕉霖,男,1970,"副总经理,非独立董事",50,本科,"张蕉霖:1970年生,中国国籍,无境外居留权,本科学历,高级工程师。曾任天马饲料经理、副总经理;现任本公司董事、副总经理、福建事业部总经理,海南天马执行董事、总经理。张蕉霖先生目前担任中国渔业协会鳗业工作委员会专家组成员,福建省水产饲料同业协会副会长,福建省第四届鳗业协会副会长,广东省鳗鱼健康养殖特聘研究员。"
6,陈庆昌,男,1973,非独立董事,47,高中,陈庆昌：男，1973年生，中国国籍，无境外居留权，高中学历。曾任天马饲料董事，天马有限董事；现任本公司董事，泉州房地产执行董事，福建省龙马投资发展有限公司执行董事兼总经理，厦门德百特执行董事、总经理。
7,林家兴,男,1958,非独立董事,62,初中,林家兴：男，1958年生，中国国籍，无境外居留权，初中学历。曾任天马饲料董事，天马有限董事；现任本公司董事、福清市新华汽车修配厂（普通合伙）合伙人。
8,郑坤,男,1957,非独立董事,63,高中,郑坤：男，1957年生，中国国籍，无境外居留权，高中学历。曾任天马饲料副董事长，天马有限副董事长；现任本公司董事，福州市坤祥置业有限公司董事长。
9,关瑞章,男,1953,独立董事,67,--,"关瑞章先生,男,1953年生,中国国籍,无境外永久居留权。原集美大学党委常委、副校长、二级教授,中科院水生所博导,享受国务院政府津贴。1982年2月-1996年12月,任厦门水产学院助教、讲师;1997年1月-2013年7月任集美大学水产学院副教授、教授、硕士生导师、中科院水生所博士生导师(2002年7月-2013年7月)、集美大学党委常委、副校长(2005年2月-2013年7月)、中国水产学会副理事长(2005年7月-2013年7月)、国家教育部水产学科指导委员会委员(2005年7月-2013年7月)、教育部“鳗鲡现代产业技术工程研究中心”主任(2009年7月-2013年7月);2013年8月退休。"
10,孔平涛,男,1963,独立董事,57,本科,"孔平涛先生,男,1963年生,中国国籍,无境外永久居留权。1985年毕业于河南农业大学畜牧兽医系,后在农业部全国畜牧兽医总站工作。1995年至2005年,任中国饲料工业协会咨询部副主任,兼任北京科菲亚贸易公司总经理、中国饲料工业协会信息中心主任、《饲料广角》杂志社社长、北京东方汇通信息咨询公司总经理。现任中国畜牧兽医学会副秘书长、《中国畜牧兽医杂志》有限公司董事长兼《中国畜牧杂志》编辑部主任、北京博亚和讯农牧技术有限公司董事长、总经理,北京阿姆斯国际贸易有限公司董事长,并兼任农业部农业项目工程专家。"
11,潘琰,女,1955,独立董事,65,博士,"潘琰女士:1955年7月出生,中国国籍,无境外永久居留权,博士研究生学历,中国注册会计师,博士生导师,中国会计学会资深会员、中国注册会计师协会资深会员,享受国务院政府特殊津贴的专家。历任福州大学会计系助教、讲师、副教授、教授等;曾任福建发展高速公路股份有限公司、福建水泥股份有限公司、中国武夷实业股份有限公司、福建榕基软件股份有限公司、鸿博股份有限公司等上市公司独立董事;现任福州大学会计教授、博士生导师,福建福能股份有限公司、福建海峡环保集团股份有限公司、福建雪人股份有限公司、福建天马科技集团股份有限公司独立董事。"
12,何修明,男,1956,"监事会主席,股东代表监事",64,初中,何修明：男，1956年生，中国国籍，无境外居留权，初中学历。曾任天马饲料监事，天马有限监事；现任本公司监事会主席，厦门金屿监事，厦门德百特监事。
13,姚建忠,男,1977,股东代表监事,43,本科,姚建忠：男，1977年生，中国国籍，无境外居留权，本科学历。曾任天马饲料业务主管、经理；现任本公司董事、浙江事业部总经理，浙江福马执行董事、总经理。
14,吴景红,男,1970,职工监事,50,大专,"吴景红先生,男,1970年生,中国国籍,无境外居留权,大专学历。曾任福州海马饲料有限公司质检员销售员;2001年6月加入公司,历任福建天马饲料有限公司厂长销售部经理,公司采购部经理;现任公司采购中心总监。"
