,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,程霄,男,1984,"董事长,代理总裁,法定代表人,董事",36,硕士,"程霄,男,1984年11月出生,英国剑桥大学硕士研究生学历,特许金融分析师。曾任职汇丰银行;现任本公司董事长,周大福投资有限公司董事长,北京福锐咨询有限责任公司董事长,周大福金融控股(中国)有限公司董事长。"
1,段贵祥,男,,副总经理,--,--,"段贵祥,男,中共党员,曾任云南景谷林业股份有限公司人造板厂车间主任、副厂长,公司生产技术科长、生产技术部副经理、经理、总经理助理、生产技术总监,现任云南景谷林业股份有限公司副总经理。"
2,段攀,男,,副总经理,--,--,"段攀,男,中共党员,1992年7月至今,在云南景谷林业股份有限公司工作,曾任林化生产部办公室主任、行政办公室主任、副总裁,现任云南景谷林业股份有限公司副总经理、纪委书记。"
3,曾安业,男,1971,董事,49,本科,"曾安业,男,1971年9月出生,美国纽约哥伦比亚大学经济学学士学位。曾任德意志银行香港分行董事总经理及亚洲资本市场部主管;现任周大福企业有限公司董事及行政总裁、联合医务集团有限公司执行董事(香港主板上市代号:0722)、万邦投资有限公司执行董事(香港主板上市代号:0158)、绿心集团有限公司非执行董事(香港主板上市代号:0094)、有线宽带通讯有限公司非执行董事(香港主板上市代号:1097)、综合环保集团有限公司非执行董事(香港主板上市代号:0923)、中国人民政治协商会议第十二届河南省委员会委员、中华人民共和国香港特别行政区第十三届全国人民代表大会代表选举会议成员、第五届香港特别行政区行政长官选举委员会委员、香港雇主联合会理事、周大福慈善基金有限公司理事、郑裕彤慈善基金有限公司董事及本公司董事。"
4,戴瑜瓅,女,1990,董事,30,硕士,"戴瑜瓅,女,1990年5月出生,英国约克大学金融工程硕士研究生学历。曾任周大福能源(中国)有限公司副总经理;现任周大福能源有限公司董事、周大福能源(新加坡)有限公司董事、周大福能源(中国)有限公司董事兼总经理,周大福能源(舟山)有限公司监事、本公司董事。"
5,李旭,女,1984,董事会秘书,36,本科,"李旭,女,中国,1984年12月出生,法学本科。曾任北京北信源软件股份有限公司副总经理、董事会秘书、党支部书记、工会主席,北京信源匡恩工控安全科技有限公司董事,北信源(马来西亚)信息技术公司董事,浙江华睿北信源数据信息产业投资合伙企业(有限合伙)投资委员会委员。现任本公司董事会秘书,永恒木业董事,福誉企业、福港上海、福港舟山监事。"
6,黄振中,男,1964,独立董事,56,博士,"黄振中,男,1964年12月出生,博士研究生学历,北京师范大学法学院教授。黄振中先生历任河南省汝州市第一高级中学教师,中石化集团公司企业改革处副处长,北京德恒、京师等多家律师事务所律师,北京师范大学法学院副院长。现任北京师范大学法学院教授,北京市京师律师事务所合伙人律师。现兼任中节能太阳能科技股份有限公司独立董事、北京利德曼生化股份有限公司独立董事、上海慈文传媒集团股份有限公司独立董事、中国农业银行股份有限公司独立董事,本公司独立董事。"
7,马永义,男,1965,独立董事,55,博士,"马永义,男,1965年1月出生,管理学博士,三级教授,中国注册会计师,清华大学及中国财政科学研究院硕士研究生导师,国务院政府特殊津贴专家,北京国家会计学院教师管理委员会主任、政府会计研究中心主任。中国会计学会理事,第一届企业会计准则咨询委员会咨询委员,中国对外经济贸易会计学会理事,澳大利亚公共会计师协会(IPAAU)资深澳大利亚公共会计师(FIPA)。曾历任:黑龙江财政专科学校会计教研室副主任、黑龙江省证券公司投资银行部副总经理、黑龙江绿乐尔集团财务总监、中植企业集团有限公司总会计师、中融国际信托有限公司监事会主席;2004年2月起在北京国家会计学院任职,先后任远程教育中心主任、教务部主任。曾担任三安光电、蒙发利利、广联达、远兴能源、嘉事堂独立董事。现兼任:航天宏图信息技术股份有限公司独立董事,本公司独立董事。"
8,杨虹,女,1963,独立董事,57,博士,"杨虹,女,1963年7月出生,中央财经大学教授,经济学博士,硕士研究生导师,中央财经大学教学名师,中国注册会计师。曾历任中央财经大学税务系税收理论教研室主任和财政学院、税务学院系主任。现任中央财经大学教授,兼任中国财税法学研究会理事,北京财大海融投资管理有限公司董事,本公司独立董事。"
9,魏明珠,女,1979,"监事会主席,监事",41,本科,"魏明珠,女,1979年7月出生,香港理工大学会计学学士学位,英国特许公认会计师公会资深会计师。曾任德勤会计师事务所审计部高级经理。现任周大福企业有限公司高级副总裁、云南景谷林业股份有限公司监事会主席。"
10,赵玮,男,1983,监事,37,本科,"赵玮,男,1983年4月出生,大学本科学历。曾任中诚信托有限责任公司信托财务部财务经理;现任周大福投资有限公司财务总监、北京福锐咨询有限责任公司总经理,周大福金融控股(中国)有限公司监事,本公司监事。"
11,黄建文,男,1967,职工监事,53,大专,"黄建文,男,1967年8月出生,大专学历,中共党员。2000年至今,在云南景谷林业股份有限公司工作,曾任公司工会主席、团委书记、综合办公室副主任、党群部副部长、部长、人力资源部部长、党委副书记、纪委书记、职工监事。现任云南景谷林业股份有限公司党委书记、工会主席、职工代表监事。"
12,周坚虹,女,1969,财务总监,51,硕士,"周坚虹,女,1969年出生,硕士,注册会计师、高级会计师、美国CMA。曾任万年投资集团财务副经理、北京润丰房地产开发有限公司财务总监、京汉实业投资集团股份有限公司财务中心总经理。"
