,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,李克华,男,1964,"董事长,法定代表人,董事",56,硕士,"李克华,男,汉族,1964年6月出生,中共党员,研究生,会计师。曾任甘肃亚盛实业(集团)股份有限公司条山分公司党委书记、经理;甘肃农垦医药药材有限公司党委委员、总经理、董事长;甘肃普安制药有限责任公司董事。现任甘肃亚盛实业(集团)股份有限公司董事长、党委委员。"
1,李克恕,男,1966,"总经理,董事",54,本科,"李克恕:男,1966年10月出生,中共党员,大学本科,高级会计师、高级经济师、工程师、国际注册内部审计师、注册项目分析师。2007年7月至2011年2月在甘肃亚盛实业(集团)股份有限公司工作,任副总经理兼财务总监、党委委员;2011年3月至2017年11月任甘肃省农垦集团有限责任公司证券管理部部长、甘肃省农垦资产经营有限公司总经理;2014年9月至今任本公司董事;2017年12月至今任本公司董事、总经理。"
2,李柯荫,男,1967,"副总经理,董事会秘书",53,大专,"李柯荫:1967年出生,男,汉族,中共党员,大专,助理农艺师。2008年4月至2010年4月任甘肃亚盛实业(集团)股份有限公司综合管理中心副主任兼企业管理部部长;2010年5至2012年4月任甘肃亚盛绿鑫集团有限责任公司董事会秘书;2012年5月至2014年4月任甘肃亚盛绿鑫集团有限责任公司副总经理、董事会秘书;2014年4月至2018年6月任本公司副总经理,2018年6月至今任本公司副总经理、董事会秘书。"
3,连鹏,男,1971,"副总经理,财务总监",49,大专,"连鹏:男,汉族,中共党员,1971年9月出生,学历:大专,职称:会计师。2010年任甘肃玉门市宏远实业有限责任公司青羊沟水电站财务部主任兼主办会计;2011年5月至2012年6月任甘肃农垦集团有限责任公司审计处主任科员;2012年6月至2014年4月任甘肃亚盛实业(集团)股份有限公司总经理助理、内控风险管理部部长;2014年4月至2015年5月任本公司审计监察部部长;2015年6月至2016年9月任本公司财务总监。2016年9月至2018年6月任本公司副总经理,2018年6月至今任本公司副总经理、财务总监。"
4,马卫东,男,1971,副总经理,49,本科,"马卫东:男,1971年出生,汉族,中共党员,学历:本科。2008年3月至2012年5月任甘肃省农垦集团有限责任公司项目管理处主任科员;2012年6月任甘肃亚盛实业(集团)股份有限公司总经理助理;2014年4月至2015年5月任本公司发展规划部部长;2015年6月至今任本公司副总经理。"
5,牛济军,男,1970,常务副总经理,50,硕士,"牛济军:男,汉族,甘肃庄浪人,1970年1月出生,硕士研究生,高级林业工程师,中共党员,甘肃农垦首席专家。2009年12月至2012年2月任甘肃条山农工商(集团)有限责任公司副总经理;2012年2月至2014年11月任甘肃亚盛实业(集团)股份有限公司条山农工商开发分公司副经理、党委委员;2014年11月至2015年7月任甘肃条山农工商(集团)有限责任公司执行董事、总经理;2015年7月至2018年6月任本公司副总经理,2018年6月至今任本公司常务副总经理。"
6,沈晓红,女,1972,副总经理,48,本科,"沈晓红:女,汉族,中共党员,1972年7月出生,学历:本科,职称:经济师、税务会计师、财政税收师。2003年4月至2014年4月,在甘肃亚兰药业有限公司工作,担任财务部部长、副总经理等职务;2014年4月至2016年9月任本公司总会计师。2016年9月至今任本公司副总经理。"
7,唐亮,男,1976,副总经理,44,本科,"唐亮:男,回族,1976年5月1日出生,学历:本科。2007年至2011年4月任本公司财务管理中心副主任;2011年4月至2014年4月任本公司证券事务管理部部长;2014年4月至2015年5月任本公司内控风险管理部部长;2015年5月至今任本公司内控审计部部长;2016年5月至8月任本公司总经理助理;2009年5月至2016年9月任本公司监事,目前已辞去监事职务;2016年9月至2018年6月任本公司董事会秘书,2018年6月至今任本公司副总经理。"
8,殷图廷,男,1969,副总经理,51,硕士,"殷图廷:甘肃高台人,1969年2月出生,汉族,中共党员,硕士研究生。2009年12月至2010年8月任甘肃条山农工商(集团)有限责任公司党委委员、党委副书记、纪委书记、副总经理;2010年8月至2012年4月任甘肃省药碱厂党委委员、普华甜菊糖公司副总经理;2012年4月至今任甘肃亚盛实业(集团)股份有限公司条山农工商开发分公司副经理、党委委员;2014年4月至今任本公司副总经理、办公室主任。"
9,毕晋,女,1960,董事,60,硕士,"毕晋:女,汉族,1960年1月出生,中共党员,研究生学历,会计师职称。曾任甘肃省农垦集团有限责任公司财务处处长、总会计师,甘肃省农垦资产经营有限公司董事长。2010年1月至今任甘肃省农垦集团有限责任公司总会计师;2010年6月至今任本公司董事。"
10,李有宝,男,1964,董事,56,本科,"李有宝:男,汉族,1964年4月出生,中共党员,本科学历,高级农业经济师,1987年7月至1988年6月在省农垦职工中专任教;1988年7月至1993年5月任甘肃省农垦总公司秘书科科员;1993年6月至1997年9月任农垦总公司秘书科科长;1997年10月至2002年9月任甘肃省农垦集团有限责任公司工贸处副处长;2002年10月至2018年12月31日任甘肃省农垦集团有限责任公司企业管理处处长;2017年4月至今任本公司董事。;2019年3月至今任本公司党委书记。"
11,李宗文,男,1964,董事,56,本科,"李宗文:男,汉族,1964年9月出生,中共党员,大学本科,高级经济师。曾任甘肃黄羊河农工商(集团)有限责任公司董事长兼党委副书记、总经理、董事;2011年4月至2016年5月任甘肃莫高实业发展股份有限公司董事;2016年7月至今任甘肃省农垦集团有限责任公司党委委员、副总经理。现任甘肃亚盛实业(集团)股份有限公司董事。2016年8月12日任本公司董事。"
12,牛彬彬,男,1965,董事,55,硕士,"牛彬彬,男,汉族,1965年9月出生,研究生学历,高级工程师。曾任甘肃省农垦集团有限责任公司工业管理处处长,现任甘肃省农垦集团有限责任公司资本运营部部长。2018年6月至今任本公司董事。"
13,陈秉谱,男,1965,独立董事,55,硕士,"陈秉谱:男,汉族,1965年1月出生。经济管理学硕士,甘肃农业大学副教授,经济管理学院硕士研究生导师。中国注册会计师。1986年7月西北农学院毕业后,一直就职于甘肃农业大学从事教学和科研工作;2014年11月至今任本公司独立董事。"
14,刘志军,女,1972,独立董事,48,博士,"刘志军:女,中国国籍,汉族,1972年9月出生,无境外永久居留权,经济学博士,兰州财经大学教授,金融学硕士研究生导师。中国注册会计师、中国注册税务师。于1996年7月自上海财经大学毕业,取得证券与期货学士学位;于2001年1月自武汉大学取得金融学硕士学位;于2009年6月自苏州大学取得金融学博士学位。自1996年7月起,任教于兰州财经大学金融学院,现为该大学教授,同时兼任甘肃省敦煌种业股份有限公司、甘肃亚盛实业(集团)股份有限公司、兰州佛慈制药股份有限公司独立董事。2014年11月至今任本公司独立董事。"
15,赵荣春,男,1961,独立董事,59,硕士,"赵荣春:男,汉族,1961年10月出生,中共党员,北京大学法律系硕士研究生毕业。受聘兰州大学法学院客座教授,甘肃省人民政府、甘肃省财政厅、甘肃省人民政府金融工作办公室、甘肃省人民政府国有资产监督管理委员会和长城电工、大禹节水等数十家政府机关、上市公司的法律顾问。现任甘肃省律师协会名誉会长,甘肃省上市公司协会副会长,甘肃正天合律师事务所主任、兰州海默科技股份有限公司、盛达矿业股份有限公司独立董事,甘肃省十三届人大代表。2018年6月至今任本公司独立董事。"
16,李福,男,1960,"监事会主席,监事",60,本科,"李福,男,汉族,1960年2月出生,中共党员,本科学历,高级政工师。2012年7月至2015年5月任甘肃大有农业科技有限公司党委委员、党委书记、董事长;2015年5月至今任本公司党委委员、党委书记;2017年5月至今任本公司监事、监事会主席。"
17,崔伟,女,1968,监事,52,本科,"崔伟:女,汉族,1968年6月出生,本科学历、高级会计师。曾任甘肃省农垦集团有限责任公司财务处副处长、处长。2013年11月至今任甘肃省农垦集团有限责任公司财务处处长;2015年6月至今任本公司监事。"
18,王凤鸣,男,1965,监事,55,本科,"王凤鸣:男,汉族,1965年10月出生,本科学历,高级会计师。曾任甘肃省农垦集团有限责任公司监事、审计处处长,甘肃普华甜菊糖开发有限公司监事会主席。现任甘肃省农垦集团有限责任公司内控审计部部长,甘肃亚盛实业(集团)股份有限公司监事。2015年6月至今任本公司监事。"
19,吴彩虹,女,1975,职工监事,45,本科,"吴彩虹:女,汉族,1975年1月出生,本科学历,高级会计师。2011年5月至今在财务部工作任副部长;2015年6月至今任本公司职工监事。"
