,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,黄俊辉,男,1963,"董事长,总裁,法定代表人,非独立董事,代理董事会秘书",57,本科,"黄俊辉:男,1963年4月出生,中国国籍,无境外永久居留权,毕业于汕头大学,曾任佛山三水乐平中心卫生院、汕头市中心医院医生。1992年起担任汕头经济特区宏辉食品有限公司执行董事、总经理,现任宏辉果蔬股份有限公司的董事长、总经理,兼任中国食品土畜进出口商会会员、中国果品流通协会和中国蔬菜流通协会副会长。"
1,陈树龙,男,1978,副总经理,42,本科,"陈树龙:男,1978年7月出生,中国国籍,无境外永久居留权,本科学历,曾任汕头嘉威化妆品有限公司会计、烟台宏辉财务经理;2010年10月至今任职于宏辉果蔬股份有限公司,现任宏辉果蔬董事、董事会秘书兼副总经理。于2020年3月12日因换届原因辞去宏辉果蔬股份有限公司董事职务。2020年3月17日因换届原因辞去宏辉果蔬股份有限公司董事会秘书职务。"
2,黄暕,男,1992,"副总经理,非独立董事",28,本科,"黄暕:男,1992年1月22日出生,中国国籍,拥有加拿大永久居留权,本科学历,毕业于加拿大多伦多大学,2015年起历任宏辉果蔬业务员、业务主管、业务经理,现任宏辉果蔬董事、副总经理。2020年3月18日任宏辉果蔬股份有限公司副总经理、代理董事会秘书职务。"
3,王建龙,男,1977,"副总经理,非独立董事",43,--,"王建龙:男,1977年1月出生,中国国籍,无境外永久居留权,1999年3月起任职于宏辉果蔬,历任业务员、采购经理、广州正通总经理,现任宏辉果蔬副总经理兼烟台宏辉总经理。于2020年3月13日担任宏辉果蔬股份有限公司董事职务。"
4,王建民,男,1983,副总经理,37,--,"王建民:男,1983年8月出生,中国国籍,无境外永久居留权,2002年3月起历任公司业务员、业务经理,现任上海宏辉食品有限公司总经理。2020年3月18日任宏辉果蔬股份有限公司副总经理职务。"
5,吴恒威,男,1989,非独立董事,31,--,"吴恒威,男,1989年5月出生,中国国籍,无境外永久居留权,2011年起入职宏辉果蔬股份有限公司,历任业务员、业务主管、业务经理,子公司副总经理,现任广州市正通物流有限公司总经理。"
6,姚明安,男,1964,非独立董事,56,硕士,"姚明安,男,1964年5月出生,硕士研究生学历,会计学教授,已取得中国证监会认可的独立董事资格证书。1990年7月毕业于厦门大学会计系,获得经济学(会计学)硕士学位;现任公司独立董事,兼任众业达电气股份有限公司独立董事。1990年7月至今任教于汕头大学商学院,现任汕头大学会计学教授,硕士研究生导师;于1994至2001年,先后任汕头市汕大会计师事务所及深圳市同人会计师事务所注册会计师;2008年5月至2014年5月任黑牛食品股份有限公司独立董事;2010年12月至2016年12月任金发拉比妇婴童用品股份有限公司独立董事;2011年6月至2017年6月任广东天际电器股份有限公司独立董事;2011年12月至2016年8月任广东龙湖科技股份有限公司独立董事;2012年5月至2018年8月任广东邦宝益智玩具股份有限公司独立董事;2016年6月至2018年8月任广东金光高科股份有限公司独立董事;2017年3月至今任宏辉果蔬股份有限公司独立董事;2018年1月至今任广东天亿马信息产业股份有限公司独立董事;2019年12月至今任金发拉比妇婴童用品股份有限公司独立董事。2020年6月1日,任星辉互动娱乐股份有限公司独立董事职务。"
7,蔡飙,男,1968,独立董事,52,本科,"蔡飙先生:独立董事。1968年3月出生,中国国籍,无境外永久居留权。1991年毕业于华东政法学院法学系,本科学历,律师资格。曾任职于汕头海洋(集团)公司、汕头海洋投资有限公司、香港SOE投资发展集团有限公司,广东海鸿律师事务所专职律师,广东领海律师事务所等,现任公司独立董事、国信信扬(汕头)律师事务所合伙人、汕头仲裁委员会仲裁员、汕头市依明投资有限公司董事、汕头市蔡儒合泰昌投资咨询有限公司监事、汕头市中小企业投融资商会常务副秘书长、汕头市中小企业新三板挂牌服务中心副主任。现任公司独立董事,兼任广东岭海律师事务所副主任律师、宏辉果蔬股份有限公司独立董事。"
8,纪传盛,男,1970,独立董事,50,硕士,"纪传盛:男,中国国籍,无境外永久居留权,1970年1月出生,1993年毕业于汕头大学,英语本科专业,暨南大学EMBA(学位班)在读,2010年12月获国际注册企业管理咨询师证书。曾任汕头经济特区龙宝贸易发展总公司出口部经理,汕头英盛有限公司监事,广州日报赢周刊内容制作顾问,深圳市英盛企业管理顾问有限公司执行董事、经理和广东邦宝益智玩具股份有限公司独立董事;黑牛食品股份有限公司、广东宝贝儿婴童用品股份有限公司、广东金光高科股份有限公司独立董事。2010年12月获得中国企业联合会授予国际注册企业管理咨询师资格,现任广东省企业管理咨询协会副会长,中国培训网总裁,汕头市英盛企业管理顾问有限公司执行董事、经理,深圳市英盛网络教育科技有限公司执行董事、经理,星辉互动娱乐股份有限公司独立董事和宏辉果蔬股份有限公司独立董事。2018年11月13日至今,任美联新材独立董事。2019年12月任职金发拉比妇婴童用品股份有限公司独立董事职务。2019年3月14日起任公司独立董事。"
9,纪粉萍,女,1984,"监事会主席,监事",36,大专,"纪粉萍:女,1984年11月出生,中国国籍,无境外永久居留权,大专学历,2007年7月至今,担任宏辉果蔬国际商务部经理,2011年10月起兼任宏辉果蔬监事。2017年3月23日任宏辉果蔬股份有限公司监事会主席职务。"
