,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,孙希民,男,1948,"董事长,法定代表人,董事",72,大专,"孙希民先生,1948年12月生,中共党员,大专学历,研究员。历任农业部山东蓬莱良种肉鸡示范场场长、蓬莱民和牧业有限责任公司董事长兼总经理、蓬莱祥和畜牧有限责任公司董事长兼总经理。2016年5月当选公司董事会董事,现任公司董事长,兼任中国畜牧业协会禽业分会会长、中国畜牧业协会常务理事、中国农业工程学会畜牧工程分会常务理事、民和进出口执行董事兼总经理、宝泉岭农牧副董事长、民和食品执行董事。"
1,孙宪法,男,1971,"总经理,副董事长,董事",49,硕士,"孙宪法先生:1971年5月生,工商管理硕士,高级工程师。山东省人大代表。历任蓬莱民和牧业有限责任公司董事、蓬莱民和肉鸡养殖有限公司执行董事、中国畜牧业协会常务理事。2019年5月当选公司第七届董事会董事,现任公司副董事长兼总经理,兼任民和生物董事长、青岛民和执行董事、潍坊民和董事长。"
2,周东,男,1969,"副总经理,董事",51,硕士,"周东先生,中共党员,工商管理硕士,高级兽医师。历任农业部山东蓬莱良种肉鸡示范场种鸡场场长、安徽民益和种禽养殖有限公司董事、蓬莱民和牧业有限责任公司种鸡场场长、董事、生产部副经理、生产部经理。2019年5月当选公司第七届董事会董事,现任公司董事兼副总经理。"
3,张东明,男,1976,"副总经理,董事,董事会秘书",44,硕士,"张东明先生,1976年生,中共党员,工商管理硕士。历任恒通物流股份有限公司独立董事、蓬莱民和牧业有限责任公司董事会秘书,民和股份董事会秘书、董事。朗源股份有限公司独立董事、中棉种业科技股份有限公司独立董事、辽宁华夏大地生态技术股份有限公司独立董事。2019年5月当选公司第七届董事会董事,现任民和股份董事、董事会秘书兼副总经理,民和生物董事。"
4,郭志春,男,1978,董事,42,本科,"郭志春先生,中共党员,大学本科学历。历任蓬莱民和食品有限公司总经理助理、车间主任、生产部经理及监事。2019年5月当选公司第七届董事会董事,现任民和股份董事,兼任民和养殖总经理、潍坊民和董事、民和食品总经理。"
5,于乐洪,男,1969,董事,51,本科,"于乐洪先生,大学学历,工程师。历任发行人综合部科员、副经理;2019年5月当选公司第七届董事会董事,现任民和股份董事兼任后勤部副经理。"
6,梁兰锋,男,,独立董事,--,本科,"梁兰锋先生,大学本科学历,历任山东上市公司协会办公室主任、会员部主任、财务负责人,山东省期货业协会、山东省证券业协会会计,招商证券济南泉城路营业部高级市场经理兼工会主席。现任招商证券山东分公司机构业务经理兼工会主席,2019年5月当选公司第七届董事会独立董事。"
7,刘嘉厚,男,1954,独立董事,66,大专,"刘嘉厚先生:1954年10月23日出生,中国国籍,汉族,无境外永久居留权,大专学历,高级会计师。历任道恩集团有限公司副总裁、烟台道恩旅行社有限责任公司监事、山东道恩物流有限公司监事、滨化集团股份有限公司独立董事、山东道恩高分子材料股份有限公司监事、郎源股份有限公司独立董事、山东南山建设发展股份有限公司董事。"
8,张云龙,男,1963,独立董事,57,本科,"张云龙先生:汉族,1963年12月出生,中国国籍,财务与会计专业学士,高级会计师,中国注册会计师。历任山东冶金技术学院教师、山东淄博会计学校教师、山东淄博会计师事务所审计员、中洲会计师事务所部门经理、天华会计师事务所部门经理、中兴华会计师事务所副主任会计师、北京双杰电气股份有限公司独立董事、北京望京新兴产业区综合开发有限公司董事、江西万年鑫星农牧股份有限公司董事、立信会计师事务所副主任会计师;现任中航沈飞股份有限公司独立董事、北京京西文化旅游股份有限公司董事兼副总裁,2019年5月当选公司第七届董事会独立董事。"
9,文立胜,男,1968,"监事会主席,监事",52,本科,"文立胜先生:中国国籍,法学学士,历任农业部山东蓬莱良种肉鸡示范场生产技术科科员、蓬莱民和牧业有限责任公司行政部科员。现任山东民和牧业股份有限公司人力资源部经理。2019年5月当选公司第七届监事会监事。"
10,崔华良,男,1974,监事,46,中专,"崔华良先生:中国国籍,中专学历,历任农业部山东蓬莱良种肉鸡示范场技术员、蓬莱民和牧业有限责任公司生产技术部技术员。现任山东民和牧业股份有限公司种鸡场场长。2019年5月当选公司第七届监事会监事。"
11,李伟,男,1975,职工监事,45,--,"李伟:男,中国国籍,1975年11月出生,1999年1月至今任职山东民和牧业股份有限公司基建处,科员、科长。2019年5月当选公司第七届监事会职工代表监事。"
12,曲平,男,1960,财务总监,60,本科,"曲平:1960年出生,男,中国国籍,无境外永久居留权。本科学历。历任蓬莱市南王供销社会计、蓬莱市供销社综合公司财务科长、蓬莱市供销社饮食服务公司财务科长、蓬莱市蓬仙制冷空调有限公司财务部经理、山东民和牧业股份有限公司财务部经理。现任公司财务总监。"
