,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,温志芬,男,1970,"董事长,法定代表人,董事",50,博士,"温志芬先生,汉族,1970年出生,中国国籍,未有任何国家和地区的永久海外居留权,理学博士。1993年进入温氏股份的前身工作,历任公司副总裁、总裁,副董事长。现任温氏股份董事长、广东筠诚投资控股股份有限公司董事、广东省新兴县北英慈善基金会副理事长、新兴县新州教育基金会副理事长。"
1,梁志雄,男,1969,总裁,51,本科,"梁志雄,男,汉族,1969年出生,中国国籍,未有任何国家和地区的永久海外居留权。大专学历。1987年进入温氏股份前身工作,1987年至2013年历任技术中心经理、区域公司总经理、公司副总裁;2013年至2017年4月任广东筠诚控股股份有限公司董事、副总裁、董事会秘书。2017年4月至2017年6月任养禽事业部副总裁,2017年6月至2020年2月任温氏股份副总裁、养禽事业部总裁。现任温氏股份总裁,广东筠诚控股股份有限公司董事,广东省新兴县北英慈善基金会理事。"
2,严居然,男,1962,"副董事长,董事",58,高中,"严居然先生,汉族,1962年出生,中国国籍,未有任何国家和地区的永久海外居留权;高中毕业。1983年进入温氏股份的前身工作,历任公司副总裁、技术总监、常务副总裁、董事。现任温氏股份副董事长,广东筠诚投资控股股份有限公司董事、广东省新兴县北英慈善基金会副理事长。"
3,陈峰,男,1973,副总裁,47,硕士,"陈峰先生,汉族,1973年出生,中国国籍,未有任何国家和地区的永久海外居留权。硕士研究生。1997年至今在华南农业大学任教,并派驻温氏股份的前身工作;历任公司兽医部副总经理、生产部总经理、生产技术部总经理、技术中心总经理,现任温氏股份副总裁兼技术总监。"
4,陈瑞爱,女,1970,副总裁,50,博士,"陈瑞爱女士,汉族,1970年出生,中国国籍,未有任何国家和地区的永久海外居留权。理学博士,现任华南农业大学教授、博士生导师。1992年进入温氏股份的前身工作,历任公司技术中心技术总监、兽医部总经理,广东大华农动物保健品有限公司董事长兼总经理,广东大华农动物保健品股份有限公司董事兼总经理、副董事长兼总裁,现任温氏股份副总裁。"
5,黎少松,男,1979,"副总裁,董事",41,硕士,"黎少松先生,汉族,1979年出生,中国国籍,未有任何国家和地区的永久海外居留权,硕士研究生,高级工程师。曾任保利房地产集团股份有限公司项目经理、工程部总经理。2012年进入温氏股份的前身工作。2013年3月至2016年4月任广东筠城置业有限公司总经理。2016年4月至2018年9月3日任广东筠诚投资控股股份有限公司商贸总监。现任温氏股份董事、副总裁、养猪事业部副总裁、广东泛仕达农牧风机有限公司董事长。"
6,罗旭芳,男,1964,副总裁,56,硕士,"罗旭芳先生,汉族,1964年出生,中国国籍,未有任何国家和地区的永久海外居留权。硕士研究生。1994年至今在华南农业大学任教,并派驻温氏股份的前身工作;历任公司办公室副主任、养猪公司经理、华农温氏总经理,现任温氏股份副总裁。"
7,梅锦方,男,1965,"副总裁,董事会秘书",55,硕士,"梅锦方先生,汉族,男,1965年1月出生,中国国籍,无境外居留权,硕士研究生学历。1984年8月至2005年5月广东云浮硫铁矿信息中心担任主任;2005年5月至2008年2月在广东温氏集团股份有限公司创新中心工作;2008年2月至2008年7月在广东温氏食品集团股份有限公司研究院担任科研管理部副主任;2008年7月至2010年3月在广东温氏食品集团股份有限公司办公室担任副主任;2010年3月至2014年3月在广东温氏食品集团股份有限公司担任董事长助理、董事会办公室主任;2011年9月至今在广东温氏投资有限公司担任董事、总经理;2012年4月至2015年4月在千禾味业食品股份有限公司担任监事;2012年5月至2016年2月在新兴县合源小额贷款有限公司担任董事长;2012年12月至2017年12月在广东中科白云创业投资有限公司担任董事;2013年3月至今在天津市松正电动汽车技术股份有限公司担任监事;2014年3月至今在广州康盛生物科技有限公司担任董事;2014年4月至今在广东温氏食品集团股份有限公司担任董事会秘书、董事会办公室主任;2014年5月至今在贵州好一多乳业股份有限公司担任董事;2015年起至今担任广州众恒光电股份有限公司监事,2016年起至今担任华夏航空股份有限公司监事、昆明七彩云南实业股份有限公司监事,2017年起至今担任梅州客商银行股份有限公司监事,2018年起至今担任广州郎琴广告传媒股份有限公司董事。现任现任本公司董事、温氏股份副总裁、董事会秘书、广东温氏投资有限公司董事长。"
8,秦开田,男,1967,副总裁,53,硕士,"秦开田,男,汉族,1967年出生,中国国籍,未有任何国家和地区的永久海外居留权。硕士研究生学历。1995年进入温氏股份前身工作,1995年至2016年历任公司区域公司经理、总经理,2016年3月起任养禽事业部副总裁。2020年2月4日任温氏食品集团股份有限公司副总裁职位"
9,温朝波,男,1968,副总裁,52,大专,"温朝波,男,汉族,1968年出生,中国国籍,未有任何国家和地区的永久海外居留权。大专学历。1986年进入温氏股份前身工作,历任公司区域公司经理、总经理。2017年6月起任养禽事业部副总裁。现任温氏股份副总裁、水禽事业部总裁。"
