,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,曹家富,男,1952,"董事长,法定代表人,非独立董事,代理董事会秘书",68,大专,"曹家富先生,中国籍,1952年出生,大专学历,高级政工师,高级经济师;历任潢川县仁和乡乡长、河南省潢川华英禽业总公司总经理、党委书记,先后荣获“河南省劳动模范”、“全国农业科技先进工作者”、“中国食品工业20大杰出企业家”、“全国五一劳动奖”、“中国肉类十大科技人物”和“中国肉类工业最具影响力人物”“全国水禽行业十佳企业家”“中国经济十大新闻人物”、“第四届2013年度河南经济年度人物”等30多项荣誉称号,为第十届全国人大代表。现任信阳市人大常委、河南省人大代表、中国畜牧业协会副会长、家禽分会会长、中国畜牧业协会白羽肉鸭工作委员会第一届主席,2002年1月22日至今,任本公司董事长,现任信阳市人大常委会委员、河南省人大代表、中国畜牧业协会副会长、家禽分会会长、中国畜牧业协会白羽肉鸭工作委员会第二届主席,2002年1月22日至2018年11月6日,任公司董事长、总经理。现任公司董事长、代行董事会秘书职责、控股子公司丰城华英公司董事长、华英樱桃谷食品董事长、淮滨华英公司、新蔡华英、杭州华英新塘羽绒、上海华英华上食品、江苏华英顺昌、郑州华英鸿源食品公司法人代表、董事长,参股公司河南华姿雪羽绒制品有限公司法人代表。"
1,汪开江,男,1975,"总经理,非独立董事",45,本科,"汪开江先生,中国籍,1975年出生,本科学历。曾任财务部副经理、企管部经理、禽类加工厂厂长、菏泽分公司总经理、生产部经理、公司总经理助理。2011年3月16日至今,任公司副总经理,2012年10月19日后兼任公司财务总监。现任华英融资租赁法定代表人及董事长、锦绣粮业董事、息县粮业董事、深圳农投发展监事,河南华英农业发展股份有限公司董事、总经理。"
2,闵群,女,1970,"副董事长,常务副总经理,非独立董事",50,本科,"闵群女士,中国籍,1970年出生,本科学历,会计师。曾任淮滨三和集团总经办主任,华英公司企管部经理、总经理助理,现任河南华英农业发展股份有限公司董事、常务副总经理,樱桃谷食品公司、杭州华英新塘、河南华英新塘、山东华英泽众、郑州华英鸿源食品董事,信阳市政协委员。"
3,范俊岭,男,1964,副总经理,56,本科,"范俊岭先生,副总经理,中国籍,1964年出生,本科学历,工程师。曾任公司饲料公司经理、融资发展部经理、总经理助理兼任行政部经理、环保部经理。2013年3月26日至今,任公司副总经理。现任公司副总经理、控股子公司辰盛置业、奥盛实业、宝昌置业法定代表人、董事长,信华禽业法定代表人、执行董事。"
4,姚育飞,男,1963,副总经理,57,大专,"姚育飞先生,男,中国籍,1963年出生,大专学历,曾任华英农业主管会计,销售部常务副经理,生产部经理,禽类加工总厂常务副厂长,华英熟食公司常务副经理,徐州华英公司总经理、淮滨华英公司总经理、陈州华英公司总经理、丰城华英公司总经理,现任公司副总经理、新蔡华英董事、淮滨华英董事。"
5,胡志兵,男,1964,副总经理,56,大专,"胡志兵先生,副总经理,中国籍,1964年出生,大专学历,高级兽医师。曾任种鸭公司经理、行政部经理、总经理助理。2007年5月16日至今,任公司副总经理。"
6,张家明,男,1964,常务副总经理,56,大专,"张家明先生,常务副总经理,中国籍,1964年出生,大专学历,曾任河南华英农业发展股份有限公司饲料厂厂长、生产部经理、营销部经理、技术部经理、总经理助理、副总经理。2013年3月26日至今,任公司常务副总经理。现任子公司江苏华英顺昌、华恩饲料董事。"
7,李世良,男,1971,副总经理,49,硕士,"李世良先生,副总经理,中国籍,1971年出生,研究生学历,经济师。曾任中国光大银行郑州分行发展业务部经理、上海浦东发展银行郑州分行文化路支行副行长。2006年10月16日至今任公司副总经理。现任公司副总经理、深圳农投发展董事。"
8,胡奎,男,1974,"副总经理,非独立董事",46,本科,"胡奎先生,中国籍,1974年出生,本科学历,2007年1月1日至2009年5月25日,任公司总经理助理,2009年5月26日至今,任公司副总经理。现任华英樱桃谷食品有限公司总经理、法人代表,华禽网法定代表人、执行董事,华樱生物科技、华旭食品、华冉食品董事长,河南华英农业发展股份有限公司董事、副总经理。"
9,李远平,男,1967,副总经理,53,本科,"李远平先生,副总经理,中国籍,1967年出生,本科学历,注册会计师、注册税务师、土地估价师、房地产估价师,曾任河南联华会计师事务所审计一部主任、副所长,本公司副总经理、财务负责人、董事会秘书,2002年1月22日至今任公司副总经理,2006年6月16日至2016年9月任公司董事会秘书。现任公司副总经理,兼任樱桃谷食品公司董事。持有深圳证券交易所颁发的董事会秘书资格证书。"
