,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,李高生,男,1970,"董事长,总经理,法定代表人,董事",50,初中,"李高生:男,汉族,中国国籍,1970年生,中学学历。1986年至1997年在福成集团先后任采购员、总经理;1998年至2002年1月在本公司任副总经理;2003年3月至2011年2月任本公司总经理;2014年9月至今任河北福成五丰食品股份有限公司董事长、总经理。此外还担任福成肥牛餐饮管理有限公司、三河市润成小额信贷有限公司、三河市福英投资有限公司、三河灵山宝塔陵园有限公司董事长。"
1,蔺志军,男,1972,"副董事长,副总经理,董事",48,大专,"蔺志军:男,汉族,中国国籍,1972年生,大专学历。1995年至1997年在北京生力啤酒公司任销售经理,1998年10月至今在河北福成五丰食品股份有限公司工作,曾任业务主管、市场部经理,现任公司副董事长、副总经理。"
2,王晓阳,男,1967,"副董事长,副总经理,董事",53,大专,"王晓阳:男,汉族,中国国籍,1967年5月出生,大专学历。1995年2月至1998年4月在北京烤德利高级香肠食品有限公司任总经理助理;1998年至今在河北福成五丰食品股份有限公司工作,现任公司副董事长、副总经理。"
3,李良,男,1991,董事,29,本科,"李良:男,汉族,中国国籍,1991年生,本科学历。2013年11月至今任秦皇岛市泃燕商贸有限公司执行董事;2015年12月至今任兴隆县瑞良门窗生产安装有限公司执行董事、经理;2017年4月至今任三河金鼎典当有限责任公司董事长;2017年4月至今任三河市和鑫汽车销售有限公司执行董事;2017年4月至今任三河福成酿酒有限公司执行董事;2017年5月至今任大厂万福盛商贸有限公司执行董事;2017年6月至今任廊坊鼎润投资股份有限公司董事长;2018年1月至今任三河市泊利科技小额贷款有限公司董事长;2018年8月至今任大厂回族自治县润景园林绿化工程有限公司执行董事、总经理。2019年5月17日担任本公司董事。"
4,李伟,男,1977,董事会秘书,43,硕士,"李伟:男,1977年8月生,中国国籍,无永久境外居留权,毕业于财政部财政科学研究所,会计专业硕士。李伟先生曾就职于中国蓝星集团总公司财务部,中国纸业投资总公司财务部、运营管理部,易华录(300212)证券部经理,朗姿股份(002612)证券代表、高级经理,齐星铁塔(002359)董事、副总经理、董事会秘书,龙跃实业集团有限公司投资总监,上海趣致网络科技股份有限公司副总经理、董事会秘书、财务总监。兼任天津迎石科技有限公司董事、青岛丰信企业管理合伙企业(有限合伙)合伙人、华安鑫创控股(北京)股份有限公司独立董事。2019年10月28日起任职河北福成五丰食品股份有限公司董事会秘书。2020年2月3日任北京金一文化发展股份有限公司独立董事职务"
5,苏燕鸣,女,1976,独立董事,44,本科,"苏燕鸣:女,汉族,中国国籍,1976年生,中共党员,在职研究生学历。1999年12月至2005年6月在三河市统计局工作;2005年7月至2008年6月在三河市泃阳镇人民政府工作;2008年7月至2015年1月任河北朝鼎律师事务所律师;2015年2月至今任北京炜衡(天津)律师事务所合伙人律师。"
6,王永臣,男,1956,独立董事,64,中专,"王永臣:男,汉族,中国国籍,1956年生,中共党员,中专学历,注册会计师。1974年1月至1992年2月任文安县建筑公司经理;1992年2月至1999年3月任文安县审计师事务所审计经理;1999年4月至今任文安志诚会计师事务所有限责任公司主任会计师。2019年5月17日任职于河北福成五丰食品股份有限公司独立董事职务。"
7,周游,男,1969,独立董事,51,本科,"周游:男,汉族,1969年出生,中国国籍,本科学历,测绘高级工程师。1991年8月至1996年6月任辽宁省测绘质检站科员;1996年7月至2000年4月任辽宁省勘界办副主任科员;2000年5月至2015年7月任辽宁省殡葬协会副会长、秘书长;2015年8月至今任辽宁省殡葬协会会长。"
8,赵文智,男,1956,"监事会主席,监事",64,本科,"赵文智:男,1956年生,中国国籍,无境外永久居留权,本科学历。1980年7月至1985年9月于内蒙古五原县外贸公司任财务主管;1985年10月至2005年12月于内蒙古贸发粮油食品进出口有限责任公司历任董事长、总经理;2004年至今,任河北福成五丰食品股份有限公司监事会主席;现任内蒙古贸发粮油食品进出口有限责任公司董事。2008年3月起任三河市润成小额信贷有限公司总经理。2008年12月至今,任三河金鼎典当有限责任公司总经理。"
9,李国印,男,1950,监事,70,大专,"李国印:男,1950年9月2日出生,中国国籍,大专学历。1968年黑龙江生产建设兵团工作;1969-1972年中国人民解放军3057部队服役;1972-1980年黑龙江生产建设兵团工作;1981-1992市道里区交通局(其中,1984-1987年代薪就读于黑龙江商业学院财会专业);1993-1996年秦皇岛亚泰精密压铸有限公司财务部财务科长;1996至今河北三河福成养牛集团总公司财务经理;1996年至2008年4月任河北三河福成养牛集团总公司财务经理;2008年5月至今任三河福成投资有限公司财务经理。2019年5月17日任职于河北福成五丰食品股份有限公司监事职务。"
10,李大刚,男,1977,职工监事,43,大专,"李大刚:男,满族,1977年出生,大专学历。2009年1月至2012年4月任公司屠宰加工厂厂长;2012年5月至2017年12月任福成肥牛餐饮管理有限公司区域经理;2018年1月至2019年1月任公司采购中心经理;现任河北福成五丰食品股份有限公司审计部经理。担任河北福成五丰食品股份有限公司职工监事。"
11,吴玉龙,男,1963,职工监事,57,高中,"吴玉龙:男,汉族,1963年出生,高中学历。1983年至1999年在三河市小崔各庄乡政府统计站工作;1997年至2010年在三河市高楼镇任统计站站长;2011年至今在河北福成五丰食品股份有限公司人力资源部任经理。2019年5月17日任职于河北福成五丰食品股份有限公司职工代表监事职务。"
12,程静,女,1968,财务总监,52,大专,"程静:女,汉族,中国国籍,1968年8月3日出生,大专学历。2006年至2011年2月,任公司财务经理,2011年3月至今,任公司财务总监。"
