,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,谢峰,男,1967,"董事长,法定代表人,董事",53,本科,"谢峰先生,1967年5月出生,中国国籍,本科学历,曾任上海水产(集团)总公司总裁助理,上海开创国际海洋资源股份有限公司暨上海开创远洋渔业有限公司副董事长、总裁。现任上海水产集团有限公司董事长、总裁、党委书记,上海远洋渔业有限公司董事长、总裁、党委书记,上海开创国际海洋资源股份有限公司暨上海开创远洋渔业有限公司董事长、党委书记。"
1,陈勇,男,1966,副总裁,54,大专,陈勇：男，1966年12月出，中共党员，大专学历，工程师。曾任上海远洋渔业公司驻智利渔业代表处首席代表，上海开创远洋渔业有限公司副总裁助理。现任上海开创国际海洋资源股份有限公司暨上海开创远洋渔业有限公司副总裁。
2,钱卫彬,男,1966,副总裁,54,本科,钱卫彬：男，1966年3月出生，中共党员，本科学历，助理经济师。曾任上海金汇远洋渔业有限销售部副经理、经理；上海开创远洋渔业有限公司副总裁助理兼市场部经理。现任上海开创国际海洋资源股份有限公司暨上海开创远洋渔业有限公司副总裁。
3,叶守建,男,1971,副总裁,49,本科,"叶守建,男,1971年12月出生,本科学历,高级工程师、国家注册安全工程师、国家注册设备监理师。曾任上海华利船舶工程有限公司总经理;上海水产集团龙门食品有限公司党委书记、董事长;上海海洋渔业有限公司党委书记、总经理。现任上海开创国际海洋资源股份有限公司暨上海开创远洋渔业有限公司副总裁。"
4,朱正伟,男,1979,"副总裁,财务负责人",41,本科,"朱正伟,男,1979年2月出生,本科学历,注册会计师。曾任上海水产(集团)总公司财务部成本核算员,上海金汇远洋渔业有限公司财务部经理,上海开创远洋渔业有限公司财务部经理。现任上海开创国际海洋资源股份有限公司暨上海开创远洋渔业有限公司副总裁兼财务总监。"
5,段君恒,男,1975,董事,45,本科,"段君恒先生,1975年11月出生,中共党员,本科学历。曾任上海远洋渔业公司翻译兼管事,上海远洋渔业有限公司远洋一部副经理,上海水产(集团)总公司国际发展部经理,上海水产(集团)总公司董事会秘书,上海蒂尔远洋渔业有限公司党委书记、执行董事、总经理。现任上海开创国际海洋资源股份有限公司暨上海开创远洋渔业有限公司党委副书记、董事"
6,刘晓峰,男,1973,董事,47,博士,"刘晓峰:男,1973年6月出生,九三学社,研究生学历,博士。曾任中国民族证券有限责任公司农业首席分析师,中国畜牧业协会猪业分会理事。现任北京小间科技发展有限公司投资总监,河北港口集团有限公司投资决策委员会委员,上海开创国际海洋资源股份有限公司第八届董事会董事。"
7,马云,男,1971,董事,49,硕士,"马云:男,1971年9月出生,中共党员,研究生学历,硕士,经济师。曾任上海市政协文化俱乐部(会议培训中心)书记、主任。现任上海水产集团有限公司副总裁,上海远洋渔业有限公司副总裁,上海开创国际海洋资源股份有限公司第八届董事会董事。"
8,朱继宏,男,1969,董事,51,硕士,"朱继宏,男,1969年5月出生,中共党员,硕士,高级会计师、注册会计师、注册税务师。曾任光明食品集团上海海丰总公司财务总监;光明食品(集团)有限公司审计部副总经理;光明食品(集团)有限公司合规风控部副总经理。现任上海水产集团有限公司财务总监、上海远洋渔业有限公司财务总监,上海梅林股份有限公司董事。"
9,汪涛,男,1962,董事会秘书,58,本科,汪涛：男，1962年10月出生，中共党员，本科学历，高级政工师、高级企业文化管理师。曾任上海远洋渔业有限公司办公室副主任，上海水产（集团）总公司远洋渔业二部党委书记、副经理。现任上海开创国际海洋资源股份有限公司暨上海开创远洋渔业有限公司党委副书记、纪委书记、董事会秘书。
10,马莉黛,女,1954,独立董事,66,大专,"马莉黛:女,1954年6月出生,中共党员,大专学历,高级会计师。曾任上海汽车工业(集团)总公司审计室主任,上海国有资产监督管理委员会预算处处长顾问。现任上海开创国际海洋资源股份有限公司第八届董事会独立董事。"
11,王建文,男,1972,独立董事,48,硕士,"王建文,男,1972年2月出生,研究生,曾任江苏无锡倍思特律师事务所律师,现任上海东方华银律师事务所律师、合伙人,梦百合家居科技股份有限公司独立董事,万向德农股份有限公司独立董事。2019年5月起任上海开创国际海洋资源股份有限公司独立董事。"
12,王昭,女,1979,独立董事,41,硕士,"王昭,女,1979年1月出生,中共党员,研究生,曾任北京市朝阳区第十二届政协委员,首都经济贸易大学特聘教授。现任北京均衡博弈环境科学研究院副院长。2019年12月20日任上海开创国际海洋资源股份有限公司独立董事。"
13,许柳雄,男,1956,独立董事,64,硕士,"许柳雄,男,1956年8月出生,中共党员,研究生,曾任上海水产大学海洋学院教授、院长;上海海洋大学海洋科学学院党委书记、院长、教授。现任上海海洋大学海洋学院教授。现任上海开创国际海洋资源股份有限公司暨上海开创远洋渔业有限公司独立董事。"
14,唐文华,男,1960,"监事会主席,监事",60,硕士,"唐文华:男,1960年11月出生,中共党员,汉族,研究生学历,硕士,高级经济师。曾任上海水产(集团)总公司投资管理部经理。现任上海水产集团有限公司副总裁;上海远洋渔业有限公司副总裁;上海开创国际海洋资源股份有限公司暨上海开创远洋渔业有限公司监事会主席。"
15,徐亚军,女,1982,监事,38,本科,"徐亚军:女,1982年11月出生,本科学历,学士。曾任北京雅居乐房地产开发有限公司主管,北京亚通房地产开发有限责任公司副经理,现任石榴置业集团股份有限公司法务部经理,上海开创国际海洋资源股份有限公司第八届监事会监事。"
16,王薇,女,1982,职工监事,38,本科,"王薇,女,1982年8月出生,中共党员,大学本科学历,经济师。曾任上海开创远洋渔业有限公司办公室副主任、市场部副经理。现任上海开创国际海洋资源股份有限公司暨上海开创远洋渔业有限公司工会主席,上海开创远洋渔业有限公司市场部经理。"
