,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,胡兆辉,男,1964,"董事长,法定代表人,非独立董事",56,硕士,"胡兆辉:男,中国国籍,无境外永久居留权,1964年出生,研究生学历,高级农经师。曾任江苏省国营白马湖农场副场长兼种子公司经理、江苏省国营白马湖农场场长,农垦集团副总经理,苏垦农发总经理。现任农垦集团总经理、正大天晴药业集团股份有限公司副董事长,江苏通宇房地产开发有限公司董事长,中国农垦经济研究会副理事长,苏垦农发董事长。"
1,王立新,男,1966,"总经理,非独立董事",54,硕士,"王立新,男,中国国籍,无境外永久居留权,1966年出生,农业推广硕士,高级畜牧师、高级经济师。曾任淮海农场乳品厂厂长,淮海农场办公室主任、副场长,滨淮农场场长,新洋农场场长、党委书记,苏垦农发新洋分公司总经理,农垦集团董事会秘书、办公室主任、党委办公室主任,江苏农垦置业有限责任公司董事,南京中山大厦有限公司董事。现任苏垦农发董事、总经理。2019年5月起任金太阳粮油股份有限公司董事。"
2,陈培红,男,1966,副总经理,54,硕士,"陈培红:男,中国国籍,无境外居留权,1966年出生,江苏农学院植物保护专业本科、南京农业大学农业推广硕士,高级农艺师,现任苏垦农发农业发展部总经理。1986年 8月至 2010年 1月,在江苏省国营临海农场从事农业技术推广和管理工作;2010年 1月至 2011年 11月,任农垦集团农业发展部副处长从事农业(植保)技术研究与农业管理工作; 2011年 11月至今,任苏垦农发农业发展部总经理从事农业技术推广与科研管理工作。因参加“水稻优质高效生产技术”项目荣获农业部 2003年全国农牧渔业丰收奖三等奖,因参加“麦茬水稻全程机械化高产稳产配套技术”项目荣获农业部 2011-2013年度全国农牧渔业丰收奖获奖三等奖。2013年 12月荣获“全国粮食生产突出贡献农业科技人员”表彰。"
3,江玉明,男,1962,副总经理,58,本科,"江玉明,男,中国国籍,无境外永久居留权,1962年出生,本科学历,会计师。曾任江苏省农垦淮阴农垦公司审计科科长,淮阴农垦公司计财科科长,江苏省农垦大华种子公司财务部经理、财务总监,大华种业财务总监。现任苏垦农发副总经理,大华种业董事长,陕西农垦大华种业有限公司董事。2019年8月14号至今担任金太阳粮油股份有限公司董事职务。"
4,宗兆勤,男,1963,副总经理,57,本科,"宗兆勤,男,中国国籍、无境外永久居留权,1963年出生,本科学历,高级会计师。曾任江苏省宝应湖农场副场长、财务总监,江苏省白马湖农场党委委员、副场长、财务总监,江苏省复兴圩农场场长、党委副书记,江苏省农垦米业有限公司副总经理、党支部副书记。现任江苏省农垦米业集团有限公司董事长、总经理、党委书记。"
5,姜建友,男,1966,非独立董事,54,本科,"姜建友:男,中国国籍,无境外永久居留权,1966年出生,本科学历,农学学士,农业技术推广研究员。曾任黄海农场场长助理、副场长,农垦集团农业发展部副部长,大华种业总经理,苏垦农发副总经理,农垦集团董事会秘书、办公室主任,江苏农垦汤泉国际生态科技发展有限公司副董事长,苏垦农发总经理。现任农垦集团副总经理,苏垦农发董事。"
6,刘耀武,男,1971,非独立董事,49,硕士,"刘耀武,男,中国国籍,无境外永久居留权,1971年出生,在职研究生,工商管理硕士,高级经济师。曾任江苏省粮油贸易有限公司期货部经理,江苏省海鸿粮油有限公司执行董事,江苏省粮食集团有限责任公司投资发展部总经理,江苏省粮食集团有限责任公司副总经理。现任江苏省农垦集团有限公司副总经理,江苏通宇房地产开发有限责任公司董事,江苏省信用再担保集团有限公司监事。2020年5月28日至今,任江苏省农垦农业发展股份有限公司董事."
7,孟亚平,男,1963,非独立董事,57,硕士,"孟亚平,男,中国国籍,无境外永久居留权,1963年出生,研究生学历,高级畜牧师。曾任江苏省新曹农场副场长、党委副书记、工会主席、纪委书记,西藏自治区拉萨市八一农场场长(援藏),淮安农垦事业办主任,农垦集团人力资源部副部长、办公室副主任(正处级),苏垦农发职工代表监事,现任苏垦农发党委副书记、工会主席。于2019年8月26日辞去金太阳粮油股份有限公司监事,监事会主席职务。"
8,朱亚东,男,1968,非独立董事,52,硕士,"朱亚东,男,中国国籍、无境外永久居留权,1968年出生,农业推广硕士,研究员级高级工程师。曾任农垦集团机电管理办公室科长,大华种业副总经理,农垦集团农业发展部副部长、农业处副处长、机关工会副主席,江苏省农垦弶港农场实业有限公司董事,江苏农垦汤泉国际生态科技发展有限公司监事。现任农垦集团农业发展部部长,江苏省农垦麦芽有限公司监事会主席,连云港苏垦农友种苗有限公司董事,苏垦农发董事"
9,张恒,男,1980,董事会秘书,40,硕士,"张恒,男,中国国籍、无境外永久居留权,1980年出生,硕士研究生学历,高级工程师、会计师、信息系统项目管理师。曾任江苏省农垦集团有限公司计划财务部职员,江苏省农垦农业发展股份有限公司证券法务部总经理助理、副总经理、证券事务代表。现任江苏省农垦农业发展股份有限公司董事会秘书、证券法务部总经理、信息中心总经理。"
10,高波,男,1962,独立董事,58,博士,"高波,男,中国国籍,无境外永久居留权,1962年出生,农学博士。南京大学商学院教授,博士生导师,现任苏垦农发独立董事,兼任江苏悦达投资股份有限公司独立董事,南京高科股份有限公司独立董事。"
