,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,王寿纯,男,1962,"董事长,法定代表人,非独立董事",58,大专,"王寿纯先生:1962年6月出生,中国国籍,汉族,中共党员,毕业于山东农业大学经济管理专业(大专),无境外永久居留权。2001年6月创立公司至今,历任公司总经理、总裁、执行董事、董事、董事长。现任公司董事长。山东仙润实业有限公司执行董事、总经理,烟台高尔夫有限公司董事长、总经理。王寿纯先生为中国畜牧业协会副会长、中国畜牧业协会禽业分会会长、山东省饲料行业协会副会长、山东省肉类协会常务理事、山东省畜牧协会畜禽产品产销分会理事、中国肉类协会常务理事、山东省第十三届人民代表大会代表、烟台市第十五届、十六届、十七届人民代表大会代表、山东省第十次党代会党代表、烟台市人大农委委员、烟台市饲料工业协会会长、烟台市民营企业协会副会长;获中国肉类产业科技领军人物、第二、三届中国畜牧行业先进工作者、山东省劳动模范、山东省优秀共产党员、山东省乡村之星、山东饲料改革开放40年卓越人物、烟台市优秀人大代表、烟台市劳动模范、烟台市五一劳动奖章、烟台市发展乡镇企业先进个人、烟台市优秀民营企业家、牟平区改革开放30年杰出人物等荣誉称号。"
1,王寿恒,男,1971,"总裁,非独立董事",49,大专,"王寿恒先生:1971年5月出生,中国国籍,汉族,中共党员,大专学历,无境外永久居留权。2001年加入本公司,历任公司副总经理、副总裁,现任公司董事、总裁,子公司山东仙坛禽业有限公司执行董事。王寿恒先生为牟平区第九届政协委员、山东省畜牧协会常务理事;获牟平区劳动模范称号。山东仙坛诸城食品有限公司执行董事兼总经理。王寿恒先生为烟台市第十七届人民代表大会代表、牟平区第九届政协委员、山东省畜牧协会常务理事;获中国畜牧业协会先进个人、山东省肉类食品行业“食安卫士”、全省农村青年创业致富带头人、烟台市五一劳动奖章、牟平区劳动模范、牟平区经营管理能人称号。"
2,姜建平,男,1971,副总裁,49,大专,"姜建平先生:1971年9月出生,中国国籍,汉族,中共党员,毕业于山东广播电视大学(大专),无境外永久居留权。2001年6月加入公司,曾任公司董事、副总经理、副总裁,现任公司副总裁、饲料事业部总经理,子公司山东仙坛售电有限公司、烟台仙坛油脂有限公司执行董事、总经理,山东仙得生物科技有限公司执行董事。姜建平先生为山东省饲料行业协会副会长、山东省畜牧兽医学会饲料专业委员会常务理事、山东省饲料行业协会饲料原料技术专业委员会和饲料加工工艺专业委员会副主任委员;曾荣获牟平区劳动模范、烟台市劳动模范、山东省饲料改革开放四十周年领军人物的荣誉称号。"
3,冷胡秋,男,1979,"副总裁,监事会主席,股东代表监事",41,双本科,"冷胡秋先生:1979年5月出生,中国国籍,汉族,中共党员,毕业于太原理工大学,获法学学士和管理学学士双学位,无境外永久居留权。2009年9月加入公司,曾任公司监事会主席、行政部经理、行政总监、董事会秘书、副总裁,现任公司董事长助理、行政总监、董事会秘书、副总裁。冷胡秋先生荣获第十三届“中国中小板上市公司投资者关系最佳董秘”奖。冷胡秋先生已经于2015年取得了董事会秘书资格证书,其任职资格符合《深圳证券交易所上市公司董事会秘书及证券事务代表资格管理办法》的有关规定。2020年2月因工作调动辞去山东仙坛股份有限公司董事会秘书职务。2020年3月10日,担任山东仙坛股份有限公司监事会主席职务"
4,刘吉峰,男,1980,副总裁,40,中专,"刘吉峰先生:1980年8月出生,中国国籍,汉族,中共党员,中专学历,无境外永久居留权。2018年5月加入公司,曾任山东仙坛仙食品有限公司执行董事兼经理,现任公司副总裁、食品生产事业部总经理、山东仙坛仙食品有限公司执行董事兼经理、山东仙坛鸿食品有限公司执行董事兼经理、山东仙坛清食品有限公司执行董事兼经理。"
5,唐茂恒,男,1981,副总裁,39,本科,"唐茂恒先生,1981年4月出生,中国国籍,汉族,中共党员,本科学历,无境外永久居留权,毕业于莱阳农学院(大专),具有8年肉鸡养殖管理相关经验,2002年4月加入公司,公司技术中心主任、种禽事业二部经理。现任公司副总裁。肉鸡事业一部经理、总裁助理、副总裁,现任公司副总裁、子公司山东仙坛蓬莱禽业有限公司执行董事兼总经理。"
6,王健,男,1976,副总裁,44,大专,"王健先生:1976年9月出生,中国国籍,汉族,专科学历,无境外永久居留权。2018年12月加入公司,曾任山东仙坛鸿食品有限公司执行董事兼经理,现任公司副总裁、食品营销事业部总经理、山东仙坛食品有限公司执行董事兼经理。"
7,许士卫,男,1971,"副总裁,非独立董事,董事会秘书,财务总监",49,大专,"许士卫先生:1971年1月出生,中国国籍,汉族,中共党员,毕业于中国煤炭经济学院管理信息系统专业(大专),无境外永久居留权。2001年6月加入公司,曾任公司财务经理、财务总监、董事会秘书、副总裁,现任公司董事、财务总监、副总裁,兼任牟平胶东村镇银行股份有限公司监事。2020年2月21日任职山东仙坛股份有限公司董事会秘书职务。"
8,王斌,男,1976,非独立董事,44,大专,王斌先生：1976年6月出生，中国国籍，中共党员，毕业于中央广播电视大学（大专）。2001年6月加入公司，历任公司财务副经理、经理、财务副总监，现任公司董事、财务副总监。
9,程永峰,男,1968,独立董事,52,硕士,"程永峰:男,1968年3月3日出生,中国国籍,汉族,无境外居留权。硕士学位,经济师、注册会计师、注册资产评估师,已取得深圳证券交易所董事会秘书资格证书。毕业于西南大学会计学专业。历任新汶矿务局汶南煤矿任科员、副科长,山东新世纪会计师事务所项目经理、部门经理,中喜会计师事务所有限责任公司副总经理、烟台杰瑞石油服务集团股份有限公司董事会秘书、副总裁,现任职山东永大会计师事务所注册会计师、德州联合石油科技股份有限公司董事、山东兴程企业发展有限公司财务总监、烟台华正文化传媒有限公司董事。现任公司副总裁、董事会秘书。2018年11月因个人原因辞去杰瑞股份董事长秘书、副总裁职务,2020年2月7日任山东仙坛股份有限公司独立董事职务"
10,彭建云,男,1985,独立董事,35,本科,"彭建云先生:中国国籍,汉族,无境外永久居留权,1985年12月出生,毕业于山东科技大学法学专业,本科学历,律师。2008年10月至今任山东智宇律师事务所律师,历任山东智宇律师事务所质量管理部部长,智宇集团公司质量管理总监,2016年1月起任山东智宇律师事务所合伙人,现为山东智宇律师事务所副主任,执业律师;兼任朗源股份有限公司独立董事。彭建云先生已取得中国证监会认可的独立董事资格证书,现为公司独立董事候选人。"
11,徐景熙,男,1955,独立董事,65,本科,"徐景熙先生:1955年3月28日出生,高级审计师、注册会计师,毕业于山东干部函授大学,2000年1月至今任烟台天罡有限责任会计师事务所所长,2009年4月至今担任山东恒邦冶炼股份有限公司独立董事,2016年12月4日因公司换届辞去山东东方海洋科技股份有限公司独立董事。2019年12月5日至今担山东东方海洋科技股份有限公司独立董事职务。2020年2月7日至今任山东仙坛股份有限公司独立董事职务。"
12,曲卫平,男,1970,股东代表监事,50,本科,"曲卫平先生:1970年1月出生,中国国籍,中共党员,毕业于华中师范大学人力资源管理专业(本科),高级政工师。2011年8月加入公司,历任人文部副经理、经理,现任股东代表监事、行政副总监。"
