,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,马宗海,男,1963,"董事长,法定代表人,董事",57,硕士,"马宗海:男,1963年出生,中共党员,大学本科学历,中国政法大学研究生,美国利伯提大学工商管理学硕士,高级农艺师,高级职业经理。曾任原酒泉市上坝乡团委书记、副乡长、党委副书记、乡长、党委书记、原酒泉市农机局局长、敦煌种业副总经理、总经理。现任酒泉地区现代农业(控股集团)有限责任公司总经理、敦煌种业董事长、敦煌种业党委副书记。"
1,张绍平,男,1965,"总经理,副董事长,董事",55,硕士,"张绍平:男,1965年出生,中共党员,研究生学历,清华大学人文学院企业经营管理高级研修班结业,香港理工大学工商管理硕士。曾任敦煌市农技中心技术员、敦煌市农业局农业股股长、敦煌市种子公司副经理、敦煌种业敦煌市种子公司经理、敦煌种业董事、总经理助理、副总经理兼董事会秘书。现任敦煌种业副董事长、总经理。"
2,高德银,男,1964,副总经理,56,硕士,"高德银:男,1964年出生,中共党员,研究生学历,高级畜牧师。曾任酒泉种鸡场副厂长、厂长,敦煌种业股份有限公司棉花事业部部长、敦煌种业棉花销售公司经理。现任甘肃敦煌种业油脂有限公司董事长兼总经理、敦煌种业副总经理。"
3,毛志军,男,1960,副总经理,60,大专,"毛志军,男,1960出生,中共党员,大专学历,工程师。曾任新疆昌吉水泥制品公司车间主任,新疆昌吉屯河水泥厂车间主任、生产办主任、销售科长,新疆屯河股份公司驻深圳、北京办事处主任,四川屯河埃尔油品公司总经理,新疆屯河股份公司国内销售公司副总经理,新疆生命红科技有限公司董事长、总经理,兼任新疆屯河股份公司北庭、昌吉番茄制品公司总经理。2005年8月进入敦煌种业工作,现任甘肃省敦煌种业果蔬制品有限公司总经理、酒泉敦煌种业百佳食品有限公司董事长。敦煌种业副总经理。"
4,万建元,男,1963,副总经理,57,大专,"万建元:男,1963年出生,大专学历,农艺师。曾任酒泉地区种子公司(管理站)办公室主任、经营科长,副经理,现任敦煌种业玉米原种场场长、敦煌种业地区种子公司经理,敦煌种业副总经理。"
5,周秀华,女,1968,"副总经理,财务总监",52,硕士,"周秀华:女,1968年出生,中共党员,研究生学历,甘肃农业大学农业经济管理专业毕业,香港理工大学工商管理硕士,高级会计师职称。曾在酒泉地区农业广播电视学校从事教师、会计和办公室管理工作;1999年7月抽调到现代农业工作,参加了现代农业和敦煌种业的筹办组建工作,曾任敦煌种业主管会计、资金管理中心负责人,敦煌种业审计监察部部长。现任敦煌种业副总经理兼财务总监。"
6,景方元,男,1973,董事,47,本科,"景方元:男,1973年出生,中共党员,大学学历,农学学士。曾任酒泉市农牧局办公室副主任、酒泉市农牧局疫病防制科科长、酒泉市农牧局农牧业生产管理科科长、酒泉市农牧局办公室主任。现任酒泉市农业发展集团有限公司董事长、酒泉地区现代农业(控股集团)有限责任公司董事长,敦煌种业董事。"
7,王成基,男,1957,董事,63,本科,"王成基,男,1957出生,大学本科学历,高级会计师。曾任兰州市供销社财计科副科长、财审处处长、供销社副主任,兰州市第一商业局财会处处长,兰州百货大楼副经理,兰州百货大楼股份有限公司董事长,兰州民百(集团)股份有限公司副总经理、财务总监,兼任兰州百货大楼股份有限公司董事长、兰州银行发展规划部副总经理、董事会办公室主任、上市办公室主任等职务、广东南粤银行董事会办公室主任、监事会办公室负责人、职工监事等职务,兼任华龙证券股份有限公司监事,2017年2月退休。现任敦煌种业董事。"
8,魏其新,男,1966,董事,54,硕士,"魏其新:男,1966年出生,中共党员,研究生学历,工商管理硕士,高级工程师。曾任甘肃省涂料工业公司技术开发科副科长、精细化工厂厂长,西北永新集团公司董事、总经理,西北永新化工股份有限公司董事长,甘肃天虹化工有限公司总经理、董事长,甘肃陇达期货有限公司董事长,中国中材股份有限公司甘肃祁连山建材控股有限公司董事、党委书记,甘肃祁连山水泥集团股份有限公司董事、党委书记。现任国丰科技集团股份有限公司董事长,敦煌种业董事。"
9,周永海,男,1963,董事,57,本科,"周永海:男,1963年生,中共党员,大学本科学历,曾先后在敦煌市农机局、统计局、法制办、政府办、工信局、市场管理局工作,历任敦煌市市政府法制办副主任、主任,工信局副局长、市场管理局局长。现任敦煌市供销合作社联合社主任,敦煌种业董事。"
10,顾生明,男,1964,董事会秘书,56,硕士,"顾生明:男,1964年出生,中共党员,研究生学历,1986年至1993年先后在金塔县企业局和金塔县政府办公室工作,曾任金塔县政府办公室副主任,金塔县政府驻兰州办事处主任,金塔县棉花公司副经理,酒泉敦煌种业棉蛋白油脂有限公司经理,敦煌种业办公室主任兼铁路发运协调办公室主任。现任敦煌种业董事会秘书。"
