,昵称,时间,评论
0,烂脚熊,2019/12/30,"门票快三百我就不说了, 进园以后一个盖浇饭八九十块钱一份, 自己开车进去又要一辆车加三百块, 进去之后, 驾车区很多地方动物还和路隔开了, 无法近距离观赏, 说是做小火车, 缆车不要钱, 其实都是包在门票里了, 对比下上海野生动物园, 差距不小, 有这钱还不如去老式国营动物园, 够去一百次了"
1,M35****9954,2020/1/20,"人多到走也要排队的程度, 我觉得根本没有限制人流, 本来不错, 就是人太太太太太多, 不好玩, 花上了几个小时排队, 不爽, 不过熊猫是最可爱, 这里的熊猫特别健康, 不停动, 还跑, 感觉特别精力充沛"
2,dy11,2020/1/9,"好像每个动物园都会有这种骑马拍照的, 建议这种可以取消掉, 那匹马一看就很压郁的样子, 有点伤感"
3,M29****5548,2020/2/4,"与, 年前比较里面感觉不到有变化"
4,136****6565,2020/1/1,"很小, 很一般, 但是动物很热情"
5,E01****76,2019/11/20,"感受不太好, 孩子游玩的项目很多都要下午才开放"
6,_WeCh****28981,2020/1/18,"凑合吧, 空气好, 动物差"
7,linda魚仔,2019/11/29,"吾穩定, 開唔到"
8,漫悠悠悠,2019/7/19,"开了, 公里的车来到传说中的长隆野生动物园, 进了里面游玩了才知道那叫一个坑啊, 各种坑, 先说儿童票, 一张, 超过一米就要票, 这都没什么, 但是儿童乐园的游乐设施为什么要一米二以上的小孩才能玩, 大人带着都不可以, 本人有糖尿病, 就带了, 个鸡蛋都必须拿出来, 那也没什么, 天气太热, 一瓶矿泉水都要, 块, 还别说其他吃的, 这个动物园性价比太差, 都不知道怎么会有那么多好评, 全国比他好的野生动物园多了去了"
9,蛋宝麻麻么么哒,2019/12/26,这个票绝对是个坑
10,白夫拉斯基,2019/12/25,"不行, 非常说一般"
11,Tobe,2019/7/10,"里面消费太高, 吃饭人均, 门票略贵, 不是说他要卖的很便宜, 而是性价比不高, 一家三口一天, 多, 还是不值得的, 我认为价值也就值, 人, 吃饭, 人"
12,_WeCh****433696,2019/8/15,"动物园很好玩, 设计的非常好, 很亲近动物, 不过, 游玩体验比较差, 某些小孩儿挤来挤去从缝隙李钻来钻去, 踩鞋推人挤人, 差点把我同学推摔倒, 各种插队, 非常不尊重人得讲别人坏话, 也不知道家长怎么管教的, 素质真心差, 不知道是哪里的人, 令人恶心, 如果能忍受很多熊孩子又挤又推, 还能忍受熊孩子的魔音贯耳的, 这个是个游玩的好去处"
13,M33****326,2019/8/1,"人多, 还是, 人多, 累, 里面, 不想排队, 还是, 需要额外掏钱, 真的是花钱, 买罪受, 但是, 里面的, 动物还是, 很全的, 如果不是, 坐火车和缆车, 只是徒步, 还是, 不错的"
14,M11****699,2019/3/15,"真心不值这个票价, 这个野生动物园不给带吃的, 美名其曰怕你喂动物, 那可以把园区的饮食定价调合理一些啊, 一个快餐盒饭, 元, 怎么不去抢, 成本才, 块钱不到, 凡是需要排队的地方都区别对待顾客, 在长隆消费住宿的游客全部都优先安排, 就是走快捷通道, 我们花六百买门票进来就不是消费者了, 排队处工作人员还狗眼看人低说, 普通顾客给我排队去, 喂动物就更坑了, 一根树枝三十元, 就够长颈鹿吃一口的, 南门出来后, 排队等待免费大巴回地铁口就更气人了, 这么跟你说吧, 十辆车有八九辆都是运送游客回长隆酒店的, 去地铁口的车基本上半个小时一趟, 反正意思就是你不住长隆消费的顾客, 要么就耐心等着, 要么走路去地铁口, 我想说景区要赚钱盈利无可厚非, 但是做成长隆这样就太过分了, 反正这是我第一次来, 也是最后一次, 大家想来玩的, 先看看吧, 免得受气"
15,M33****5473,2019/7/24,"票太贵, 里面的东西更加贵, 不让带食物进去, 逼你在里面消费, 一个面, 元, 一条火腿肠, 元, 一个小鸡翅, 元, 关键才逛了两个小时, 结果下大雨, 下个不停, 只能出去了, 觉得花钱花的最冤枉的一次"
16,leekding,2019/2/6,"大假千万别来, 人车比动物多, 体验感差, 特别心疼动物们天天生活在吵闹声和汽车尾气中, 游客和动物都可怜, 还好没自驾, 自驾车一路堵, 不过小火车也要隔着两排自驾车队看动物, 小火车要排两小时, 缆车好些, 吃的基本都是快餐类, 而且价格很贵, 场馆里空气差, 推着童车就更没有办法挤到玻璃前看动物了, 不是自己推车撞到别人就是被别人撞, 看到很多孩子们哭泣, 很想看完动物但父母或长辈确实精疲力尽了, 过年也整得人心力憔悴, 同为父母和子女, 长隆野生动物园, 海洋王国与全国其他同行比, 也没啥特别之处, 不过来过了就够了, 估计孩子也不会再想来了"
17,工布江达莉娜,2019/10/5,"最后悔的一次决定, 水质太差, 搞得我皮肤过敏, 里面东西太坑人"
18,186****0726,2019/10/15,"比起前几年的长隆, 好像还更退步了很多, 园内物价高, 服务也跟不上, 很差的体验, 很多设施和游乐项目都缩水或者删除了, 很差的出游体验"
19,sindyfr,2019/10/5,"园外驿站服务态度差, 不近人情, 不讲道理, 对于内部人员问题私下提个醒就过了, 用白话讲就当外地游客是傻子听不懂了吗, 过分"
20,M29****950,2019/9/10,"还没进门, 票价就跌了, 并不是提前订优惠, 进门处处都是钱, 说, 点闭园, 点多北门右边的区就关掉, 不让进了, 不值票价"
21,M95****88,2019/2/5,"非常建议不值得去, 设施陈旧, 动物少, 互动活动少, 东西贵, 一瓶矿泉水, 元, 盒饭, 元, 体验和上海动物园, 元票价没两样, 今年长隆动物园体验非常不好"
22,_WeCh****08406,2019/10/23,"入园不让带食品可以理解, 吃的东西贵也可以接受, 毕竟出来玩, 但是卖的东西太难吃了, 又贵又难吃这就有些恶心了, 吃不好就玩的不开心了, 带小孩的最好自己带手推车, 缆车里不折叠也能放的下, 坐小火车不折叠可以寄存在上车点, 折叠的可以带上车, 园内树木茂盛, 走道都能遮阴不会觉得晒"
23,_WeCh****09031,2019/10/13,"元一根树叶喂长颈鹿的, 现场也就, 还是, 元, 这标价有点浮夸, 本来说, 米以上不要门票咯, 正好, 米的小朋友收了门票, 里面有的项目如碰碰车, 又要求, 米以上小孩玩, 家长陪同都不行, 整体一般, 跟照片还是非常大落差"
24,_WeCh****311335,2019/9/18,"动物园确实不错, 大马戏还是别去了, 真的挺没意思的, 里面就没有马戏, 都是刷杂技的, 还老失误"
25,_M13****6990,2019/10/3,"游玩结束返程是噩梦, 交通规划极差, 无论自驾还是打车都得忍受长时间的进出堵车, 其他, 毫无引导不说, 维持秩序的工作人员态度极差, 本来还比较良好的园内体验在最累的时候被交通引导工作人员秒毁"
26,M25****7482,2019/10/8,"飞鸟乐园即使假期人也不算太多, 孩子居多, 还值得看下, 野生动物园真心不值当玩, 跟动物园没什么差别, 能亲近人的动物少之又少, 人还超多, 餐难吃, 想亲近自然和亲子还是国外野生动物园好点"
27,M33****0097,2019/7/28,"实在是不咋地, 里面东西还特别的贵, 唯一可以赞的是里面的工作人员态度好"
28,202****172,2019/10/4,"去的时间问题, 人太多, 走路走的太累, 到动物园走好多路"
29,205****592,2019/10/8,"国庆去的, 人挤人, 挤死人, 一瓶水, 元, 一个饭"
30,是啊和小宝贝,2019/7/19,"这么高大上的国际动物园, 连一杯白开水都不提供, 一瓶纯净水售到, 差评"
31,_WeCh****15575,2019/8/9,"不推荐, 进去之后除了排队就是在排队的路上, 景区野生动物园和动物园没有区别, 只有很小的一截是坐车观看的"
32,5139,2019/7/9,"性价比太低, 景区内游览车还要, 元, 人, 进去免费坐个小火车, 缆车就基本逛完了, 其他大型动物园远比这个便宜, 其他动物园该有的也基本都会有, 没必要来这里浪费钱, 到长隆可以忽略这个景点, 玩水上乐园和欢乐世界倒是有点意识"
33,M40****152,2019/9/7,还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧
34,天山雪zhan,2019/8/9,"人多, 里面吃的东西太贵, 和抢钱没区别"
35,_yt8****552,2019/6/30,"体验非常不好, 工作人员态度非常差, 比珠海的长隆差远了, 不会再去了"
36,frng,2019/7/20,"遇, 到下大雨, 都没玩好, 很是不爽"
37,_WeCh****671475,2019/8/1,"比较差, 和想像中的长隆差很远, 就是普通野生动物远, 比其他野生动物园的动物互动还差了很多"
38,奶联天下,2019/2/8,"出了人头就是人腿, 无良商家不控制人数, 周围打车都是高价, 穿梭巴士人多车少, 景区卫生间数量也不够, 真是不值"
39,D10****470,2019/8/4,"感觉都不错, 只有到了熊猫馆旁边的餐厅, 打饮料时一位胖胖的女士, 态度很不耐烦, 告知她我们要的是长劲鹿的吸管饮料, 她指着收银员说, 她说你要熊猫的, 我们说, 熊猫也可以吧, 可能我们付款时没有表达清楚吧, 但是, 你不会好好说话吗, 差评, 这样的景点, 不该出现这样的态度"
40,扬涵芳瑄,2019/8/19,"霸王条款, 吃的都不允许带, 水只让带一瓶一人, 门口打车还鸟的要死, 鄙视他们"
41,M14****319,2019/6/30,"体验差, 园区管理差, 人多时候应限流"
42,lkbevin,2019/10/13,"不值那个价, 没啥看头, 开车, 车还要门票, 小孩身高提到, 米为界限"
43,长腿包子,2019/8/22,"价格是贵的, 动物都懒懒的趴着没动, 毫无生趣, 北门自驾游平时, 元车费, 暑假要, 还要另收停车费, 整体感觉无聊, 就当是人生吧得去一次动物园, 但是不会再去了"
44,_ucwe****509235,2019/7/6,"性价比低, 动物园大, 有散养动物"
45,天山雪zhan,2019/8/9,"很多动物, 值得一看, 仿佛回到儿时, 但里面的东西太贵太贵, 全国我走了不少景区, 长隆的贵得离谱, 还不让自己带水带吃的, 简直就是抢钱"
46,_yt8****552,2019/6/30,"非常不咋地, 比珠海的差远了, 再也不会去了, 完全是上当了的感觉"
47,202****350,2019/2/11,"自驾游还算有点特点, 其他的游园因为人实在太多了, 根本就是人挤人, 还看什么动物啊, 管理方应该控制入园人数的, 不能因为赚钱, 把游客的体验降到最低"
48,M26****2899,2019/1/28,"我们一家四口口, 二宝, 厘米, 我们买的是两个成人票, 一个儿童票, 去做缆车的时候排队人比较多, 我自行购买了快速通行证, 一人, 元, 结果我们二宝不可以进, 也必须够买通行证, 我搞不懂, 他这么小, 门票都不要, 为啥还要够买快速通行证, 跟工作人员争执起来, 已经付钱了, 已买的, 个通行证不可以退, 而且二宝必须买, 才可以进, 我问为啥, 人工作人员说是规定, 可是就算是规定, 也有合理, 不合理吧, 他真的是其他设施都玩不了, 前面的不给退, 只能再买一张, 超级郁闷, 还有酷帅萌餐厅的面, 元一份, 景区里面的食物, 水, 价格高, 我们可以理解, 但是做的这么难吃, 就不能忍了, 海洋王国我们已经去过了, 面是, 元一份, 比这个好吃多了"
49,266****162,2019/8/13,"比较失望, 之前看的宣传做的太大了"
50,_ucwe****509235,2019/7/6,"动物园挺大, 有非州动物散养的"
51,M34****856,2019/2/12,"真心不值得去, 以为很大, 实际很小, 还设置了三个索道, 一个小火车, 人为制造拥堵排队, 票价太高, 完全没有性价比, 真心不如上海野生动物园, 就是依靠广告炒作吧, 所以照片都没拍"
52,M23****5359,2019/8/5,"设计不合理高空缆车, 小火车排队要等, 个多小时, 还整个什么, 通道, 花钱就可以不排队, 变相的多收钱"
