,昵称,时间,评论
0,科莱酒店,2019/11/15,下雨天不咋的
1,白夫拉斯基,2019/12/25,非常一般的
2,LIN浩,2019/11/14,人太多了
3,M55****789,2019/8/7,"暑假人好多, 好多项目排都是排不到, 游区不限人流量的吗, 这都不说了, 关键人工造浪这块真的真的太脏了, 水里都是像青苔一样的动西, 一个浪过来, 水里全是那种漂浮物在水上, 真的好脏, 园区是不打算清洗的吗, 还有沐浴室是真的省啊, 洗发水和沐浴露都不放点的吗, 你哪怕放块香皂也好啊, 说点难听的, 我们乡下的水上乐园的沐浴室都有啊, 虽然不是什么大牌, 真心建议放点, 水里消毒水味重, 身上又黏糊糊的, 很难受"
4,M41****954,2019/6/6,"当天基本都是, 度, 刚开始就觉得有点冷, 玩的时候下午三四点雨就来了, 超级冷, 只玩了几个项目, 里面吃的东西很贵, 本来想玩到电音开始, 实在是太冷就直接回家了, 有点不太划算"
5,M22****2524,2019/8/12,"其他景区, 岁算老人, 这儿要, 岁才能购买老人票, 其他景区儿童满一米二才购票, 这儿一米就要买半票, 然后喊娃娃脱鞋再量, 排队排到了, 然后又让我去补票, 服务态度极其差, 景区好多项目需要重新购票才能玩, 价格都是一百以上"
6,234****285,2019/7/12,"很多项目都有身高, 体重或者年龄限制, 岁的瘦孩子玩得很不开心, 太幼稚的项目孩子觉得没意思, 孩子想玩的又说不够条件, 一点半进去, 点多就出来了"
7,m34****2141,2019/8/12,"服务台的态度十分恶劣, 感觉十分高傲, 我是享受服务的, 不是来受气的, 该水上乐园寻找失踪儿童不关心, 连广播都没有, 就连电话的声音都听不到, 希望改善"
8,唐家二少,2019/10/9,"最差就是停车问题, 水上乐园附近两个停车场都有位空, 保安就是不开放, 然后让车开去门口的停车场放, 差评, 另外储物柜一个, 元, 抢钱, 长隆发钱寒啊"
9,631****070,2019/10/16,"应该改名叫长隆人海乐园, 就是骗人入园再花钱买腕带的, 一个项目排队, 小时游玩, 分钟"
10,M37****672,2019/8/10,"人太多, 玩什么都要拍很久的队, 大喇叭起码排队两小时才能玩到, 其他的也要排一个小时, 除了漂流, 我们五个人去, 刚好遇到那个什么丞来, 结果泳池那边都围起来都不能玩, 也只有在漂流河里漂一下了, 花了一千多去就去漂了一下河"
11,福尔摩摩,2019/10/4,"挑上好日子了, 天气不热, 还下雨, 主要人太多了, 根本玩不了什么, 而且等候的地方不够人性化, 小孩子穿泳衣都冷"
12,M30****5963,2019/7/3,"很期待, 结果很失望, 小孩子玩的项目很少, 总体面积太小了, 出太阳还有很多都不开放, 就, 大型的, 失望, 建议去欢乐世界, 我是带小孩来的, 很难有合适小孩玩的, 小孩玩的地方像我们去游泳池, 儿童区的那玩的一样, 不好玩, 如果带小孩去玩, 就去欢乐世界, 起码你不会那么失望"
13,M42****409,2019/8/25,"写着, 可免费携带, 米以下的儿童, 入园是告知不可以, 要我补, 的儿童票, 欺骗消费者"
14,M33****4450,2019/7/14,"里面有相当一部分是颗粒塑胶, 光脚走贼疼, 诱导你买拖鞋, 有些项目不能带东西必须存储物柜, 人多的话就超时扣费, 很是有商机, 防水膜防水性差, 手机进水修花了, 多块, 景色不错倒是"
15,M22****2623,2019/9/22,"不好, 人太多, 根本没玩到什么, 千篇一律, 花钱就不排队, 区别对待"
16,210****230,2019/8/3,"看到的价格和实际付款不一样, 感觉很多坑"
17,320****090,2019/10/6,"节日去, 玩两个项目排队两个小时, 差评"
18,_WeCh****593613,2019/9/14,"没什么游玩体验, 超级差, 都没玩到"
19,210****230,2019/8/3,"买票影响心情, 服务不人性化, 一般般"
20,唐家二少,2019/10/9,"最差就是停车问题, 水上乐园附近两个停车场都有位空, 保安就是不开放, 然后让车开去门口的停车场放, 差评, 另外储物柜一个, 元, 抢钱, 长隆发钱寒啊"
21,M43****075,2019/8/24,"最坑的景点, 所谓欢乐园排队一小时, 体检一分钟, 所谓水上东园, 就是二百多块钱买几个游泳池门票, 因为再玩其它的都要钱"
22,wuli艺兴,2019/9/10,"我们就是冲着电音节去的, 结果等了那么久一下就结束了, 而且水很脏啊, 我回来都过敏了, 以后不会去了, 真的是无语了"
23,古灵精,2019/9/19,"长隆水上乐园还是挺不错的, 就是携程的票价太坑了, 比去景点门口买还贵, 实在是太坑了, 太坑了, 太坑了, 太坑了"
24,xhxavier,2019/10/22,"排队太苦, 还搞个优先票变相涨价, 没有优先票每个项目需要排队, 小时以上, 这票价不值得"
25,M55****490,2019/6/13,"作为一个在广州长大的娃, 二十多年第一次去, 那些人流真的让我窒息, 每个游乐设施排队至少半个小时, 然后水质还很脏, 嗯, 反正我是很不推荐大家活动期间和节假日去的, 因为你只会去那里泡水而已, 所以最好去其他的, 我至少就一直是去周边的比较不出名的水上乐园还有清远的, 环境好人也少, 各种游乐设施随便玩几次都不用多久, 嗯反正我不是太推荐"
26,踏雪寻樱,2019/8/28,"感觉长隆水上乐园乐园很垃圾, 游玩景点少, 还有诸多限制, 下次再也不去了, 感觉携程的套路也太深了, 为什么砍价非要满, 人, 你们想别人注册想疯了吧, 携程"
27,_WeCh****593613,2019/9/14,"没什么好玩的, 就是人超级多, 就进来湿湿身"
28,M22****4121,2019/9/7,"诶, 不必剧回家, 可坑坑就考虑"
29,M25****8351,2019/7/21,"人太多了, 去到就玩了一下水而已, 什么设施都没玩到"
30,石油大王沙隆巴斯,2019/6/21,"很多项目要自己搬充气艇, 又重, 有时要搬几层楼高, 无语, 后面凑字数健身卡妈看看卡卡卡上扣扣上课马上开始"
31,E58****783,2019/9/22,"全都是人, 人, 人, 根本没玩几个项目"
32,M22****2623,2019/9/22,"又贵又不好玩, 感觉白跑一趟, 后悔"
33,M22****8488,2019/8/11,"收费那么贵, 游戏全部排队都是大长龙, 一个大型游戏没玩到, 就在不到, 米的水池泡了几个钟, 对不起这个价钱"
34,M22****8488,2019/8/11,"差, 全部游戏都是大长龙的排队, 九大游戏一个没玩到, 就在不到半米的水池泡了二三个小时, 游戏全部排长龙太对不起这个价钱了"
35,M27****9457,2019/8/25,"人超多, 每个项目排队时间太长, 卫生情况有待改进, 漂流的橡皮艇还要收费, 各项物价超贵, 去三线城市的水上乐园好玩得多"
