,昵称,时间,评论
0,M35****687,2019/10/15,"比, 年前来差了很多, 这次带宝宝来, 所有都没增加, 但是感觉少了好多内容, 但是不知道是不是平时天, 表演少了很多内容, 游客也没几个, 第一次觉得是不是人多的时候来还好点, 表演者也有兴趣, 还有不知道是不是修路咋觉得路也远了好多, 动物园过来, 分钟才到, 同样平时天来咋野生动物园人人一样多, 飞鸟园人都没有, 很失望"
1,_CFT01****3106852,2019/5/30,"当天下大雨, 想要退票都退不了, 浪费了三张票"
2,M10****210,2019/6/15,"中午想带点面包做中午饭的, 在门检被全部拦截下来, 全程都没兴趣了, 里面的东西不是一般的贵"
3,M11****769,2017/8/14,"飞鸟乐园是不错的, 已经第三次来了, 这次要吐糟的仍是长隆集团旗下的购票政策, 我小孩今年身高超一米五了, 由于当地小学没有专门的学生证, 特意让学校开了一份在校学生证明, 把孩子身份证件号码和全国唯一的学籍号写清楚了, 但是在飞鸟乐园购票时园方坚持要我们出示学生证, 明明看着才读小学的孩子, 这种政策是不是太机械了, 前面一批中学生大学生都能享受学生票价, 我们这个小学生凭在校学生证明也享受不到, 最后还是买了成人全票价, 我们不缺这几十块钱, 就是对这种不讲理的政策非常不满"
4,博萨泽吕文德,2017/8/26,"不值得去, 又偏僻, 吃饭的地方又少, 景点也是不固定开放, 一个船, 乘一下不过, 分钟, 就几只鸟而已, 乌龟的品种也很普通, 不值得去"
5,133****0777,2017/6/3,"适合年龄小的宝宝, 如幼儿园的, 大朋友去不好玩"
6,E11****84,2017/7/28,"同长隆旗下的其他主题公园完全不是一个档次, 那些供租借的, 车脏的吖, 工作人员也没什么表情, 没什么东西看, 也没什么东西玩"
7,摩林顿半岛朱亮祖,2017/8/12,"特别远, 比较开放, 不值得特别的一去"
8,205****939,2016/10/26,"好好看看自己是否幸福, 在你面前可以用在自己, 在家里面还有多少天没有关系哈哈哈斤斤计较计划经济旅途考虑考虑图来咯"
9,206****806,2016/6/30,"里面人少, 鳄鱼都不动的, 表演还不错, 只是没有特别的动物, 有点失望, 但是可能我们去的时间不对"
10,_WeCh****24568,2017/3/9,"一般, 贵, 在北京估计门票, 以上应该就没什么人去了"
11,fcy911,2013/11/16,孩子还是蛮喜欢去玩的
12,绍莫吉州史万岁,2020/2/12,"没必要去, 不好看, 浪费钱"
13,M25****1898,2019/8/14,"不给带任何食物进去, 里面关卡重重收费, 不值得去"
14,zh****h,2019/8/17,"服务不到位, 说好可以退又不退, 差"
15,yokoxi,2018/9/19,"去不去长隆飞鸟乐园纠结了很久, 最后考虑到孩子, 岁不适合玩水上乐园等项目, 在玩过动物园以后还是选了飞鸟乐园, 买票的时候其实觉得挺便宜, 毕竟长隆的其他乐园都是, 左右起跳的, 结果到了以后真的大失所望, 不如好多内陆城市, 元买票的市级动物园, 如果去过长隆动物园就真的没有必要到这来来了, 表演还是那几只鸟, 飞来飞去一点科普介绍, 最值得气的就是里面的工作人员, 我们算是去得比较早的, 进园就赶上了第一场表演, 在一个小水池边, 进场的时候最多就, 组家庭, 带孩子的也就, 个, 开场后就有几次互动, 我们坐在主持人面前, 位置上算是最好的, 小朋友参加互动都比较积极, 但不知道为什么主持人就是看不到我们家孩子, 旁边的同一个孩子请上去了, 次, 也不看我们家孩子一眼, 我主动和主持人沟通, 可以让孩子上去互动一下吗, 完全不理会, 白你一眼, 孩子当即情绪非常低落, 眼泪一下就出来了, 人多, 孩子多, 不可能照顾到每个孩子就算了, 本来就没有几个孩子, 为什么同一个孩子可以上去几次, 我们家孩子就完全看都不看一眼, 作为家长真的很气愤, 节目结束后找到主持人, 想沟通一下这个问题, 人家直接一句, 你不高兴就去投诉呀, 这个是我工号, 呵呵我算见识了长隆的服务态度了, 接下来什么心情都没有了, 在来说说乐园, 真的很简陋, 完全可以用极为简陋来形容, 最多也就值, 元的门票, 也没有评价说的那么大, 小时完全可以转玩, 如果看表演也就, 个小时, 吃饭的地方也很简陋, 而且很奇葩, 里面的简餐, 价格不便宜差不多, 左右一份, 但品质并不好, 真心的建议大家, 如果去过野生动物就不要去飞鸟乐园了, 问了滴滴司机, 也就算长隆并购的一家小动物园, 因为加了长隆的名字所以才有了点客源, 真真真的评价, 大家一定不要去了, 去了受气的地方何必再去, 而且没有什么动物, 就是几种鸟类, 和几只河马, 什么动物园都可以看得到的东西"
16,m12****613,2018/11/15,"十一月, 日, 特别多小学生出游的, 真的是特别特别多, 园区也不限制客流量, 整个上午中午都特别吵杂, 体验非常不好, 远道特意安排玩一天, 都想退票去了"
17,M29****783,2018/7/12,"玩的不错, 一如既往的长隆特色, 就在旁边住, 但是检票人员态度奇差, 跟里面的工作人员态度截然相反, 不知道是不是工资低的原因"
18,M35****1802,2019/9/21,"很差, 只能一次性进出, 我住长隆酒店, 因为提前在携程买了套票就没有和前台买, 结果携程的票只能进去一次失效, 我们中午回酒店休息下午又去动物园就被拒, 哎最糟糕的一次体验"
19,wangqizc,2018/4/21,"太坑了, 所有的动物动物园都有, 而且距离动物园很远, 根本不是十分钟的路, 得, 分钟, 因为郊区土路特别堵车, 而且班车频次很少, 自己又无法到达, 总而言之, 就是通过套票骗人, 不然没人会去的"
20,M25****3078,2018/3/8,"被坑, 买的, 大, 小的票, 出了大人票, 小孩票没出, 当时现场又给了现金, 元买了, 张儿童票, 认倒霉当时自己没搞清楚, 白白送了, 元"
21,凌晨三四秒,2018/3/31,"公园改进, 没什么看的讷, 被忽悠了, 浪费时间浪费钱"
22,博萨泽吕文德,2017/8/22,"很差的体验, 开门, 园内最好玩的地方, 才能进入, 游船要, 才开始, 那么早开门逼着游客看狗表演, 请问这是飞鸟公园, 狗来凑什么热闹"
23,笨笨40,2017/2/1,"今天刚去的, 景色一般吧, 小猪跳水没有想象的好, 最主要的这么大的景区, 这么多的餐饮店, 竟然让给打杯开水都不给, 去了四个店都说没有开水, 连开水也不提供, 这点跟长隆野生动物园差远了, 很是失望, 都是一个集团的, 经典差距这么的大"
24,M29****35,2016/7/1,"不值得游玩, 特别是玩过野生动物园的一定不要再去鳄鱼公园, 也就是即将更名为飞鸟世界的地方"
25,M23****474,2017/3/29,"没有想象中的好, 感觉也就是一般"
26,M55****217,2017/3/8,"为什么不能退票, 买了票就能退"
27,M55****217,2017/3/8,"为什么不能退票, 买了票就可以退"
28,kellyzhao,2014/2/1,"携程越来越垃圾了, 坑爹的行程安排让我们大年三十滞留在丽江机场, 无人问津, 给我们留的非工作时间联系电话, 打过去人家说自己处理不了, 让我自己找国内机票部门, 我打电话给国内机票部门, 结果让我找旅游度假, 我们就这样在机场走不了, 又无人问津, 携程给我们安排的八日游, 应该第八天从丽江返回宁波, 结果行程酒店是第六天我们住在丽江, 然后给我们定了第六天就从丽江飞昆明的飞机, 从丽江直飞宁波才, 多块钱的机票, 结果坑爹的携程非得给我们安排从丽江飞到昆明, 昆明滞留一天再从昆明飞回宁波, 真是花的不是携程的爹娘的钱啊, 可以任意玩弄客户, 我从这次开始改为艺龙的客户, 对携程这个坑爹的公司不再抱有希望了, 奉劝大家不要再继续被携程这个坑爹的儿子坑了"
