,昵称,时间,评论
0,M36****1963,2020/1/17,"不值得大老远从北方跑过来看, 节目一般没什么感觉, 出门问路, 态度超级不好, 长隆离地铁站又太远, 坐它的班车特别挤, 没有排队的地方, 大家一拥而上, 带着孩子挤的吓人, 说实话不会再来了, 不过野生动物园带孩子来看还可以"
1,M36****1963,2020/1/17,"不值得大老远从北方跑过来看, 节目一般没什么感觉, 出门问路, 态度超级不好, 长隆离地铁站又太远, 坐它的班车特别挤, 没有排队的地方, 大家一拥而上, 带着孩子挤的吓人, 说实话不会再来了, 不过野生动物园带孩子来看还可以"
2,babydaii,2020/2/8,"节目缩水好多, 没有以前好看了"
3,有求必颖,2020/1/9,"一般般, 票价太贵了, 没有那么好看"
4,STEVEN,2020/1/25,"开场时间不明确, 差评"
5,小豚1984,2019/10/8,"节目还是非常值得推荐的, 只是花很贵的价格买的一等票非常不值, 感觉位置还不如普通座的一些位置, 虽然靠前但也是偏的, 中间位置都留给了, 和酒店客人, 互动环节要转身看, 很别扭"
6,信马由缰,2020/1/7,感觉不清晰
7,_WeCh****300125,2019/8/6,"在网上定的一等座取票进去才知道坐在快普通座了, 后面一排就是普通座了, 如图坐到这个座置来了真心不值, 又热, 看过巜千古情, 的表演, 再看这种表演觉得很小儿科, 跟我们五千年文化传承表演完全不能比, 无论是灯光效果还是内容都比不上宋城的千古情系列, 总之不值"
8,这昵称真难取,2019/10/12,"马戏的一等座, 脚空间不够放, 什么破一等座, 全程只能憋屈着, 超不舒服, 问了也不让换座, 说都一样, 广东都哈比人吗"
9,莫风海,2019/9/29,"马戏表演挺精彩的, 但在携程买票需慎重, 和长隆野生动物门票一起买的, 收到一个非本机手机取票, 最终有张取不出来票, 携程客服只是在强调票正常, 没问题, 最终自己在柜台前又买了张票, 白白扣钱, 严重影响游玩心情, 谨慎购买"
10,向大汉儿,2019/8/12,"整个演员很卖力表演内容还行, 票携程就提供不了预定服务, 最最最关键的是那么大, 表演场地没有空调"
11,M34****4996,2019/9/16,"还行, 都是技术流, 干货很多, 舞台不是很华丽, 可能是老剧场, 买的一等座, 但是有点偏, 也没有大屏幕, 小丑表演一直站在, 中间, 看不见, 感受不太好"
12,M41****777,2019/8/6,"没想到是当天使用, 我们买票晚上才到, 只看了大马戏, 浪费了, 多块钱, 不是一般的心痛"
13,M22****472,2019/8/26,"都说长隆大马戏好看, 看了感觉非常一般, 看得瞌睡, 真心感觉很一般"
14,_WeCh****33083,2019/10/4,"额, 比想象中的差好多, 动物表演好少"
15,香菜她妈,2019/10/5,"订票订出一肚子火, 早知道就官网订票了, 价格也没差"
16,M18****026,2019/10/13,"不值得, 说实话, 太不值得了, 长隆简直就是把人分三六九等, 然后表演的节目也大概千年不变, 好多都在其他地方看过了, 没有任何的惊喜, 说实话, 不建议去看了, 实在太不值得"
17,M45****135,2019/9/22,"比较坑, 价格贵, 马戏表演不值得这个价钱"
18,M24****557,2019/8/9,"说实话, 真的不怎么样, 也不知道是别人笑点低还是我见的太多要求变高了, 反正对不起国际大马戏和他, 多元, 分钟的服务, 里面太热太闷, 基本没有什么通风, 看的人老打瞌睡, 节目编排的太乱, 没有什么中心主题, 逗乐也只是很迂腐的乐, 没有让人觉得佩服或者精湛技术内涵, 最主要的一点是马戏人多动物少"
19,_WeCh****300125,2019/8/6,"在网上定的一等座取票进去才知道坐在快普通座了, 后面一排就是普通座了, 如图坐到这个座置来了真心不值, 热死了, 看过巜千古情, 的表演, 再看这种表演觉得很小儿科, 跟我们五千年文化传承表演完全不能比, 无论是灯光效果还是内容都比不上宋城的千古情系列, 总之不值"
20,_CFT0****2332,2019/8/30,"门票太贵, 演出内容很差, 不值得一看"
21,150****4666,2019/8/4,"无语, 门口验票的工作人员态度很不好"
22,spi****512,2019/7/15,"朋友推荐去的, 回来一比较, 大象, 熊这些动物表演都没有了, 马上的表演很精彩, 小丑出来的时间很多, 总体一般, 摩托车表演很震撼"
23,香菜她妈,2019/10/5,"价格比, 年前上涨好多, 表演自然是很精彩, 内容几年下来没什么改变, 除了这次应景得唱了, 我和我的祖国, 我们这次坐在侧面, 感受就不如上次坐正对面的好, 因为在, 区的右手边, 基本上演员上来和观众互动的时候都不会走到这里, 除非要从通道走过的, 这次订票最郁闷的事是携程的服务, 因为是国庆出行, 我提前了将近, 天订票, 订完, 成人票, 再定儿童票的时候竟然只有, 的, 网站并没有事先说明这种情况, 和客服联系希望调整成人票时间, 永远只有一句话, 不能退改, 建议您按门票时间正常出行, 我就想问问, 你们让我们怎么正常出行, 大人去看马戏把几个幼儿园的孩子留在外面么, 后来另一个客服说运营商给平台的儿童票有限, 所以不能再开放儿童票订票通道, 让我到时候现场买票, 好吧, 理解, 不想为难你们, 于是自己想办法, 好在, 官网可以买到票, 而且价格是一样的, 携程并没有优惠, 早知道都在官网订了, 可是, 出行前几天无意中再一看, 携程又可以订, 的儿童票了, 不是告诉我没票额了么, 打脸啊, 解决问题的方式方法非常不到位, 也看不到诚意, 很生气"
24,202****335,2019/7/22,"首先说长隆大马戏节目非常精彩, 顶呱呱的, 但是携程的订票系统和携程的大马戏客服真是糟糕透顶了, 订票系统就订制不合理, 成人和孩子的需要分开订购, 于是我根据提示先订购了小孩的八点场, 一分钟后订大人时就提示没票了, 我多次电话给携程给客服提出需要更换时间场次, 携程客服小姐说让相关人员给我处理, 后来就莫名其妙有个普通话都讲不清楚的所谓客服先生给我, 他说你现场去试试能否换票, 这种不负责任的话竟然从携程人员的嘴巴里说出来还是第一次, 总而言之不推荐在携程上订大马戏票, 后来, 上很快订好了需要的票子, 人家系统更试用便捷, 价格是一样的"
25,_WeCh****91303,2019/10/7,"一般般, 下次不去了, 可能期望值太高"
26,新余庞统,2019/8/12,"时间短, 人太多, 节目不够精彩"
27,M55****789,2019/8/10,"带小孩去的, 没去过的可以看下, 去过的不可能二刷的, 里面太闷热了, 票价真不值, 这么贵节目还少, 小孩基本没怎么看"
28,babydaii,2019/8/20,"几年前看过觉得还不错, 现在好多经典表演都没有了, 全程靠小丑撑场, 根本就不能叫马戏, 不值这个票价, 性价比太低"
29,M55****789,2019/8/10,"体验不好, 价格贵, 节目少, 没惊艳到, 关键里面热的受不了, 这些地方也就一锤子买卖"
30,tra****rky,2019/2/11,"有史以来最糟糕的观看体验, 提前, 分钟进场, 只能坐到犄角旮旯的位置, 虽说是普通票, 但这角度根本看不到, 连屏幕都严重偏, 当然, 带个望远镜还是能凑合看的, 以后不会推荐给亲朋"
31,150****4666,2019/8/4,"很不满意, 刚出生没几个月的婴儿也要三百多的票, 无语, 不想多说什么了"
32,刺头Cc,2019/8/12,"演出一般与价格不符, 与满洲里套娃广场的对比, 属于很一般了"
33,189****1116,2019/2/10,"长隆之行票价最贵, 最不值当的活动, 真心不值票价, 基本都是杂耍, 普通的大马戏中都见过的节目没有新意, 就是用来给贵宾票, 酒店住户体现优越性的, 普通游乐就是凑场子的, 期待太高, 失望太大"
34,椰海,2019/2/22,"是我看过最差的一次表演, 真是不值这个钱, 要四百多了"
35,_WeCh****22677,2019/1/19,"不怎么样, 比起太阳马戏团差远了"
36,M28****4513,2019/1/20,"只发了, 个数字验证码, 去到园内拿不出票, 最后还要打电话给客服重新发验证码, 差点迟到了"
37,M11****889,2018/8/19,"首先吐槽一下携程, 因手误点错了时间, 本来准备看, 点的马戏, 结果买了, 点的, 立刻打电话给客服也不能换, 这里给个差评, 其次是马戏有亮点, 但中间看得哈欠连天, 总之不值这个票价"
38,_WeCh****400109,2019/2/8,"马戏表演不错但, 感觉太差, 无论是购票还是代买机票, 尤其是机票, 出票后一次航班调整被迫多住一晩, 一次提前四小时航班取消, 只能多花, 元改签"
39,M40****088,2019/2/7,"服务态度差, 人已经排队排的很多, 快速通道, 仍然只是两个人售票"
40,M30****8237,2019/2/21,"时间太短, 婴儿也要票, 真是差评啊"
41,_WeCh****117452,2019/3/22,"性价比不高, 带孩子的可以忽略不看"
42,肖力圆,2019/4/8,"马戏表演真的水平很一般, 动物也少"
43,Celia175,2018/8/22,"国际大马戏和我所想的不一样, 之前以为是人和动物的全力演出, 但实际上是动物会出来跑个圈, 最主要是老外表演杂技, 总共, 个节目左右, 场面很大, 道具很大, 但不是我的菜, 还有, 岁的宝宝, 也不占座位, 可还要收全票, 个人觉得很不合理"
44,_yt1****312,2018/9/27,"长隆套票, 玩一天太辛苦, 总体而言有点小失望, 服务水平不如从前了, 大马戏, 处处体现着阶级, 给钱的贵宾体验比普通观众好太多啦, 内容似乎没变化, 看一次也就够了, 可点赞的是演员的表演很投入, 气氛迎造的不错, 以前, 大批群众散场很多人员引导的, 这次完全拼记忆力, 好在本人方向感不错, 顺利坐车跑路, 物质文明发展的差不多了, 该抓抓精神文明啦"
45,M76****23,2018/8/30,"表演是还不错, 不过没有预想中的好, 买的, 座位, 结果给的是, 二区, 舞台离得比较远, 专门为小朋友订的就想离近点, 椅子是简易的藤椅, 坐着很难受, 取票时才发现是什么驴妈妈旅游专场, 订成, 元, 但是票面上居然是, 元, 有两张是给别人订的, 搞得有点尴尬"
46,二宝辣妈,2018/9/14,"大人孩子一个价, 票价不低, 不能退票不能改期, 无比霸道的条款, 这种招数这种服务, 气愤到无语, 这种景区多是带娃来, 这种做法, 以后不会再来"
47,myd****ei,2018/8/24,"不是对号入座, 早到早选座, 要好的座位还要加钱, 有, 等不等档次, 我们加了, 的座, 稍微中间一点, 马戏本身很精彩"
48,m45****54,2019/3/1,"普通座就不要买了, 看后脑勺的位置"
49,_CFT01****3600253,2019/2/8,"订票时候日期选错了, 两分钟就打, 电话要求更改, 可是, 说, 不退不换不改, 然后, 就没有然后了"
50,_CFT01****3600253,2019/2/8,"以后再也不敢, 订票, 机票还能改签, 这个啥也不给改, 差点就浪费了两千多"
51,随心所遇见你,2018/5/21,"飛機晚點, 小孩沒得看, 長隆又不會退票, 大洋打水漂"
52,E37****07,2017/12/4,"一直很期待长隆大马戏, 被各种广告吸引, 结果呢, 小孩看了快睡着, 大人强挤欢乐, 我要看的是马戏, 不是杂技啊, 这么大的马戏, 连个像样的老虎, 狮子表演都没有, 失望透顶"
53,QueenLKing,2018/9/21,"這個票價還是坐在最側方, 很一般"
54,M40****361,2017/7/30,"打电话给酒店客房部的时候, 说只要订了酒店就送门票, 结果, 的时候说并不送, 我让他们差通话录音, 查出来以后说不能给我听, 不就是做贼心虚吗, 最后房间升了, 但也不怎么样"
55,E37****07,2017/12/4,这个长隆国际大马戏真的是太坑了之前网上说的天花乱坠结果自己去看还真的是太失望这么大的国际马戏居然连个像样的是老虎表演都没有这次记得就是几个杂技表演但是总部我看的是哪些不是杂技小孩子看得都快睡着了大人看的也就是强记欢乐吧
56,131****8299,2018/2/5,"性价比低, 个人认为不太值得看"
57,旭焰8802616,2018/4/18,"比官网便宜, 但是比淘宝贵很多, 比官网便宜, 但是比淘宝贵很多, 比官网便宜, 但是比淘宝贵很多, 比官网便宜, 但是比淘宝贵很多"
58,_WeCh****226216,2017/12/19,"买错了, 不能退订, 难受啊"
59,118****763,2018/2/22,"手上抱着正在睡觉的宝宝也让必须补票, 抢钱啊, 退了一张, 孩子妈一个人去看的"
60,M22****2548,2017/7/27,"想实话, 不值这个票价, 性价比低, 时间短, 提前走了"
61,闪电,2018/1/31,"马戏是好看, 万恶的天气, 造成动车晚点, 赶到马戏门口已经, 点, 分, 来不及看"
62,leonloveu,2018/2/5,"比, 年来时差了很多, 很多节目的惊险水平都明显下降了"
63,M41****540,2018/2/27,"这么多年都不更新节目内容, 很多很多纠结的经典解放"
64,_WeCh****00380,2017/5/13,"二星给门口的餐饮服务人员, 态度和狗屎一样"
65,M40****985,2017/4/20,"总体感觉一般, 要提前两个半小时抢好位置, 节目却只有一个半小时, 小朋友喜欢的动物节目很少"
66,蠡湖春秋,2017/3/4,"马戏动作不怎么样, 居然没有狮虎表演, 狗熊表演也很一般, 就是钻圈圈, 和常州野生动物园的马戏没法比, 而且中间座位居然还要加钱买, 而不是提早排队可以抢到, 幸亏没有傻傻掏, 一个座去做中间前排位置, 中途有不少人提早离开了, 不值票价"
67,东莞一笑,2016/11/19,"没有什么新意, 效果也一般, 位置角度不好, 小孩有些还不敢看, 太惊险了, 停车不方便, 时间也不长, 不是很值票价, 不会再看了"
68,小小哥的幸福,2016/8/9,"好多年前来看过, 和现在看的节目一样"
69,M15****705,2016/2/18,"感觉很差, 三百多就看这水平太不值这价了, 很多表演都在, 区才能看到, 每人加两百, 只是动物出场有点趣味看, 其它的没什么特别的, 一个多钟的表演弄三场巡游浪费时间, 在深圳看龙凤舞中华都比这好看"
70,zxcic,2015/4/7,"提前两天预定了, 张广州长隆国际马戏大剧院套票, 白虎餐厅自助餐, 大马戏, 化了, 元, 结果到了取票地点必须在自助取票机上取票, 第一次弄, 也没有人指导, 手机短信翻了半天找不到订票号, 酒店说不能人工给票, 叫来服务员帮忙看短信, 打电话, 语音接听老半天, 折腾了近一个小时才搞定, 结果, 多元的自助餐只剩下, 分钟不到, 只能匆匆填了肚子赶紧看马戏, 还没地儿开发票, 真是哭笑不得"
71,规格高,2015/4/24,"对于票价和所表演的时间来对比, 票价太高, 表演太少, 适合城里小孩看, 也适合没见过动物需要学习动物的人去看, 对于动物保护者来讲, 这个不应该在有, 让动物回归本真吧"
72,_ZFB20****4803962,2014/8/23,"之前早上取票, 票上没有座位, 说是随便坐, 等下午提前了一个半小时到那里, 以为可以坐在比较好的位置, 去到才发现, 原来有些位置是需要加钱才能坐的, 而其他相对好一点的座位也都有人用各种物件占着, 无奈, 去加钱选坐, 带着女儿, 两个人花了上千元钱才看了这场马戏, 真心的觉得坑, 个人觉得, 票还是应该设甲乙丙丁, 这样就不会有人为一个矿泉水瓶子占座吵架了, 因为, 这次就看到两拨人为这事吵得不可开交"
73,paulinedie,2015/6/28,"十年前第, 次看, 驚喜, 十年後带小明友自己第二次再看, 毫無分別, 小朋友驁喜, 我已覺悶, 這馬戲看一次足夠了"
