,昵称,时间,评论
0,_WeCh****339857,2020/4/24,"可恶的骗子, 当初携程显示着当晚九点半才闭园, 让我们浪费了很多游玩时间"
1,M35****3643,2019/11/3,"刺激感是不错, 不过也有些大问题, 第一是雨衣问题, 质量极差, 帽子后面直接裂开一道缝, 穿着也是湿透, 第二就是餐厅问题, 去了部落茶餐厅, 扫码点了两份餐, 不过只出了一张单, 在补票的过程中店员态度也恶劣, 过了半个小时才吃上饭, 体验实属一般"
2,Hfdgcdfd,2020/1/20,"不是节假日, 本来人不多, 但工作人员太少, 又慢, 导致排队的时间很久, 本来, 分钟的要, 分钟才到, 导致好些项目都没玩到"
3,Hfdgcdfd,2020/1/20,"比以前差, 不是节假日, 本来人不多, 但工作人员太少, 又慢, 导致排队的时间很久, 本来, 分钟的排队变了, 分钟, 浪费时间, 有好些都没玩到"
4,205****362,2020/1/21,"可以用的项目基本不用排队, 排大队的不能用, 米以下的不建议买"
5,M25****5274,2020/1/20,"沒有珠海長隆好玩, 一般般, 不值這個門票價錢"
6,LIN浩,2019/11/14,人太多了
7,良子,2019/7/5,"没有想象的好, 比迪斯尼有不小的差距, 就是个普通的游乐场"
8,M31****7257,2019/10/26,"去玩火箭过山车的时候, 因为看起来太吓人了, 我排了好久的队, 最后决定不玩了, 那个过山车引导员问我玩不玩, 我说不玩了, 她就很大声地叫我做出去, 我想没必要这样吧"
9,M19****328,2019/10/21,"人非常的多, 排队秩序非常混乱, 没有人维持秩序, 大家会一直往前挤, 鬼屋因为人多, 也没有恐怖的气氛, 几个景点的项目确实很刺激, 但是需要排很久的队, 夜晚的灯光效果也很一般, 没有预期中的好玩"
10,M15****560,2019/8/14,"贵, 什么都贵, 不能带东西进去吃, 继上海迪斯尼以后, 希望被告的下一个是他"
11,M24****3633,2019/9/15,"网上买的, 一天, 到了售票处一问, 这种, 两天, 哎"
12,M58****840,2019/7/29,"网上订跟现场买同价, 网上订跟现场买同价"
13,_CFT01****9383473,2019/10/21,"服务质量差, 差评差评差评, 还是珠海的好"
14,红苹果,2019/6/29,"长隆欢乐去了几次了, 都是带孙子去了, 总的唔错, 但我总是觉得越来越不喜欢了, 一, 冲凉地方没有任何可以用的东西, 门票已经超级了, 本来应该是提供简单的用品了"
15,xxkkai,2019/6/28,"长隆欢乐世界的景色一般, 园内餐饮很差, 乘坐观光车远望两旁的野生动物是主要游览项目, 晚上的俄罗斯大马戏表演非常精彩"
16,蛋发儿,2019/10/17,两园夜场六点半就不给进水上乐园
17,Rossenback,2019/1/29,"所谓世界级游乐场其实也就那样, 人性化服务太差, 很多项目没有放包的地方, 必须自己带着, 单单这一点就很差, 另外, 园区内餐饮真的是很贵很贵, 夸张的贵, 比迪士尼还过分"
18,M28****8029,2019/8/31,还行吧一般般一般一起玩的话比较合适
19,M38****372,2019/7/11,"比较坑, 买了门票里面好多项目还要收费, 不用钱的项目玩几十秒排队一小时, 跟本没时间等, 上午, 点半开园下午六点关门很不划算"
20,M33****6619,2019/7/10,"不太值得一去, 人太多, 天气热, 排队麻烦"
21,猫奴也看颜,2019/5/12,"有些太刺激的我没玩, 但是基本, 都要排, 个小时左右, 体验极差"
22,M36****285,2019/6/3,"比较一般吧, 跟上海迪斯尼比差远了, 去过迪斯尼就别来了, 比较失望"
23,M28****8029,2019/8/31,一般般一般般一般般一般一般般一般
24,旅行使者lvxingshizhe,2018/12/18,"熊猫酒店很差的一点就是客房房价很贵了, 一千几百元, 还不含早餐, 有点坑人, 说不过去, 很让人不舒服, 揪心"
25,梦泪如幻,2019/1/8,"有好多设施都没有, 长隆没有想象中那么好, 还很出名的样子, 差强人意"
26,M23****3266,2019/2/9,"排了快三个小时才玩了一个项目, 不想再去了"
